CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-29.0450921059,6.71245193481,6.74896788597,6.75162887573,53.759939909,54.4281520844
unit.000001,-29.0448820591,6.2510778904,6.31878304482,6.32271695137,42.5191650391,43.6990039349
unit.000002,-29.0446939468,7.00309491158,7.07122707367,7.0753569603,40.4160690308,42.6526470184
unit.000003,-29.0445129871,7.10967993736,7.18169403076,7.18578886986,51.844878912,53.2431221008
unit.000004,-29.0443270206,6.1823759079,6.2512550354,6.25518202782,52.1472380161,53.1141059399
unit.000005,-29.0441260338,6.38932204247,6.46010494232,6.46404409409,50.8400800228,52.0031690598
unit.000006,-29.0439441204,6.85172510147,6.89228987694,6.89497208595,43.6231949329,44.7893660069
unit.000007,-29.0437610149,5.95926094055,6.03982400894,6.0439760685,41.2132818699,42.5659780502
unit.000008,-29.0435810089,6.89281797409,6.96590399742,6.96989893913,52.2485849857,53.1972920895
unit.000009,-29.0434029102,6.31870007515,6.38950896263,6.39360904694,56.1738109589,57.687541008
unit.000010,-29.0431969166,6.03946208954,6.11298203468,6.11663198471,53.5579268932,54.3506429195
unit.000011,-29.0429210663,6.74887108803,6.78325510025,6.78597807884,41.313806057,42.59425807
unit.000012,-29.0427370071,6.11302804947,6.18232607841,6.18621397018,54.3651630878,55.5358710289
unit.000013,-29.042552948,6.57103204727,6.64348888397,6.64757299423,51.7434248924,52.0536279678
unit.000014,-29.042372942,6.4599878788,6.53153705597,6.53569793701,55.2689239979,56.60353899
unit.000015,-29.0421850681,6.53072595596,6.57050299644,6.57320094109,56.0715589523,56.6388280392
unit.000016,-29.0420029163,6.64329504967,6.71333098412,6.71772289276,53.0532450676,54.3626790047
unit.000017,-29.0418219566,6.78385591507,6.85268187523,6.85685491562,52.5509080887,53.1612370014
unit.000018,-29.0416440964,7.07038402557,7.10832691193,7.1111240387,53.0573298931,54.4705200195
unit.000019,-29.0414669514,5.86373209953,5.96061587334,5.96816396713,53.7632870674,54.3050060272
unit.000020,-29.0412840843,6.96504592896,7.00255990028,7.00534796715,53.4552829266,54.4165608883
