CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-28.1412689686,7.13657212257,7.17168307304,7.17422509193,26.5788390636,28.2197079659
unit.000001,-28.1410560608,6.27394413948,6.34783792496,6.35205292702,27.3964819908,29.3279309273
unit.000002,-28.1408519745,6.63775205612,6.70850014687,6.71282410622,27.1932251453,28.0888559818
unit.000003,-28.1406679153,7.07190895081,7.13730812073,7.14110994339,27.0981440544,28.214204073
unit.000004,-28.1404879093,5.99782800674,6.0675239563,6.07139992714,26.3827540874,27.8251259327
unit.000005,-28.1403019428,6.49303007126,6.56296610832,6.56710195541,28.1054461002,29.4147779942
unit.000006,-28.1401150227,6.59769296646,6.63716197014,6.6397819519,27.0949590206,28.0654799938
unit.000007,-28.1399350166,6.93109297752,7.00182104111,7.00600814819,27.294875145,28.1562070847
unit.000008,-28.1397559643,6.4200501442,6.49311995506,6.4972319603,27.6998670101,29.3819050789
unit.000009,-28.1395769119,6.134745121,6.2027220726,6.2067899704,26.3865230083,27.9183990955
unit.000010,-28.1393959522,6.81982111931,6.89456892014,6.89889001846,28.0039761066,29.5865409374
unit.000011,-28.1392109394,5.86679315567,5.91670513153,5.92123007774,26.6801290512,27.7761909962
unit.000012,-28.1390318871,6.34768509865,6.42013907433,6.42419695854,27.0923559666,28.0070550442
unit.000013,-28.1388540268,7.00155591965,7.07206106186,7.07622003555,26.7862429619,28.1639389992
unit.000014,-28.1386730671,6.20270609856,6.27405595779,6.27810001373,27.0880200863,27.9871599674
unit.000015,-28.1384940147,6.78228712082,6.81930208206,6.82207894325,28.3063130379,29.5209679604
unit.000016,-28.1383159161,6.06755614281,6.13468503952,6.1385281086,26.7826740742,27.8923640251
unit.000017,-28.1381309032,6.70823311806,6.78334093094,6.78755998611,27.4003050327,29.4998021126
unit.000018,-28.1379508972,6.89372611046,6.93060302734,6.93343305588,27.9015650749,29.576982975
unit.000019,-28.1377670765,5.91833114624,6.00065493584,6.00733804703,26.9861130714,28.2722189426
unit.000020,-28.1375920773,6.5620470047,6.5978770256,6.6006770134,27.8002910614,29.4656450748
