CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-127.986402035,9.21179986,9.24637103081,10.4581539631,11.6996619701,20.5934138298
unit.000001,-127.986239195,11.5099380016,11.9064319134,13.3099479675,14.5638308525,30.5371568203
unit.000002,-127.986066103,18.1366078854,18.7732708454,21.0746839046,22.1998429298,49.7581980228
unit.000003,-127.985913992,18.1818068027,18.77906394,21.1231558323,22.4128668308,49.864948988
unit.000004,-127.985771179,18.2264368534,18.7849178314,21.173612833,22.41573596,49.9721279144
unit.000005,-127.985592127,18.2855708599,18.7922918797,21.2347609997,22.5261929035,50.1242718697
unit.000006,-127.985412121,18.3427050114,18.7998738289,21.2989239693,22.6414728165,50.2429349422
unit.000007,-127.985215187,18.3782269955,18.8043849468,21.335242033,22.6499547958,50.3412909508
unit.000008,-127.98500514,18.4119639397,18.8090069294,21.371658802,22.7530968189,50.4115099907
unit.000009,-127.984853029,18.4572138786,18.8511009216,21.4226968288,22.5362780094,50.5184938908
unit.000010,-127.984712124,18.4914219379,18.8556809425,21.4604029655,22.7591729164,50.620803833
unit.000011,-127.984570026,18.526268959,18.8603718281,21.4980099201,22.7546949387,50.6842288971
unit.000012,-127.984425068,18.5598759651,18.8650579453,21.5401489735,23.4032649994,50.792937994
unit.000013,-127.98428607,18.5926308632,18.8696198463,21.5791809559,23.3722848892,50.8498020172
unit.000014,-127.984145164,18.625617981,18.8741848469,21.6182370186,23.2632598877,50.9664180279
unit.000015,-127.984003067,18.6586480141,18.8788158894,21.6586968899,23.4063010216,51.0284538269
unit.000016,-127.983854055,18.7143568993,18.8864989281,21.7231128216,23.2691810131,51.1983649731
unit.000017,-127.98370719,18.7362039089,18.8896148205,21.7495989799,23.4346590042,51.254639864
unit.000018,-127.983566046,18.790211916,18.8973858356,21.8123469353,23.3839139938,51.3803629875
unit.000019,-127.983424187,18.8352618217,18.903637886,21.8662137985,23.3869128227,51.5086250305
unit.000020,-127.983271122,18.8799757957,18.9098320007,21.9173328876,23.3897559643,51.621781826
unit.000021,-127.983128071,18.9435648918,18.9772818089,21.982213974,23.1602828503,51.7865958214
unit.000022,-127.982984066,18.9769108295,19.0285480022,22.0192890167,23.2706468105,51.8449249268
