CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-241.486958027,6.23656415939,6.25467610359,6.25629997253,15.5419139862,21.6715519428
unit.000001,-241.486785889,8.62671303749,8.6576769352,9.14324402809,18.131663084,24.4387600422
unit.000002,-241.486629009,9.19994401932,9.22039699554,9.89304900169,19.1735370159,25.142950058
unit.000003,-241.486485004,10.0807991028,10.1058120728,11.0249960423,20.2136869431,26.0856649876
unit.000004,-241.486343861,11.2840459347,11.3060269356,12.4028100967,21.5673501492,27.2816419601
unit.000005,-241.486206055,11.3849310875,11.4167780876,12.5244979858,21.6662919521,27.3893930912
unit.000006,-241.486064911,11.8702340126,11.8917140961,13.2076289654,22.5984480381,27.9812860489
unit.000007,-241.485919952,11.5760130882,11.5979311466,12.7790811062,22.0742020607,27.6070201397
unit.000008,-241.485779047,6.72782707214,6.74952101707,6.75169897079,15.9865961075,22.3049061298
unit.000009,-241.485637903,7.32301402092,7.34573602676,7.40612101555,16.2153170109,22.9072380066
unit.000010,-241.485499859,8.0380179882,8.07017302513,8.41617012024,17.5958330631,23.7679679394
unit.000011,-241.485363007,8.55286407471,8.57687997818,9.03874611855,18.0181980133,24.3710341454
unit.000012,-241.485224009,12.0001890659,12.0225789547,13.4234819412,22.6982629299,28.1444261074
unit.000013,-241.485046864,12.0422420502,12.0654051304,13.4832589626,22.7001740932,28.1983990669
unit.000014,-241.484894991,10.2641010284,10.288818121,11.2469439507,20.5297031403,26.2915170193
unit.000015,-241.484756947,10.9378900528,10.960050106,11.9807679653,21.1444749832,26.8934900761
unit.000016,-241.484618902,11.5547180176,11.576415062,12.7513840199,22.1767921448,27.6027629375
unit.000017,-241.48448205,6.27130103111,6.28892993927,6.29072093964,15.9816150665,21.7250730991
unit.000018,-241.484343052,11.1612341404,11.1854169369,12.2485871315,21.2552030087,27.1651799679
unit.000019,-241.484205961,6.95051598549,6.97014808655,6.97240495682,16.101621151,22.5231781006
unit.000020,-241.484070063,7.93491506577,7.9572031498,8.30286312103,17.8031461239,23.6601729393
unit.000021,-241.483933926,9.75145411491,9.77357697487,10.6181020737,19.5922720432,25.7329239845
unit.000022,-241.483789921,9.01821398735,9.03816199303,9.64669203758,18.4416279793,24.9292199612
unit.000023,-241.483648062,9.94862294197,9.97330498695,10.8664491177,20.2099740505,25.9501171112
unit.000024,-241.483510971,10.0558769703,10.081084013,10.9974319935,20.2205879688,26.0673899651
unit.000025,-241.48337388,10.1577100754,10.1855831146,11.1129930019,20.3168361187,26.1844410896
unit.000026,-241.483237982,10.2397360802,10.2642691135,11.2206749916,20.5229029655,26.246475935
unit.000027,-241.483100891,10.3197720051,10.3454339504,11.3073401451,20.4210839272,26.3462810516
unit.000028,-241.482959032,10.4261350632,10.4491569996,11.4222710133,20.5313820839,26.4535400867
unit.000029,-241.482816935,10.5865039825,10.6109731197,11.55677104,20.7323150635,26.5626029968
unit.000030,-241.482679844,10.6597440243,10.6938619614,11.663574934,20.7340250015,26.6225619316
unit.000031,-241.482531071,10.7390379906,10.7635970116,11.7563221455,20.7392439842,26.7247309685
unit.000032,-241.48239398,10.8954319954,10.9165930748,11.9066209793,21.0424520969,26.8393030167
unit.000033,-241.482256889,11.0343029499,11.0568630695,12.1011400223,21.1480360031,27.0078201294
unit.000034,-241.482120037,6.21741104126,6.23697710037,6.23881697655,15.6521000862,21.6696140766
unit.000035,-241.481982946,11.2315149307,11.2612190247,12.3439879417,21.7658629417,27.2277269363
unit.000036,-241.481838942,9.59587693214,9.6243751049,10.3848359585,19.2826499939,25.570371151
unit.000037,-241.481698036,11.4619870186,11.4850361347,12.6364369392,21.8705611229,27.4934210777
unit.000038,-241.481560946,11.5332081318,11.5547111034,12.7239871025,21.9715240002,27.551484108
unit.000039,-241.481422901,11.6217939854,11.6455831528,12.8344089985,21.9739029408,27.660877943
unit.000040,-241.481272936,11.6946761608,11.7139439583,12.9277729988,22.188368082,27.764647007
unit.000041,-241.481134892,11.7619900703,11.7833049297,13.034348011,22.1805789471,27.8227310181
unit.000042,-241.480995893,11.8438351154,11.8705980778,13.1746211052,22.4915699959,27.9311420918
unit.000043,-241.480852842,11.9312851429,11.958876133,13.3292639256,22.6957819462,28.0397460461
unit.000044,-241.480630875,12.0222270489,12.0425400734,13.4517741203,22.8994009495,28.1479980946
unit.000045,-241.480489016,12.0652811527,12.0975329876,13.510445118,22.1830720901,28.2017991543
unit.000046,-241.480350018,12.1738419533,12.2049710751,13.6468760967,22.1919150352,28.3107421398
unit.000047,-241.48021102,12.2768239975,12.2972109318,13.7721350193,22.2910411358,28.4194121361
unit.000048,-241.480068922,12.3174841404,12.3531451225,13.8284771442,22.292648077,28.473788023
unit.000049,-241.47993207,11.4410431385,11.4622981548,12.600249052,21.8725271225,27.4435679913
unit.000050,-241.479786873,9.4134619236,9.44274497032,10.171792984,19.3837800026,25.3726849556
unit.000051,-241.479647875,7.46866607666,7.48339104652,7.63476014137,16.7476320267,23.1167280674
unit.000052,-241.479510069,9.66875004768,9.69490504265,10.4766499996,19.6953480244,25.641685009
unit.000053,-241.479367018,7.56423902512,7.58793115616,7.83210206032,17.4923391342,23.2759940624
unit.000054,-241.479227066,9.86503005028,9.88918495178,10.7763450146,19.7007639408,25.8609230518
unit.000055,-241.479091883,10.0254061222,10.0562250614,10.962293148,20.2118749619,26.0315880775
unit.000056,-241.478946924,10.1302981377,10.158082962,11.0843751431,20.2154390812,26.1395950317
unit.000057,-241.478801966,10.2177009583,10.2400350571,11.1750690937,20.3185341358,26.2378029823
unit.000058,-241.478662014,10.2884149551,10.320027113,11.2771229744,20.5246679783,26.3001141548
unit.000059,-241.478513002,10.3949351311,10.4262721539,11.3959131241,20.5263030529,26.406908989
unit.000060,-241.478373051,10.4981570244,10.5867631435,11.5215461254,20.5331101418,26.5139670372
unit.000061,-241.47823596,10.6365799904,10.6600170135,11.6286330223,20.7374360561,26.6166040897
unit.000062,-241.478096962,10.7167329788,10.7391901016,11.7194330692,20.7357411385,26.6766741276
