CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-78.2455489635,8.10666918755,8.13465118408,8.13695716858,727.911761999,728.142040968
unit.000001,-78.2453849316,9.95516705513,10.0482699871,10.0529201031,715.831348181,716.833728075
unit.000002,-78.2451899052,10.1438601017,10.2335941792,10.2376730442,726.104889154,727.097324133
unit.000003,-78.2450459003,10.4031760693,10.4855530262,10.490748167,616.258561134,617.530137062
unit.000004,-78.244907856,11.0000200272,11.0775611401,11.082444191,606.391443014,608.125926971
unit.000005,-78.2447719574,9.84767317772,9.95537805557,9.95953297615,715.22213912,715.708467007
unit.000006,-78.2446389198,7.38747406006,7.46333217621,7.4662270546,717.843481064,718.979722023
unit.000007,-78.2445058823,7.50487709045,7.56060814857,7.56340312958,716.73555398,717.940227032
unit.000008,-78.2443368435,7.67964601517,7.74112701416,7.7441740036,721.470713139,721.344837189
unit.000009,-78.2441859245,7.1088540554,7.15956401825,7.16185998917,712.80035305,713.456160069
unit.000010,-78.2440369129,10.3071160316,10.4031419754,10.4135551453,609.712691069,611.288311958
unit.000011,-78.243904829,8.45778012276,8.51664018631,8.51954817772,724.395759106,724.789668083
unit.000012,-78.2437729836,8.33487915993,8.40216112137,8.40534806252,725.200093031,725.953191996
unit.000013,-78.243639946,8.91983699799,9.00778317451,9.01081204414,725.502156973,725.989964008
unit.000014,-78.2435088158,9.07514405251,9.17238116264,9.17647814751,707.868024111,708.198659182
unit.000015,-78.2433748245,9.44939208031,9.5183160305,9.52181315422,712.297002077,713.492938042
unit.000016,-78.243242979,9.76713895798,9.84346413612,9.84832906723,707.964188099,708.267171144
unit.000017,-78.2431049347,10.2328021526,10.3071269989,10.3108081818,615.551967144,617.513128042
unit.000018,-78.2429718971,10.5905079842,10.6541790962,10.6577019691,610.817192078,612.297850132
unit.000019,-78.2428388596,10.8286070824,10.9188380241,10.9235351086,617.066265106,618.620720148
unit.000020,-78.242705822,11.3350789547,11.4211871624,11.4259049892,376.744178057,378.074579
unit.000021,-78.2425749302,11.0842690468,11.1653189659,11.1696560383,606.377221107,608.13676405
unit.000022,-78.242431879,7.89793801308,7.99999809265,8.0065369606,721.674268961,721.424997091
unit.000023,-78.2422988415,9.51798200607,9.61338210106,9.61706614494,703.224171162,703.929141998
unit.000024,-78.2421579361,11.5101950169,11.5864901543,11.5915870667,383.291604042,384.316975117
unit.000025,-78.2420120239,8.40192317963,8.45782017708,8.46117401123,723.182617188,723.614503145
unit.000026,-78.2418789864,8.20457696915,8.2759540081,8.27920508385,721.572489977,721.412224054
unit.000027,-78.2417459488,7.01199817657,7.06474709511,7.0671710968,716.130544186,716.752830029
unit.000028,-78.2415978909,8.57182908058,8.65017199516,8.65321516991,720.4614501,720.168420076
unit.000029,-78.2414560318,9.00760102272,9.07525515556,9.07890605927,724.495774031,724.883038998
unit.000030,-78.2412109375,10.9187979698,11.0000481606,11.0045070648,606.369543076,608.055794954
unit.000031,-78.2410609722,10.0482580662,10.1426210403,10.1479251385,708.57012105,708.279193163
unit.000032,-78.2409169674,9.35686516762,9.44978404045,9.45350813866,714.514613152,715.671620131
unit.000033,-78.2407739162,8.83829307556,8.91988897324,8.92318105698,724.189578056,724.8457551
unit.000034,-78.2406289577,8.27593708038,8.33502197266,8.33783817291,727.510776043,728.205680132
unit.000035,-78.2404928207,7.85071206093,7.89795398712,7.90100097656,720.86441803,721.356220961
unit.000036,-78.2403609753,7.15947413445,7.21473813057,7.21681213379,722.678147078,722.492995977
unit.000037,-78.2402229309,11.4212210178,11.5039241314,11.5088670254,376.941254139,378.113162041
unit.000038,-78.2400808334,7.32402706146,7.38759613037,7.39017915726,723.987658024,724.708660126
unit.000039,-78.2399508953,7.46319699287,7.50505518913,7.50774908066,724.292683125,724.721199036
unit.000040,-78.2398188114,7.79525208473,7.85071516037,7.85365414619,726.908079147,727.060911179
unit.000041,-78.2396869659,7.99869203568,8.05880498886,8.0617480278,718.146569967,719.048262119
unit.000042,-78.2395188808,11.2473621368,11.3350951672,11.3398871422,376.83843708,378.050268173
unit.000043,-78.2393639088,8.13494896889,8.20450901985,8.20833301544,728.815793037,729.249933958
unit.000044,-78.2392318249,8.78605413437,8.83823108673,8.84424901009,724.797770023,724.801488161
unit.000045,-78.2390928268,6.96092915535,7.01333618164,7.01732397079,717.439663172,717.870464087
unit.000046,-78.2389600277,9.26385903358,9.35684895515,9.36016702652,705.245889187,705.036578178
unit.000047,-78.2388269901,11.1653180122,11.2473750114,11.2527160645,377.044484138,377.989853144
unit.000048,-78.2386949062,9.61295318604,9.69269800186,9.69604301453,713.104866982,713.537230015
unit.000049,-78.2385649681,9.17236709595,9.25658917427,9.26105904579,705.347001076,706.132681131
unit.000050,-78.2384338379,10.7361860275,10.8286771774,10.8337790966,600.92664814,602.841375113
unit.000051,-78.2383019924,8.51645612717,8.57201313972,8.5753030777,719.855669022,720.156123161
unit.000052,-78.2381639481,10.485555172,10.5907011032,10.5958220959,603.647670984,604.96499896
unit.000053,-78.2380208969,7.21504211426,7.2826499939,7.2874751091,722.980726004,723.558806181
unit.000054,-78.2378878593,8.74531602859,8.78610014915,8.78888607025,728.313454151,729.304775953
unit.000055,-78.2377560139,7.56061315536,7.61792397499,7.6205329895,721.066475153,721.26386714
