CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-57.8956098557,6.23600411415,6.25552415848,6.25750207901,33.745249033,35.6907451153
unit.000001,-57.8954110146,6.40581893921,6.43726205826,6.4397649765,29.5512230396,31.1629929543
unit.000002,-57.8952288628,6.56528401375,6.5971660614,6.59985995293,29.4483439922,31.2156691551
unit.000003,-57.8950519562,6.62793302536,6.66185593605,6.66429209709,29.0347800255,29.8194260597
unit.000004,-57.8948659897,6.69499802589,6.72574114799,6.72819900513,37.2036120892,38.7373969555
unit.000005,-57.8946869373,6.76947212219,6.80562114716,6.80839204788,29.655009985,31.2700030804
unit.000006,-57.8945109844,6.87483096123,6.90965008736,6.91210198402,29.5549890995,31.3189401627
unit.000007,-57.8943388462,6.94242405891,6.97774195671,6.98028707504,29.344340086,29.8631491661
unit.000008,-57.8941609859,7.01351308823,7.04974603653,7.05297803879,30.8866620064,32.5647511482
unit.000009,-57.8939828873,7.08634400368,7.12636709213,7.12890696526,33.5395870209,34.4477980137
unit.000010,-57.8938000202,7.20540595055,7.24712109566,7.24995207787,31.9135711193,32.842977047
unit.000011,-57.893625021,7.28607606888,7.32569909096,7.32864904404,31.6101241112,32.8973441124
unit.000012,-57.8934509754,7.36832594872,7.4027121067,7.40517711639,28.6234610081,29.9147391319
unit.000013,-57.8932769299,7.43455910683,7.46670794487,7.46911811829,34.1553871632,35.7445530891
unit.000014,-57.8931000233,7.51439499855,7.54703402519,7.54950594902,33.7503781319,35.7509930134
unit.000015,-57.8929200172,7.57917499542,7.60971808434,7.61221599579,34.9905650616,35.8566491604
unit.000016,-57.8927459717,6.19639015198,6.21729516983,6.21957206726,28.112112999,28.6590800285
unit.000017,-57.8925719261,7.70183897018,7.73420906067,7.73676800728,30.5789711475,32.6726369858
unit.000018,-57.8923819065,7.76556801796,7.79766511917,7.80029010773,29.9666690826,31.323264122
unit.000019,-57.8922028542,7.82571816444,7.86174893379,7.86442494392,38.8195271492,40.0123820305
unit.000020,-57.8920300007,7.90054512024,7.94437408447,7.94708609581,29.241464138,30.0205230713
unit.000021,-57.891849041,7.98405408859,8.02533316612,8.02830600739,28.9347169399,30.0235991478
unit.000022,-57.8916769028,8.06446695328,8.10113215446,8.10400104523,31.0935411453,32.7339301109
unit.000023,-57.891505003,8.17240095139,8.20896816254,8.21172595024,34.2568941116,35.9109461308
unit.000024,-57.8913290501,8.2884349823,8.32730793953,8.33011007309,32.2228350639,33.0036740303
unit.000025,-57.8911590576,8.36717414856,8.40612006187,8.40892195702,33.2368941307,34.5046300888
unit.000026,-57.8909859657,8.44818305969,8.49046015739,8.49354195595,32.1193480492,33.0101320744
unit.000027,-57.8908059597,8.49022698402,8.52991294861,8.53265309334,29.138297081,30.0814831257
unit.000028,-57.8906300068,10.4517700672,10.4926171303,10.4953410625,34.7690429688,36.2296090126
unit.000029,-57.8904590607,8.89318108559,8.93365001678,8.93644404411,33.645209074,34.5586340427
unit.000030,-57.8902890682,8.81280303001,8.893460989,8.89644193649,37.0018999577,38.7422699928
unit.000031,-57.89011693,6.38784098625,6.40556716919,6.40758013725,29.8593289852,31.1584501266
unit.000032,-57.8899459839,6.46667599678,6.49807214737,6.50050616264,26.7888989449,27.5807261467
unit.000033,-57.8897609711,6.53029894829,6.56529211998,6.56773900986,37.7079761028,38.807090044
unit.000034,-57.8895900249,6.59705400467,6.62805509567,6.63051795959,28.5201671124,29.8020009995
unit.000035,-57.8894159794,6.66149902344,6.69521212578,6.69776296616,28.0095541477,28.6747159958
unit.000036,-57.8892450333,6.72551894188,6.76971101761,6.77213096619,29.9626121521,31.2657599449
unit.000037,-57.8890779018,6.84169697762,6.8750641346,6.87756705284,31.6025619507,32.7834479809
unit.000038,-57.8888978958,6.90944194794,6.94236397743,6.94477415085,33.748262167,35.6969079971
unit.000039,-57.888725996,6.97752809525,7.0137219429,7.01641511917,31.9106991291,32.7919800282
unit.000040,-57.8885560036,7.04951310158,7.08652114868,7.08902907372,30.8909909725,32.6192600727
unit.000041,-57.8883588314,7.16562700272,7.20557403564,7.20835494995,28.9308950901,29.875868082
unit.000042,-57.8880739212,7.24688911438,7.28620815277,7.28874897957,31.6057071686,32.8482201099
unit.000043,-57.8878860474,7.32551598549,7.36858510971,7.37115311623,32.4245769978,32.9036841393
unit.000044,-57.8877129555,7.40239405632,7.4348950386,7.43747496605,36.5958991051,37.4225029945
unit.000045,-57.8875410557,7.49712514877,7.51431894302,7.51624798775,27.602435112,28.7108950615
unit.000046,-57.8873698711,7.54676198959,7.57938194275,7.58175396919,38.8157179356,40.0038530827
unit.000047,-57.8871929646,7.60951113701,7.63999605179,7.64234399796,30.574696064,32.622647047
unit.000048,-57.887018919,7.67080116272,7.70196008682,7.70451211929,29.3485269547,29.9277751446
unit.000049,-57.8868379593,7.73406100273,7.76575112343,7.76820993423,30.5842039585,32.6766541004
unit.000050,-57.8866670132,7.79749107361,7.8259100914,7.82844805717,32.1162500381,32.9565169811
unit.000051,-57.886494875,7.8615231514,7.90073299408,7.90345597267,33.6421730518,34.4471731186
unit.000052,-57.8863220215,7.94406604767,7.98423099518,7.98695397377,30.5818400383,32.7285420895
unit.000053,-57.886152029,8.02518701553,8.06462001801,8.06740498543,32.729817152,34.507445097
unit.000054,-57.8859808445,8.13680696487,8.17260599136,8.17532706261,29.9692320824,31.3730461597
unit.000055,-57.8858020306,8.24683094025,8.28864812851,8.29148101807,35.2785720825,35.9639279842
unit.000056,-57.885627985,8.32705307007,8.36742997169,8.37023115158,35.9882309437,37.4703891277
unit.000057,-57.8854579926,8.40598797798,8.44834804535,8.45110416412,35.3802349567,36.0104820728
unit.000058,-57.8852858543,6.25551199913,6.27487015724,6.27675795555,34.8682911396,35.8031151295
unit.000059,-57.8851130009,8.56498908997,8.59986615181,8.60267210007,29.6589231491,31.3776230812
unit.000060,-57.8849420547,10.7412610054,10.784856081,10.7876119614,32.0142400265,33.247013092
unit.000061,-57.8847620487,8.59954500198,8.8130710125,8.81586408615,31.6080930233,33.0782170296
unit.000062,-57.8845920563,8.93345308304,8.97770094872,8.98048496246,35.9915060997,37.4762210846
unit.000063,-57.8844120502,9.06809902191,9.11094713211,9.11376214027,36.1910531521,37.5246059895
unit.000064,-57.8842408657,9.19976305962,9.24257993698,9.24534916878,31.8086221218,33.1311950684
unit.000065,-57.8840699196,9.40005898476,9.43914198875,9.44197702408,34.8711471558,36.0700359344
unit.000066,-57.8838899136,9.51834416389,9.56059193611,9.56347608566,30.7879121304,33.1928210258
unit.000067,-57.8837189674,9.60548305511,9.64569807053,9.64870715141,35.0786831379,36.171380043
unit.000068,-57.883548975,9.64558506012,9.68704795837,9.68995809555,35.7852711678,37.529749155
unit.000069,-57.8833799362,9.11071014404,9.15529799461,9.15831613541,37.6063921452,38.809689045
unit.000070,-57.8832080364,6.27487516403,6.29215407372,6.29397106171,26.28916502,27.5262589455
unit.000071,-57.883038044,9.24243402481,9.28125405312,9.28398013115,30.8889861107,33.1374411583
unit.000072,-57.8828630447,9.68690514565,9.73157000542,9.73439216614,62.1915149689,63.8367159367
unit.000073,-57.8826918602,9.77047204971,9.81073594093,9.81355810165,65.7051010132,67.0098471642
unit.000074,-57.8825230598,9.84852004051,9.88995695114,9.89300203323,64.9013781548,65.9866580963
unit.000075,-57.8823509216,9.9704079628,10.0126130581,10.015458107,63.3959460258,64.8791489601
unit.000076,-57.8821809292,10.0535430908,10.0947289467,10.0975761414,66.7102200985,68.1191949844
unit.000077,-57.8820090294,10.0945761204,10.1349279881,10.138007164,56.171710968,57.5677800179
unit.000078,-57.8818318844,10.1347560883,10.1760351658,10.1788811684,67.6147761345,69.2547681332
unit.000079,-57.8816599846,10.1756980419,10.2206089497,10.2234120369,69.0216550827,70.3117361069
unit.000080,-57.8814868927,10.2607810497,10.3036799431,10.3064310551,73.1336970329,74.4687490463
unit.000081,-57.8813159466,10.3033220768,10.3266329765,10.3289690018,58.279282093,59.6912910938
unit.000082,-57.8811459541,10.3267869949,10.3694190979,10.3723211288,67.0121340752,68.143296957
unit.000083,-57.880975008,10.3693270683,10.411755085,10.4145720005,66.3079481125,67.0635809898
unit.000084,-57.8807940483,10.4116060734,10.4519770145,10.454750061,35.0807330608,36.1763541698
unit.000085,-57.8806200027,10.5806031227,10.6183640957,10.6214561462,34.6655330658,36.2881450653
unit.000086,-57.8804318905,10.6181950569,10.659361124,10.6621580124,36.800027132,38.8745601177
unit.000087,-57.880259037,10.6974260807,10.7415361404,10.7443361282,32.1216449738,33.1969101429
unit.000088,-57.8800868988,10.8235321045,10.8640511036,10.8668429852,36.7014660835,38.9248931408
unit.000089,-57.8799059391,10.9095699787,10.952655077,10.9556801319,37.7118411064,38.9328820705
