CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-377.797760963,8.47660112381,8.50514101982,8.5075070858,77.2454550266,77.5131139755
unit.000001,-377.797561884,6.46775889397,6.5002579689,6.5029630661,73.3781249523,74.4305570126
unit.000002,-377.797379971,6.56329512596,6.59727096558,6.5996029377,73.4820899963,74.4835729599
unit.000003,-377.797189951,6.83518910408,6.86912894249,6.87152099609,71.5398321152,72.7092978954
unit.000004,-377.797010899,9.09454989433,9.14680099487,9.14965891838,77.8510909081,78.9694850445
unit.000005,-377.796833992,9.58008408546,9.62197995186,9.62476992607,134.901935101,135.834774017
unit.000006,-377.7966609,7.01282000542,7.05050492287,7.05309104919,68.8773169518,69.9514489174
unit.000007,-377.796488047,10.6202659607,10.6662421227,10.6691639423,76.3411951065,77.7297029495
unit.000008,-377.796298981,7.12122893333,7.15599989891,7.15859603882,69.3953809738,71.2492380142
unit.000009,-377.796115875,12.2177491188,12.2602651119,12.2631530762,79.5618960857,81.2985100746
unit.000010,-377.795939922,6.53089404106,6.56332302094,6.56576991081,73.7914531231,74.4344100952
unit.000011,-377.795768023,7.09087896347,7.12132811546,7.12396001816,72.049282074,72.7577729225
unit.000012,-377.795595884,7.59805989265,7.64128994942,7.64403605461,68.9803419113,70.064647913
unit.000013,-377.795424938,8.08244800568,8.13007593155,8.13283610344,72.6687710285,74.1883630753
unit.000014,-377.795242071,8.68762803078,8.72992491722,8.73272109032,74.6056799889,76.007076025
unit.000015,-377.795068979,7.73019695282,7.76244807243,7.76509308815,75.3198199272,77.4079549313
unit.000016,-377.794897079,7.8528380394,7.87490391731,7.87699198723,66.2196779251,67.5429229736
unit.000017,-377.794724941,7.91538095474,7.95241189003,7.9549639225,68.7747321129,70.0654010773
unit.000018,-377.794553041,7.99855995178,8.03853106499,8.04123711586,67.2449409962,68.7853019238
unit.000019,-377.794378042,11.4523880482,11.4972860813,11.5002529621,80.0657908916,81.2397689819
unit.000020,-377.794197083,12.3501241207,12.4326410294,12.4378659725,62.6784670353,63.1662919521
unit.000021,-377.794024944,8.23014712334,8.2845261097,8.28731799126,70.3095579147,71.4649629593
