CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-418.353217125,6.28625392914,6.30351901054,6.30543398857,36.9494178295,39.0071659088
unit.000001,-418.352985144,10.3219070435,10.351651907,126.504899025,146.175700903,146.905632019
unit.000002,-418.352780104,8.64873886108,8.67767095566,80.8756458759,102.661088943,104.186439037
unit.000003,-418.35256815,7.91220402718,7.93978095055,58.276638031,79.1421990395,80.9912550449
unit.000004,-418.352355957,8.4109249115,8.4388999939,79.1741230488,110.409292936,111.687823057
unit.000005,-418.35215497,9.98586392403,10.0266599655,110.490437984,131.108006001,131.849164009
unit.000006,-418.351957083,10.4417588711,10.4709579945,129.924187899,146.177729845,146.994634867
unit.000007,-418.351760149,8.79649305344,8.82525897026,83.7294340134,106.889737844,108.500679016
unit.000008,-418.351562023,8.73715591431,8.76713299751,83.2894198895,108.69738102,110.627962828
unit.000009,-418.351356983,9.11387300491,9.14243602753,90.230191946,115.034343958,116.022681952
unit.000010,-418.351155043,8.91442799568,8.94415283203,84.8026049137,106.787773848,108.521254063
unit.000011,-418.350955963,10.085973978,10.116672039,113.547616005,138.452956915,139.50177598
unit.000012,-418.350759029,10.4123208523,10.4419288635,128.919355869,148.387629986,149.322057009
unit.000013,-418.350556135,6.4227449894,6.45082497597,6.45323300362,33.6325769424,34.6311578751
unit.000014,-418.350345135,6.94813895226,6.97828888893,28.1195139885,54.0247309208,54.5944418907
unit.000015,-418.350145102,7.22765302658,7.25615000725,31.5354208946,60.5690748692,62.2442400455
unit.000016,-418.349946976,9.28264594078,9.29865002632,103.48504591,125.378499985,126.451225042
unit.000017,-418.349748135,8.0555639267,8.08390688896,59.3768918514,83.6794290543,84.3506748676
unit.000018,-418.349548101,9.38269591331,9.46178102493,105.800854921,126.485944033,127.538822889
unit.000019,-418.349318027,9.5576980114,9.69566297531,106.806906939,137.645645857,138.205575943
unit.000020,-418.349117994,9.69557285309,9.73608088493,106.90899992,127.691298008,128.636343002
unit.000021,-418.348919153,9.79194998741,9.81960201263,110.341131926,131.105538845,131.817662001
unit.000022,-418.348721027,10.2051589489,10.2353689671,123.388758898,144.469666004,145.712467909
unit.000023,-418.348520994,10.0266869068,10.0553998947,112.137944937,138.248651981,139.394436836
unit.000024,-418.348309994,10.0554149151,10.0861530304,113.253332853,138.450633049,139.448382854
unit.000025,-418.34811306,10.1166119576,10.1464278698,115.054417849,137.243109941,138.31434989
unit.000026,-418.347916126,10.1760418415,10.2052159309,122.985439062,147.179824829,148.076697826
unit.000027,-418.34771204,10.2353248596,10.2645249367,124.995887041,144.268167019,145.76710701
unit.000028,-418.34752202,10.2928800583,10.321876049,126.402969837,147.782120943,149.211549997
unit.000029,-418.347324133,10.3516860008,10.3818800449,126.607753992,148.385500908,149.267904043
unit.000030,-418.347135067,10.3818209171,10.4122960567,127.613427877,152.197726965,153.578872919
unit.000031,-418.3469491,6.14755392075,6.16538596153,6.17259097099,31.0099198818,32.0956130028
unit.000032,-418.346761942,10.4709880352,10.500041008,131.044961929,148.688025951,150.402396917
unit.000033,-418.346570015,10.5579149723,10.5867528915,132.741428852,158.313895941,159.792346001
unit.000034,-418.346374035,10.5000698566,10.5289950371,131.071907997,149.891389847,151.483743906
unit.000035,-418.346186161,6.33708786964,6.36576890945,6.36831903458,28.0951828957,29.7755789757
unit.000036,-418.346002102,6.39436483383,6.42286896706,6.42513585091,30.1058828831,30.9605109692
unit.000037,-418.345814943,6.45134496689,6.47961997986,6.48199701309,33.6346378326,34.6850399971
unit.000038,-418.345625162,6.53741693497,6.7477889061,6.75038504601,31.5154809952,32.2031760216
unit.000039,-418.345422029,6.79855298996,6.83906698227,6.84145593643,32.9253678322,34.7391779423
unit.000040,-418.345226049,6.83895587921,6.89038586617,6.89275884628,31.0141098499,32.2577228546
unit.000041,-418.345039129,6.89028692245,6.91941690445,6.92178797722,29.1990170479,29.8799250126
unit.000042,-418.34484601,6.91927504539,6.94832396507,27.6007728577,53.4173538685,54.5672709942
unit.000043,-418.344658136,6.97822093964,7.00792384148,28.1345150471,53.6198740005,54.624986887
unit.000044,-418.344470024,7.0076239109,7.03784894943,28.7080059052,58.6491379738,59.9237539768
unit.000045,-418.34423995,7.08661484718,7.10143399239,29.9230380058,52.2059378624,53.4585318565
unit.000046,-418.344048023,7.14164090157,7.16932106018,31.0325269699,62.4769229889,64.3253250122
unit.000047,-418.343852043,7.16922092438,7.20079994202,31.2744619846,52.8098130226,53.4836859703
unit.000048,-418.343664169,7.20041584969,7.22774887085,31.3640830517,52.9118230343,53.5133390427
unit.000049,-418.343477011,7.28384399414,7.31155490875,32.1563370228,55.3327660561,55.7376029491
unit.000050,-418.343281031,7.36743283272,7.39444994926,33.3406670094,58.8516368866,59.9534640312
unit.000051,-418.343093157,7.42311286926,7.4508998394,33.6875259876,59.0555379391,59.9789168835
unit.000052,-418.342900991,7.50805592537,7.53594183922,34.6610629559,58.2460000515,60.0358419418
unit.000053,-418.342713118,7.56485795975,7.59330296516,38.6770949364,63.0816488266,64.3811149597
unit.000054,-418.342530012,7.59318685532,7.62147784233,40.4770019054,59.9636650085,61.1703279018
unit.000055,-418.342331171,7.6754488945,7.70233988762,52.9317760468,79.242759943,80.9209339619
unit.000056,-418.342139959,7.73051595688,7.7582988739,53.436841011,80.0511138439,80.9378809929
unit.000057,-418.341952085,7.81341099739,7.84102392197,54.044757843,83.6720080376,84.2746548653
unit.000058,-418.341763973,7.89545488358,7.91204285622,57.1602959633,87.9991018772,89.5884318352
unit.000059,-418.341580153,8.00022983551,8.02842092514,58.9736559391,80.8555028439,82.1270709038
unit.000060,-418.341372013,8.02836799622,8.05586290359,59.0756208897,79.4484820366,81.0466740131
unit.000061,-418.34117198,8.11177992821,8.14095783234,59.9836509228,82.8634328842,83.1898260117
unit.000062,-418.34098506,8.24540400505,8.27324104309,62.5114028454,87.8931078911,89.6328928471
unit.000063,-418.34079814,8.31073498726,8.35267496109,63.1017930508,88.4027268887,89.6424620152
unit.000064,-418.340609074,8.38220691681,8.41106987,78.7564339638,102.155683994,104.132185936
unit.000065,-418.340422153,8.46727800369,8.498513937,79.2766308784,104.27186799,106.339841843
unit.000066,-418.340224981,8.43882703781,8.4695558548,79.189029932,98.8425939083,100.012799025
unit.000067,-418.340037107,8.5920279026,8.62077689171,79.4950380325,104.975908995,106.359936953
unit.000068,-418.339848995,7.53576493263,7.56465601921,36.9622340202,62.479184866,64.3549919128
unit.000069,-418.339663029,8.67754483223,8.70788097382,81.7800118923,110.413753986,111.708493948
unit.000070,-418.339473009,6.25398898125,6.27021288872,6.27205586433,28.6954529285,29.8271248341
unit.000071,-418.339280128,8.70786786079,8.73715806007,82.7854168415,103.465694904,105.266597033
unit.000072,-418.33909297,8.85483002663,8.88435697556,83.7693779469,105.780616999,107.440562963
unit.000073,-418.33890605,9.4616048336,9.55777287483,106.002531052,130.002517939,130.760161877
unit.000074,-418.33871913,8.9731669426,9.00542902946,87.8159389496,112.11895895,113.874701977
unit.000075,-418.33852911,9.08267498016,9.11389994621,88.4221639633,110.411686897,111.795119047
unit.000076,-418.338331938,9.1424100399,9.17087602615,98.7604000568,123.368623972,124.289507866
unit.000077,-418.338144064,9.17079305649,9.1983268261,98.8628649712,119.441601038,121.205847979
unit.000078,-418.33794117,9.22637891769,9.25493001938,102.37825799,128.899662018,129.703820944
unit.000079,-418.337762117,7.62135004997,7.64826798439,52.2186369896,78.7368619442,80.8670418262
unit.000080,-418.337579966,9.32697701454,9.35498785973,104.291744947,132.016485929,132.910671949
unit.000081,-418.337375164,6.23731684685,6.25408291817,6.25596094131,28.0908398628,29.7413640022
unit.000082,-418.337195158,8.82522988319,8.8549618721,83.7544369698,105.983087063,107.420274019
unit.000083,-418.33701396,9.19823789597,9.22646403313,102.181675911,126.588160038,127.479542017
unit.000084,-418.336831093,9.76403284073,9.79204702377,108.819648981,134.632073879,135.049721003
