CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-52.501598835,6.29140615463,6.30717611313,6.30919504166,16.3847880363,17.4080779552
unit.000001,-52.5013899803,7.5291030407,7.56335616112,7.56584501266,14.5450949669,16.1358110905
unit.000002,-52.5012099743,7.70397210121,7.7390961647,7.74202394485,19.2555510998,20.6981840134
unit.000003,-52.5010168552,7.80941104889,7.84526109695,7.84806704521,15.0515339375,16.1894330978
unit.000004,-52.5008430481,7.91708517075,7.95292210579,7.95562410355,17.7197649479,19.1876211166
unit.000005,-52.5006568432,8.02439904213,8.05973911285,8.06255698204,16.3903770447,17.534744978
unit.000006,-52.5004849434,7.98806905746,8.02458405495,8.02748203278,15.0538361073,16.2966861725
unit.000007,-52.5003108978,8.20510101318,8.24010515213,8.24287605286,22.83061409,24.3993980885
unit.000008,-52.5001399517,8.27420711517,8.3090159893,8.31159114838,18.228479147,19.2633860111
unit.000009,-52.4999680519,8.34464812279,8.38094615936,8.3835439682,22.4234330654,22.9475181103
unit.000010,-52.4997980595,6.68009495735,6.71137213707,6.71418499947,16.6931900978,17.6926031113
unit.000011,-52.4996199608,6.39728307724,6.42518806458,6.42768216133,15.2558920383,15.974145174
unit.000012,-52.4994518757,6.64961504936,6.680341959,6.6828751564,19.6627449989,20.8630261421
unit.000013,-52.4992809296,6.9074640274,6.94113016129,6.94360208511,20.2836711407,20.9447650909
unit.000014,-52.4991049767,8.73974204063,8.77551102638,8.77827596664,20.5909981728,23.0883221626
unit.000015,-52.4989349842,8.87675309181,8.91154503822,8.91429305077,22.9380321503,24.5390329361
unit.000016,-52.4987678528,6.24212813377,6.25898194313,6.26092505455,12.8195469379,13.8157770634
unit.000017,-52.4985909462,9.05100893974,9.085958004,9.08857607841,19.972807169,21.1830370426
unit.000018,-52.4984169006,9.11954712868,9.15396404266,9.15677595139,15.9771530628,17.8529570103
unit.000019,-52.4982428551,9.24277114868,9.27778196335,9.28054213524,18.9507520199,21.2665190697
unit.000020,-52.4980759621,9.37749314308,9.41396403313,9.41678905487,17.5182189941,19.3722760677
unit.000021,-52.4979028702,9.51784706116,9.55567312241,9.55841612816,16.2833080292,17.9062459469
unit.000022,-52.4977259636,9.62116098404,9.65589809418,9.65865898132,23.7444839478,24.8670561314
unit.000023,-52.4975509644,9.72679400444,9.76288104057,9.76565003395,19.561342001,21.3434340954
unit.000024,-52.4973819256,9.83305311203,9.86641407013,9.86914610863,22.7297151089,24.667345047
unit.000025,-52.4972119331,9.91810297966,9.9521420002,9.95496511459,19.5650150776,21.3981461525
unit.000026,-52.4970288277,10.0575611591,10.0924220085,10.0952141285,18.9528579712,21.4522869587
unit.000027,-52.4968600273,7.77318310738,7.80960798264,7.81236314774,20.7915840149,22.8225810528
unit.000028,-52.4966800213,10.1931109428,10.2279541492,10.230807066,23.9460680485,24.9753870964
unit.000029,-52.4965100288,10.2975649834,10.3324141502,10.3354489803,20.7941000462,23.3195910454
unit.000030,-52.4963438511,10.3321390152,10.3673529625,10.3701350689,23.0360870361,24.7336571217
unit.000031,-52.4961760044,9.89803004265,9.91802811623,9.92044210434,21.2003040314,23.3001890182
unit.000032,-52.496006012,9.79566907883,9.83336305618,9.83612298965,17.4112279415,17.9372849464
unit.000033,-52.4958348274,7.59732699394,7.63311696053,7.63561606407,17.922606945,19.154487133
unit.000034,-52.4956588745,7.73884010315,7.77346801758,7.77623915672,15.4622001648,17.5157990456
unit.000035,-52.4954888821,7.845028162,7.88343906403,7.88625216484,14.7470531464,16.2433049679
unit.000036,-52.4953198433,7.95267415047,7.98832607269,7.99113416672,20.9947011471,22.8412690163
unit.000037,-52.4951460361,8.05947804451,8.09698200226,8.09963297844,17.6155340672,19.2099080086
unit.000038,-52.4949748516,8.16896414757,8.20534896851,8.20809102058,21.7082231045,22.9274859428
unit.000039,-52.4948048592,8.23981809616,8.2742600441,8.27685403824,17.5126919746,19.2406270504
unit.000040,-52.4946269989,8.30895709991,8.34467506409,8.34742593765,17.4074480534,17.7984919548
unit.000041,-52.4943919182,8.38086605072,8.41485214233,8.41749811172,21.710793972,22.9809920788
unit.000042,-52.4941248894,8.48206210136,8.51628303528,8.51908707619,22.9329640865,24.4532029629
unit.000043,-52.4939508438,6.51356315613,6.54418206215,6.54677414894,16.999972105,17.6400661469
unit.000044,-52.493778944,8.65071606636,8.68489003181,8.68763303757,21.6066961288,23.0562269688
unit.000045,-52.493598938,8.72071695328,8.73950910568,8.74169611931,15.9750740528,17.567950964
unit.000046,-52.4934279919,7.2455329895,7.28117895126,7.28393697739,17.7175929546,19.098058939
unit.000047,-52.4932508469,7.46207094193,7.4963080883,7.49884915352,15.2579910755,16.0820860863
unit.000048,-52.4930670261,8.98267102242,9.01693296432,9.01970005035,15.5652329922,17.5877740383
unit.000049,-52.4928948879,9.08588814735,9.11965608597,9.12251901627,21.8117251396,23.1631550789
unit.000050,-52.4927158356,8.95005607605,8.9828710556,8.98556804657,17.5161299706,19.3465490341
unit.000051,-52.4925398827,9.27753901482,9.3094420433,9.3122241497,22.2178590298,23.1953270435
unit.000052,-52.4923698902,6.94105410576,6.97481608391,6.97735095024,17.2042970657,17.7778220177
unit.000053,-52.4921998978,9.55540299416,9.58725810051,9.59008002281,18.6458041668,21.3192181587
unit.000054,-52.4920299053,9.65566802025,9.69186902046,9.69466304779,22.31935215,23.2478570938
unit.000055,-52.4918589592,9.76262903214,9.79590296745,9.79870605469,23.5419840813,24.6453840733
unit.000056,-52.4916799068,9.86618614197,9.89855504036,9.90193295479,20.3876669407,21.3723261356
unit.000057,-52.491508007,9.98567605019,10.0202770233,10.0230870247,24.3480451107,24.9207489491
unit.000058,-52.4913380146,6.27496600151,6.29135799408,6.29320597649,15.8715250492,17.3746731281
unit.000059,-52.4910130501,10.1592350006,10.1933760643,10.1961669922,18.6477479935,21.5065860748
unit.000060,-52.4904448986,10.1261560917,10.1597299576,10.1625151634,16.796102047,17.9614429474
unit.000061,-52.4900019169,9.481580019,9.5180990696,9.52105498314,23.3400211334,24.6135439873
unit.000062,-52.4895830154,10.0921230316,10.1264131069,10.1294009686,19.9748859406,21.4819149971
unit.000063,-52.4891970158,10.3670811653,10.4034340382,10.4062650204,22.6256999969,24.7605140209
unit.000064,-52.4887828827,6.425137043,6.45511507988,6.4575381279,15.2616291046,16.0281479359
unit.000065,-52.488380909,10.2277040482,10.2623729706,10.2652111053,20.2886221409,21.5363380909
unit.000066,-52.4880020618,8.44773697853,8.48210406303,8.48476600647,22.7271490097,24.4315481186
unit.000067,-52.4876139164,7.31608009338,7.35446810722,7.3572280407,21.0962319374,22.7631590366
unit.000068,-52.4872369766,7.49642395973,7.52899694443,7.53173303604,18.9472630024,20.6698150635
unit.000069,-52.4868609905,8.13283896446,8.1692340374,8.17195916176,22.4208641052,22.8931751251
unit.000070,-52.4864659309,6.224848032,6.24152517319,6.2434990406,14.4392080307,15.9206960201
unit.000071,-52.4860880375,9.01667809486,9.05115294456,9.05380606651,15.6702780724,17.8320879936
unit.000072,-52.4856948853,9.69163012505,9.72704601288,9.73002910614,22.4292321205,23.2673470974
unit.000073,-52.4853138924,10.2621030807,10.297825098,10.3006689548,20.1831541061,21.5610370636
unit.000074,-52.484910965,8.5160241127,8.55099010468,8.55392098427,23.1374280453,24.4855101109
unit.000075,-52.4845149517,8.61696910858,8.65092396736,8.65366005898,18.33081007,19.3169350624
unit.000076,-52.4841248989,8.55081105232,8.5835340023,8.58628106117,18.4317879677,19.2932569981
unit.000077,-52.4835438728,8.77534508705,8.80990815163,8.81262803078,21.5049700737,23.1100540161
unit.000078,-52.4829678535,8.91138601303,8.95021295547,8.9531929493,22.8329191208,24.5602860451
unit.000079,-52.4823889732,7.88321113586,7.91737103462,7.92029094696,18.6415081024,20.7251679897
unit.000080,-52.4818179607,8.4148581028,8.44773197174,8.45036697388,21.7132370472,23.0016601086
unit.000081,-52.4812259674,9.18787002563,9.20831012726,9.21051812172,16.1811680794,17.883893013
unit.000082,-52.4807419777,9.58694314957,9.6214401722,9.62427306175,23.6431810856,24.8137569427
unit.000083,-52.4803349972,9.44611215591,9.48180508614,9.48453903198,18.5338201523,19.4025089741
unit.000084,-52.4799468517,8.68470311165,8.7211959362,8.72403001785,22.9352371693,24.506747961
unit.000085,-52.4795489311,6.4837641716,6.5135550499,6.51597309113,15.6675479412,17.4285199642
unit.000086,-52.4791669846,6.74261808395,6.77521705627,6.77778410912,16.89793396,17.7250480652
unit.000087,-52.4788148403,6.97472596169,7.00807595253,7.01070213318,20.1801590919,20.9687960148
unit.000088,-52.4784500599,7.20995903015,7.24557209015,7.24818515778,21.4031350613,22.7300190926
unit.000089,-52.4780960083,7.42578196526,7.46212697029,7.46462202072,19.2589190006,20.6440091133
unit.000090,-52.4777450562,7.28087902069,7.31634807587,7.31936001778,20.3854990005,21.0750551224
unit.000091,-52.4773788452,6.18816208839,6.2062830925,6.20844912529,20.1780779362,20.7794589996
unit.000092,-52.4769740105,9.30924415588,9.34269309044,9.34576296806,18.6437120438,21.2903189659
unit.000093,-52.4761939049,7.67089509964,7.70427799225,7.70702314377,20.2864439487,21.1298639774
unit.000094,-52.4758379459,10.4382660389,10.472807169,10.4755740166,19.7701010704,21.5915119648
unit.000095,-52.4754650593,9.15378594398,9.18838405609,9.19119906425,18.8432490826,21.2130179405
unit.000096,-52.475110054,9.34251403809,9.37773299217,9.38052415848,23.139685154,24.5922319889
unit.000097,-52.4747478962,7.14157700539,7.17802715302,7.18051815033,20.0770039558,21.0220470428
unit.000098,-52.4743759632,7.38980603218,7.426030159,7.4298620224,19.2533540726,20.6153709888
unit.000099,-52.4740250111,7.1780359745,7.20998716354,7.21244502068,20.0797259808,21.0508489609
unit.000100,-52.4736609459,6.8218100071,6.84120607376,6.84314203262,15.8734309673,17.4620480537
unit.000101,-52.4733090401,9.41369605064,9.44640898705,9.44928693771,22.4268860817,23.2153820992
unit.000102,-52.4729340076,10.0199980736,10.0577559471,10.0604391098,19.8743629456,21.4281811714
unit.000103,-52.4725630283,10.4726960659,10.5083589554,10.5111761093,19.7721750736,21.6157231331
unit.000104,-52.47220397,10.4031281471,10.4385371208,10.4413609505,22.0174160004,23.3521039486
unit.000105,-52.4718530178,6.79291009903,6.82212495804,6.82464599609,21.1980171204,22.6727859974
unit.000106,-52.4714889526,7.04239916801,7.07509207726,7.07757210732,18.6378180981,20.588750124
unit.000107,-52.4703588486,7.63313007355,7.67106413841,7.67379808426,19.8716070652,21.1055519581
unit.000108,-52.4697449207,6.25905108452,6.27496314049,6.27687501907,18.9451971054,20.4807441235
unit.000109,-52.4691839218,7.10748195648,7.14160609245,7.1441450119,16.3868551254,17.4812240601
unit.000110,-52.4686470032,9.2084031105,9.24296808243,9.24563312531,19.0521481037,21.236634016
unit.000111,-52.4681348801,7.00799703598,7.04243302345,7.04501414299,20.0749430656,20.9979391098
unit.000112,-52.4677410126,8.84405016899,8.87694311142,8.87968301773,21.9131481647,23.1415569782
unit.000113,-52.4673788548,6.84152007103,6.87464404106,6.87718296051,18.8468630314,20.5593919754
unit.000114,-52.4670519829,6.36446213722,6.3973171711,6.40008807182,18.6355991364,20.5060911179
unit.000115,-52.4667098522,6.57097101212,6.5872130394,6.58905816078,16.5920629501,17.6724259853
unit.000116,-52.4663729668,6.87457609177,6.90745997429,6.91006302834,17.0021049976,17.7453589439
unit.000117,-52.4660420418,7.07512402534,7.10746002197,7.11006808281,21.300702095,22.7081000805
unit.000118,-52.4657020569,7.35416698456,7.39000916481,7.39272713661,20.5886001587,22.785752058
unit.000119,-52.4653730392,7.56330108643,7.59734296799,7.5998749733,18.2260200977,19.1295771599
unit.000120,-52.465020895,8.09682703018,8.1330640316,8.13809514046,22.0149569511,22.8747911453
unit.000121,-52.4646749496,6.2062060833,6.22484993935,6.22699713707,16.1791059971,17.3558390141
unit.000122,-52.4643399715,6.61862015724,6.64976406097,6.65226101875,19.5591650009,20.8351211548
unit.000123,-52.4640100002,9.95188903809,9.98590111732,9.9886431694,22.7334561348,24.7049620152
unit.000124,-52.4636690617,6.30761504173,6.33557510376,6.3381049633,16.5901141167,17.6212861538
unit.000125,-52.463326931,6.33555006981,6.36449599266,6.36701607704,18.3286621571,19.0448141098
unit.000126,-52.462996006,6.12076210976,6.14908194542,6.15259408951,19.4573359489,20.4515881538
unit.000127,-52.4626588821,6.45510196686,6.48394799232,6.48645210266,19.050014019,20.5354130268
unit.000128,-52.4623329639,8.80970597267,8.84434199333,8.84709501266,19.666298151,21.1595511436
unit.000129,-52.4620079994,8.58333301544,8.61722707748,8.62003111839,21.3032341003,23.0346021652
unit.000130,-52.4616670609,6.16767001152,6.18820595741,6.19046711922,19.764852047,20.7514791489
unit.000131,-52.4613399506,6.54405713081,6.57133316994,6.57390809059,17.5104510784,19.0760071278
unit.000132,-52.4609949589,6.58752799034,6.61871099472,6.62140703201,20.281430006,20.8070671558
unit.000133,-52.4606640339,6.14720416069,6.16770505905,6.17334508896,17.8200900555,19.0170271397
unit.000134,-52.4603388309,6.71129202843,6.74266409874,6.7453391552,19.8694450855,20.8908290863
unit.000135,-52.4599049091,6.7749171257,6.79266309738,6.79463601112,19.7681701183,20.9158411026
