CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-250.731940985,6.24606394768,6.26551795006,6.26736998558,13.3982379436,15.1631131172
unit.000001,-250.731740952,9.93575906754,9.96636795998,14.1946721077,20.7651021481,22.6054670811
unit.000002,-250.731559992,7.43244314194,7.46290802956,7.46539998055,14.5609321594,17.4776210785
unit.000003,-250.731384039,10.0245530605,10.0525500774,14.2988569736,20.7671530247,22.6887741089
unit.000004,-250.73120594,8.46848607063,8.49966406822,8.50227594376,15.2893090248,18.191147089
unit.000005,-250.731016874,7.91182398796,7.94194102287,7.94435214996,14.8760361671,17.7466771603
unit.000006,-250.730843067,8.00362801552,8.03410315514,8.03657603264,14.3490900993,16.2375841141
unit.000007,-250.730669975,8.0957839489,8.12779402733,8.13027310371,15.4917371273,17.8636670113
unit.000008,-250.730499029,8.18936514854,8.22295999527,8.22585606575,14.9783649445,17.9679141045
unit.000009,-250.730326891,8.25578713417,8.28491401672,8.28743815422,15.2931571007,18.0226471424
unit.000010,-250.730150938,8.68175196648,8.71500015259,8.71762704849,15.906619072,18.3519980907
unit.000011,-250.729970932,9.25922203064,9.29104804993,13.5439929962,20.4504041672,22.2835431099
unit.000012,-250.729794979,8.55883312225,8.58869504929,8.59141397476,15.7987530231,18.245347023
unit.000013,-250.729620934,8.65259003639,8.68194007874,8.6845870018,15.5963690281,18.3464500904
unit.000014,-250.729445934,8.71475315094,8.7489991188,8.75165510178,16.2079291344,18.3996219635
unit.000015,-250.729270935,8.77880597115,8.81354904175,8.81619596481,15.8007669449,18.455188036
unit.000016,-250.729099035,8.93014001846,8.94812893867,8.95030903816,15.4953980446,18.5662269592
unit.000017,-250.728917837,8.98262214661,9.01486206055,13.0096361637,20.0375170708,20.8269751072
unit.000018,-250.728729963,9.07460999489,9.10570693016,13.4297749996,20.2421541214,20.8822169304
unit.000019,-250.728551865,9.16612315178,9.19714307785,13.492716074,20.5529069901,22.2394900322
unit.000020,-250.728379965,9.29093313217,9.32261013985,13.5579099655,20.0422270298,20.993448019
unit.000021,-250.728208065,9.35352110863,9.38444113731,13.6212320328,19.5321631432,21.0475790501
unit.000022,-250.727987051,9.44677400589,9.47572207451,13.7271840572,20.8637311459,22.3369500637
unit.000023,-250.727730036,9.50631999969,9.53566002846,13.8446331024,20.5550010204,22.3905620575
unit.000024,-250.727548838,9.56672596931,9.59865498543,13.8733789921,20.6645190716,22.4434890747
unit.000025,-250.727375984,9.62663006783,9.65752410889,13.9095411301,20.4531710148,22.4723680019
unit.000026,-250.727203846,6.72577500343,6.77419614792,6.7766699791,14.1315851212,15.6275269985
unit.000027,-250.727018833,9.75027394295,9.78160810471,14.031981945,20.6582040787,22.4964859486
unit.000028,-250.726840019,7.28656816483,7.31892704964,7.32142806053,14.657294035,17.3711359501
unit.000029,-250.726661921,9.81073999405,9.84242916107,14.0833201408,18.6271810532,19.7535450459
unit.000030,-250.726490974,9.87430906296,9.9064450264,14.1275341511,20.6603310108,22.5800161362
unit.000031,-250.726318836,6.2823600769,6.29953503609,6.30149006844,13.8057160378,15.2149021626
unit.000032,-250.72615099,9.04476094246,9.07470202446,13.4150021076,20.4481921196,22.2296559811
unit.000033,-250.725968838,9.53559803963,9.56682896614,13.8589270115,20.6555399895,22.4193611145
unit.000034,-250.725795984,9.8422870636,9.87441015244,14.1121389866,20.5576119423,22.5491471291
unit.000035,-250.725623846,9.90635800362,9.93590903282,14.1799240112,20.0442590714,21.1499121189
unit.000036,-250.725451946,7.84972000122,7.87897515297,7.88155412674,15.2807171345,17.6905231476
unit.000037,-250.725281,7.94175696373,7.97382211685,7.97633600235,15.2911670208,17.7567620277
unit.000038,-250.725105047,8.03401207924,8.06386995316,8.06869602203,15.4890079498,17.8102760315
unit.000039,-250.724925041,8.15624713898,8.18954396248,8.19214916229,15.0790469646,17.9171199799
unit.000040,-250.724738836,8.22281503677,8.25603604317,8.25856494904,15.283561945,17.9724209309
unit.000041,-250.724565983,8.28485202789,8.31589198112,8.31840515137,15.1789381504,18.0277750492
unit.000042,-250.724390984,8.43975710869,8.46867513657,8.47117304802,15.4936921597,18.185585022
unit.000043,-250.724217892,9.68928313255,9.71840715408,13.998994112,18.32051301,18.6197769642
unit.000044,-250.724038839,9.96596097946,9.99454402924,14.2102510929,20.4553260803,22.6353271008
unit.000045,-250.723865986,8.84539413452,8.86231708527,8.86431908607,15.8035531044,18.5072259903
unit.000046,-250.723690987,8.94834303856,8.9827439785,11.1814689636,18.019659996,18.6147279739
unit.000047,-250.723513842,9.01471209526,9.04513597488,13.0245101452,19.8355109692,20.8334369659
unit.000048,-250.723338842,9.10562515259,9.13663315773,13.4429979324,19.4307370186,20.8870940208
unit.000049,-250.723167896,9.22983002663,9.25924706459,13.5297739506,20.2444369793,20.9891469479
unit.000050,-250.722988844,8.86249303818,8.89551615715,8.89819097519,15.8073980808,18.5143280029
unit.000051,-250.722818851,9.32257413864,9.35357713699,13.5713059902,20.2464151382,21.0427529812
unit.000052,-250.722645044,9.41585898399,9.44687104225,13.6521151066,20.4573531151,22.3641591072
unit.000053,-250.72247386,8.34628796577,8.37772297859,8.38023400307,15.2958641052,18.0833120346
unit.000054,-250.722303867,9.38442993164,9.41602802277,13.6388680935,20.34674716,21.0963640213
