CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-82.9416229725,6.27426791191,6.61421084404,6.61661791801,73.6148178577,75.3329868317
unit.000001,-82.9414160252,7.74250292778,7.79572296143,7.79867100716,68.9150428772,70.0218868256
unit.000002,-82.9412310123,7.79562091827,7.8394818306,7.84221482277,70.0304188728,71.1318440437
unit.000003,-82.9410541058,7.87655496597,8.2163848877,8.21912503242,69.1167678833,70.0521228313
unit.000004,-82.9408681393,8.21633195877,8.33744502068,8.34019303322,73.718693018,75.3499388695
unit.000005,-82.9406960011,8.48743891716,8.60467600822,8.60763287544,73.4077990055,73.815032959
unit.000006,-82.940513134,8.60467386246,8.64925789833,8.65200591087,73.923915863,75.4032030106
unit.000007,-82.9403371811,8.69758200645,8.74655795097,8.74936103821,72.2801430225,73.5608959198
unit.000008,-82.9401671886,8.74651885033,9.13602304459,9.13884186745,72.8890149593,73.825510025
unit.000009,-82.9399871826,9.13602185249,9.34957790375,9.35231184959,73.8221650124,75.4400939941
unit.000010,-82.9398109913,9.47660589218,9.63309788704,9.63589882851,72.1796138287,73.5826818943
unit.000011,-82.9396321774,9.69073700905,9.75979185104,9.76259899139,71.7698390484,73.6156659126
unit.000012,-82.9394600391,9.75976204872,9.82075381279,9.82366681099,70.6435170174,72.3406820297
unit.000013,-82.9392871857,9.82073903084,9.91110801697,9.91402101517,73.3046529293,73.932281971
unit.000014,-82.9391150475,9.91109585762,10.0229918957,10.0261340141,72.9932868481,73.9387879372
unit.000015,-82.9389350414,10.0229768753,10.0804798603,10.0833380222,78.4854159355,79.2232320309
unit.000016,-82.9387590885,6.20804190636,6.27429890633,6.27655982971,67.896709919,68.888548851
unit.000017,-82.9385871887,10.2016019821,10.2684378624,10.2713048458,70.0355069637,71.1545598507
unit.000018,-82.9384140968,10.3547129631,10.4067528248,10.4095988274,71.1572480202,72.3720588684
unit.000019,-82.9382419586,10.5186429024,10.5997838974,10.6027858257,78.4927790165,79.2590298653
unit.000020,-82.9380681515,10.5997438431,10.6899828911,10.692704916,71.5643558502,73.6386759281
unit.000021,-82.9378881454,10.7403669357,10.7913479805,10.7945098877,72.997718811,74.0415568352
unit.000022,-82.9376990795,10.7913069725,10.8446099758,10.8473010063,73.10202384,74.0466058254
unit.000023,-82.9375259876,10.8445999622,10.8973708153,10.900097847,71.1622819901,72.4268128872
unit.000024,-82.9373550415,10.950647831,11.0044689178,11.0072989464,75.0406038761,76.6832578182
unit.000025,-82.9371831417,11.1320478916,11.2654800415,11.2684249878,72.1846709251,73.669262886
unit.000026,-82.9370160103,11.2654178143,11.4777350426,11.4807920456,70.5405619144,72.4493739605
unit.000027,-82.9368360043,12.0058820248,12.1004068851,12.1033308506,70.6488938332,72.4804189205
unit.000028,-82.9366660118,12.1003978252,12.1654789448,12.1683778763,73.9269068241,75.4935059547
unit.000029,-82.9364960194,12.4955358505,12.5905869007,12.5934119225,77.6743309498,77.8924748898
unit.000030,-82.9363250732,12.6373119354,12.7335858345,12.7364330292,80.0153739452,81.0444569588
unit.000031,-82.9361560345,6.78544092178,7.1059679985,7.1081609726,71.1643998623,72.2856259346
unit.000032,-82.9359781742,13.1100950241,13.6016709805,13.6048748493,73.7220318317,75.5129098892
unit.000033,-82.935806036,14.1299660206,14.1841728687,14.1870529652,78.8909299374,80.5559239388
unit.000034,-82.9356341362,14.1841688156,14.2430598736,14.2462170124,76.8666160107,77.9268460274
unit.000035,-82.9354641438,14.3822219372,14.4929289818,14.5001380444,77.7773358822,79.2773258686
unit.000036,-82.9352200031,14.6424558163,14.6942260265,14.6975018978,76.9659488201,77.9492838383
unit.000037,-82.9349861145,14.8758978844,14.9305009842,14.93501091,75.1401839256,76.7026798725
unit.000038,-82.9347310066,15.0489459038,15.1048810482,15.1080050468,81.2263329029,82.4510350227
unit.000039,-82.9345519543,15.1048719883,15.1661410332,15.1699228287,79.303055048,80.6643269062
unit.000040,-82.9343800545,15.2244269848,15.2850658894,15.2893600464,75.5453259945,76.7375049591
unit.000041,-82.934210062,22.3845319748,22.7630269527,22.7660758495,70.0404248238,71.1861519814
