CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-75.0861768723,6.14636898041,6.16623902321,6.1688349247,34.8511841297,35.8908610344
unit.000001,-75.0859110355,6.31340098381,6.34396409988,6.34645700455,28.2785859108,29.3905529976
unit.000002,-75.0856719017,7.49713993073,7.53733491898,7.54008102417,30.5398230553,31.375262022
unit.000003,-75.0854279995,6.45282912254,6.48828101158,6.49073696136,26.8543329239,28.1493759155
unit.000004,-75.0851979256,6.52296710014,6.5569589138,6.55948209763,35.2319660187,36.2361440659
unit.000005,-75.084966898,8.89671492577,8.9333190918,8.93627595901,32.3774459362,34.6981189251
unit.000006,-75.0847358704,6.68965506554,6.72421908379,6.7267138958,28.2827301025,29.4446699619
unit.000007,-75.0844950676,6.75671601295,6.79212093353,6.79455304146,30.3286230564,31.3140079975
unit.000008,-75.0842690468,10.121338129,10.1593849659,10.1622829437,36.2486929893,37.5368309021
unit.000009,-75.0840220451,10.6009740829,10.642138958,10.645179987,35.2353849411,36.4308240414
unit.000010,-75.0837860107,6.36045503616,6.39264798164,6.39533090591,31.1496770382,32.6617739201
unit.000011,-75.0835430622,6.79203009605,6.82377696037,6.82625198364,32.4801270962,34.1097841263
unit.000012,-75.083313942,7.20753192902,7.24508309364,7.24758005142,29.2080070972,31.0479910374
unit.000013,-75.0830979347,7.61277294159,7.64813899994,7.6509180069,32.2754809856,34.3778650761
unit.000014,-75.0828809738,8.05108308792,8.08785796165,8.09076499939,32.9959490299,34.4864521027
unit.000015,-75.0826668739,7.32413101196,7.3597869873,7.3622341156,35.3345041275,36.2682380676
unit.000016,-75.0824420452,7.39790201187,7.42031407356,7.42224192619,28.7945330143,29.6067149639
unit.000017,-75.0822250843,7.45888590813,7.4972140789,7.49989390373,30.3326830864,31.3707509041
unit.000018,-75.0820109844,9.77493190765,9.81179189682,9.81465911865,58.9076619148,60.5402300358
unit.000019,-75.0817940235,10.3354790211,10.3755700588,10.3786859512,42.1798770428,42.9935491085
unit.000020,-75.0815730095,10.7928481102,10.8325340748,10.8354029655,28.3849079609,29.807477951
unit.000021,-75.0813550949,7.7272670269,7.76537394524,7.76811504364,28.8947050571,29.6609830856
unit.000022,-75.0811400414,6.92279791832,6.95518898964,6.95782899857,30.5372641087,31.3190600872
unit.000023,-75.0809249878,7.86470389366,7.90434193611,7.90713500977,34.4168441296,35.9427139759
unit.000024,-75.0807089806,7.94238209724,7.97963190079,7.98239302635,31.2558739185,32.895991087
unit.000025,-75.0804879665,8.01572108269,8.051197052,8.05426192284,30.2259681225,31.4293739796
unit.000026,-75.0802710056,8.08771300316,8.12337303162,8.1262280941,34.4208021164,36.020637989
unit.000027,-75.080039978,8.16112208366,8.20212197304,8.20493602753,29.5179009438,31.1557619572
unit.000028,-75.079818964,8.24183607101,8.27882599831,8.2850561142,33.4042999744,34.5405499935
unit.000029,-75.0796039104,8.31712603569,8.35379695892,8.35670804977,34.8567810059,36.0545580387
unit.000030,-75.0793790817,8.38998508453,8.4279999733,8.43098306656,37.1554229259,38.7034449577
unit.000031,-75.0791640282,6.20695090294,6.22509789467,6.22701907158,30.840929985,31.2600729465
unit.000032,-75.0789499283,8.42798709869,8.46492505074,8.4680480957,29.306622982,31.1601068974
unit.000033,-75.0787320137,8.57775998116,8.619161129,8.62202095985,37.0538129807,37.4773089886
unit.000034,-75.0785090923,8.70690703392,8.74469995499,8.74769806862,29.5201170444,31.4836130142
unit.000035,-75.0782980919,8.81983709335,8.85684108734,8.85962510109,32.6906049252,34.6500611305
unit.000036,-75.0780849457,8.93329811096,8.97116804123,8.97434091568,33.7107028961,34.7039630413
unit.000037,-75.0778670311,8.97114992142,9.01177501678,9.01462697983,33.5098669529,34.7523391247
unit.000038,-75.0776500702,9.05050897598,9.08871102333,9.09172391891,35.0281510353,36.108438015
unit.000039,-75.0774281025,9.08871197701,9.1296479702,9.13256311417,31.5642850399,32.9756479263
unit.000040,-75.0772130489,9.17155504227,9.21371603012,9.21687293053,33.1985850334,34.757694006
unit.000041,-75.07695508,9.25482106209,9.29602313042,9.2990090847,32.0730900764,33.026802063
unit.000042,-75.0767328739,9.33380007744,9.37098193169,9.37401008606,32.8912889957,34.8068459034
unit.000043,-75.0764908791,9.37095808983,9.41101694107,9.41390609741,35.9395389557,36.3769450188
unit.000044,-75.0762760639,9.44829201698,9.48665595055,9.48945212364,73.8880589008,75.2904429436
unit.000045,-75.0760469437,9.52549505234,9.54948592186,9.55194997787,57.8034949303,59.4670460224
unit.000046,-75.0758318901,9.54971003532,9.58826112747,9.59116792679,80.0045619011,81.5118191242
unit.000047,-75.0756130219,9.66781592369,9.70340108871,9.70634198189,61.0410439968,62.6464791298
unit.000048,-75.0753860474,9.70334291458,9.73876690865,9.74159502983,60.7390809059,61.5740909576
unit.000049,-75.0751700401,9.73871898651,9.77510905266,9.77797794342,67.4685249329,68.9235630035
unit.000050,-75.0749559402,9.81175208092,9.85175991058,9.85479307175,67.7674798965,68.9671549797
unit.000051,-75.0747430325,9.92885804176,9.9687769413,9.97161412239,68.5717921257,70.0493290424
unit.000052,-75.074518919,10.0078930855,10.044451952,10.0472519398,63.7498590946,65.7789299488
unit.000053,-75.0743079185,10.0843760967,10.121366024,10.1243131161,67.3631079197,68.9769170284
unit.000054,-75.0740959644,10.1593589783,10.1965401173,10.1994540691,29.7193191051,31.5331311226
unit.000055,-75.0738790035,10.2961421013,10.3355500698,10.3384559155,36.1440250874,37.5671749115
unit.000056,-75.0736620426,10.3755578995,10.4127941132,10.4158101082,34.9282410145,36.1824429035
unit.000057,-75.0734360218,10.448939085,10.490334034,10.4933099747,37.860574007,38.7577939034
unit.000058,-75.0732178688,10.2735240459,10.2960059643,10.2986340523,40.8743019104,41.9447500706
unit.000059,-75.0730140209,10.564207077,10.6010019779,10.6038889885,31.3616859913,33.029531002
unit.000060,-75.0728108883,10.6784229279,10.7190189362,10.7219130993,32.3807470798,34.8115999699
unit.000061,-75.0726048946,10.7559359074,10.7928509712,10.7957849503,32.8936359882,34.8621790409
unit.000062,-75.0723888874,10.8671131134,10.9027531147,10.9056079388,30.7394180298,31.5392770767
unit.000063,-75.0721869469,10.8323769569,10.8671379089,10.8700330257,31.6690409184,33.0790400505
unit.000064,-75.0719680786,6.65299606323,6.68989491463,6.69238996506,31.6638720036,32.7779369354
unit.000065,-75.0717630386,6.392578125,6.42275094986,6.42517209053,33.2015089989,34.2170779705
unit.000066,-75.0715489388,7.90428900719,7.94239711761,7.94517803192,31.0487039089,31.4247300625
unit.000067,-75.0713460445,8.35377192497,8.39002609253,8.39288711548,34.2140080929,36.0741519928
unit.000068,-75.071144104,6.59153795242,6.62301898003,6.62544703484,31.7674849033,32.7207200527
unit.000069,-75.0709409714,9.29600596428,9.33383703232,9.33674311638,36.0412158966,36.3441169262
unit.000070,-75.0707349777,6.29603004456,6.31293010712,6.31473302841,27.5627269745,28.0947799683
unit.000071,-75.070524931,6.82356095314,6.85685801506,6.85926389694,28.1754779816,29.4990200996
unit.000072,-75.0703220367,6.85690903664,6.89152812958,6.89400792122,28.7907519341,29.5541110039
unit.000073,-75.0701200962,6.95495605469,6.99088191986,6.99320697784,32.889136076,34.1638469696
unit.000074,-75.0699169636,7.06397795677,7.10053300858,7.10330295563,33.6083819866,34.3191869259
unit.000075,-75.0697078705,7.10037112236,7.13641810417,7.1389400959,29.4092988968,31.0529239178
unit.000076,-75.0694959164,7.17267107964,7.20778012276,7.21023011208,32.6846690178,34.3239951134
unit.000077,-75.0692920685,7.24482798576,7.2837460041,7.28619599342,26.8571250439,28.2568130493
unit.000078,-75.0690889359,8.5033121109,8.5392999649,8.54227495193,31.8702700138,32.914124012
unit.000079,-75.0688860416,9.0117521286,9.05051398277,9.05357503891,35.6371450424,36.32249403
unit.000080,-75.0686819553,9.41092395782,9.4482729435,9.45115709305,36.0445170403,36.3979918957
unit.000081,-75.0684719086,6.12214207649,6.14625811577,6.1509449482,29.5115010738,30.8860421181
unit.000082,-75.0682690144,7.53723311424,7.5740339756,7.57684206963,29.5155870914,31.106828928
unit.000083,-75.0680510998,7.64802408218,7.68897390366,7.69165897369,33.4015851021,34.4274930954
unit.000084,-75.0678400993,6.48826694489,6.52298498154,6.52533698082,31.252630949,32.7133929729
unit.000085,-75.067636013,7.80600905418,7.84537005424,7.84840512276,32.9925310612,34.4814479351
unit.000086,-75.0674118996,7.3595969677,7.3978869915,7.40072202682,31.7704899311,32.8490979671
unit.000087,-75.0669500828,7.76535010338,7.80610489845,7.80889391899,28.2854230404,29.7153229713
unit.000088,-75.0667369366,8.2020509243,8.24196910858,8.2447719574,32.4829740524,34.5356891155
unit.000089,-75.0665159225,8.61917996407,8.70695710182,8.70971608162,33.5070610046,34.5899829865
unit.000090,-75.0663049221,9.12966299057,9.17157101631,9.17445707321,38.765625,39.839838028
unit.000091,-75.0660989285,6.28019404411,6.29601597786,6.29789996147,29.2011649609,30.9386029243
unit.000092,-75.0658960342,9.96872806549,10.0079159737,10.0108299255,68.8736050129,70.0584440231
unit.000093,-75.0656740665,10.4903109074,10.528470993,10.5316500664,36.5520510674,37.6213750839
unit.000094,-75.065459013,10.1963601112,10.2365250587,10.2394061089,34.2175049782,36.12824893
unit.000095,-75.0652430058,6.42266511917,6.45291590691,6.45533394814,31.5609030724,32.667402029
unit.000096,-75.0650370121,7.28348493576,7.32431197166,7.32682204247,29.0987639427,31.1022839546
unit.000097,-75.0648388863,7.68896007538,7.7273080349,7.73005104065,33.5040130615,34.432528019
unit.000098,-75.0646350384,8.12323403358,8.16122293472,8.16402006149,34.9254949093,36.0007579327
unit.000099,-75.0644230843,8.53929400444,8.57780504227,8.58064413071,37.7584619522,38.725135088
unit.000100,-75.0642199516,6.26125192642,6.28013896942,6.2820110321,31.3594400883,32.6161289215
unit.000101,-75.064002037,9.48662304878,9.52578806877,9.52869200706,65.9584410191,67.8408401012
unit.000102,-75.0637979507,9.8516869545,9.89016008377,9.89312195778,64.5534090996,65.7334029675
unit.000103,-75.0635919571,10.4127500057,10.449007988,10.4520449638,36.5488131046,37.5907740593
unit.000104,-75.063368082,10.9029550552,10.9388680458,10.9418179989,27.5665531158,28.3102231026
unit.000105,-75.0631730556,6.55696392059,6.59168505669,6.59417009354,33.2998731136,34.2651090622
unit.000106,-75.0629808903,7.02372598648,7.06416893005,7.06673908234,33.0948710442,34.270786047
unit.000107,-75.0627830029,7.42044091225,7.4590690136,7.46149992943,35.1321139336,36.2900099754
unit.000108,-75.0625879765,7.84500002861,7.86453795433,7.86677789688,31.6668739319,32.8362019062
unit.000109,-75.0623860359,8.27883696556,8.31715297699,8.32002210617,31.0508499146,31.4790561199
unit.000110,-75.0621919632,8.74470210075,8.78332591057,8.78618407249,32.6878979206,34.5944581032
unit.000111,-75.0619990826,9.21369504929,9.25483107567,9.25776004791,31.2580049038,32.9748930931
unit.000112,-75.0617818832,9.5883140564,9.63018894196,9.63308596611,67.4646251202,68.911575079
unit.000113,-75.0615870953,10.044410944,10.0844259262,10.087569952,68.2699301243,70.103397131
unit.000114,-75.0613839626,10.5285069942,10.5641760826,10.5671720505,40.0710690022,40.8866510391
unit.000115,-75.061191082,6.09998607635,6.12362790108,6.12741494179,31.3562879562,32.6101670265
