CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-444.967933893,6.14475107193,6.16825819016,6.17370915413,24.5992491245,25.3965849876
unit.000001,-444.9677279,7.26564717293,7.2952671051,25.3245770931,39.9846320152,41.66121912
unit.000002,-444.96754694,7.38807010651,7.41856908798,30.4456629753,46.7154970169,47.9354760647
unit.000003,-444.967357874,7.57064008713,7.6021900177,36.171049118,55.0702090263,56.5841641426
unit.000004,-444.967181921,7.41860413551,7.44838404655,32.754224062,55.9746060371,57.7368540764
unit.000005,-444.966953993,8.52085208893,8.5508620739,54.0935280323,66.8311882019,68.3803961277
unit.000006,-444.966285944,7.97996115685,8.01433110237,41.0085411072,52.9492800236,54.4190661907
unit.000007,-444.966045856,8.04526305199,8.07839512825,42.9182741642,57.2845540047,58.8729720116
unit.000008,-444.965478897,7.82173800468,7.8518371582,38.3850600719,54.0625441074,55.5036070347
unit.000009,-444.965228796,7.88455200195,7.91482210159,39.2980341911,52.4434711933,54.3655061722
unit.000010,-444.964993,8.13610601425,8.16586017609,46.7345941067,63.2093780041,65.1379930973
unit.000011,-444.964756966,6.35879802704,6.38748407364,6.39002513885,17.3542020321,18.9490401745
unit.000012,-444.964524031,6.50543403625,6.5365819931,6.53889513016,20.6731750965,22.2613492012
unit.000013,-444.964301825,6.65508317947,6.68529200554,6.6877579689,26.3113491535,27.7606160641
unit.000014,-444.964125872,6.9491250515,6.97931408882,20.8872680664,37.8682010174,39.4427649975
unit.000015,-444.963938951,7.13097405434,7.16060209274,24.0048751831,41.0875370502,42.6970820427
unit.000016,-444.963764906,6.16825699806,6.18779802322,6.18983697891,21.9812819958,23.3411900997
unit.000017,-444.963591814,8.67164707184,8.70198702812,55.0893931389,70.9598011971,72.8030409813
unit.000018,-444.963405848,8.78957104683,8.82103419304,57.2023231983,76.5916860104,77.0456671715
unit.000019,-444.963232994,8.88096213341,8.91122102737,60.8105821609,84.0344221592,84.5532491207
