CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-256.494661093,9.40845990181,9.42415308952,9.42631697655,50.669095993,51.9208331108
unit.000001,-256.494443893,11.1946001053,11.2224400043,11.2252891064,53.3369450569,55.2164931297
unit.000002,-256.494260073,11.3483769894,11.3762030602,11.3789379597,50.1351919174,52.0201470852
unit.000003,-256.494070053,11.4638180733,11.5013759136,11.5054109097,58.9850239754,59.768280983
unit.000004,-256.493896008,11.5327939987,11.5603859425,11.5629770756,53.7585339546,55.3387219906
unit.000005,-256.493719101,11.6171379089,11.6759390831,11.6790211201,51.8107349873,52.5399060249
unit.000006,-256.493499041,12.527162075,12.5577459335,41.8847460747,59.8886890411,60.8435480595
unit.000007,-256.493319035,11.8303310871,11.859359026,11.8621199131,43.906922102,45.6554620266
unit.000008,-256.493134975,11.9196140766,11.949311018,11.9520349503,52.8408811092,53.9639799595
unit.000009,-256.492959976,9.03695201874,9.06943893433,9.07201004028,46.4906549454,47.8449521065
unit.000010,-256.492786884,9.33269500732,9.37315392494,9.37597298622,51.6164360046,52.2873239517
unit.000011,-256.492606878,12.2027881145,12.2301080227,12.2328960896,51.707668066,52.6165969372
unit.000012,-256.492430925,12.2577660084,12.2858290672,12.2884969711,46.5635259151,48.4944760799
unit.000013,-256.492238998,12.3426659107,12.3734679222,12.3760380745,57.6788349152,58.6925799847
unit.000014,-256.492053986,12.3734049797,12.4018471241,12.4044969082,52.3239920139,53.9915521145
unit.000015,-256.491878033,12.4628510475,12.4957780838,40.842826128,64.0040791035,66.1013839245
unit.000016,-256.491699934,8.2843849659,8.29980492592,8.30178189278,51.9034779072,53.7144160271
unit.000017,-256.491523027,11.9841880798,12.0164690018,12.0191290379,49.1832749844,50.646337986
unit.000018,-256.491348982,9.85094809532,9.90017795563,9.90318393707,53.6418409348,55.0670330524
unit.000019,-256.491164923,10.030796051,10.0728518963,10.0763931274,58.5825009346,59.7417850494
unit.000020,-256.49098897,10.1329219341,10.2443790436,10.248044014,47.1241729259,48.2938790321
unit.000021,-256.490810871,10.3145120144,10.3429250717,10.3457620144,44.3145129681,45.6056540012
unit.000022,-256.490632057,10.4136168957,10.4475500584,10.450453043,49.090061903,50.5644059181
unit.000023,-256.490457058,10.5576689243,10.5874390602,10.5901219845,52.1153719425,53.8419840336
unit.000024,-256.490215063,10.6461970806,10.6754999161,10.6782081127,48.2703669071,49.182174921
unit.000025,-256.489968061,10.7468929291,10.7769670486,10.7797620296,53.1331739426,55.13966012
unit.000026,-256.489732027,10.7768239975,10.8089389801,10.8117740154,49.5916769505,50.5962269306
unit.000027,-256.489556074,10.8572289944,10.8878209591,10.8906109333,48.0495700836,49.2822360992
unit.000028,-256.489382029,10.9175031185,10.9483590126,10.9511749744,53.1378331184,55.1667129993
unit.000029,-256.489207983,11.0163600445,11.0457160473,11.0484900475,50.1240620613,51.9892361164
unit.000030,-256.489019871,11.103053093,11.1341240406,11.1368219852,51.084348917,52.4898300171
unit.000031,-256.488846064,8.26880002022,8.28437995911,8.28632307053,42.7847471237,43.353356123
unit.000032,-256.488672018,11.2224318981,11.2519171238,11.2548100948,53.3415620327,55.2392239571
unit.000033,-256.488498926,11.3205339909,11.3484070301,11.3511219025,56.7720279694,57.5669538975
unit.000034,-256.488327026,11.4051549435,11.4336819649,11.4363949299,53.7539250851,55.3161370754
