CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-52.8939609528,15.4206840992,15.4422461987,21.3487830162,26.364385128,31.1131951809
unit.000001,-52.893750906,13.7703521252,13.7974131107,13.7999551296,20.9902160168,26.4739551544
unit.000002,-52.8935639858,15.7172369957,15.7578041553,21.6642401218,26.7795851231,30.3703651428
unit.000003,-52.8933877945,12.1605291367,12.1871950626,12.1899170876,19.5726602077,21.7072610855
unit.000004,-52.8932127953,12.214192152,12.2560420036,12.2588710785,19.7886471748,21.8311140537
unit.000005,-52.893021822,12.2819950581,12.3183450699,12.3209900856,19.8733940125,21.9545710087
unit.000006,-52.8928339481,12.3460152149,12.3739011288,12.3766160011,20.2399680614,24.196157217
unit.000007,-52.8926599026,12.3739020824,12.4182891846,12.4210970402,20.0830481052,22.323346138
unit.000008,-52.8924868107,14.210819006,14.2393522263,20.0193040371,25.0352191925,26.9795291424
unit.000009,-52.8923130035,12.5026721954,12.5293591022,12.5318322182,20.1952140331,22.5155370235
unit.000010,-52.8921399117,12.5621550083,12.5891990662,12.5919120312,20.2007961273,24.3773331642
unit.000011,-52.8919608593,15.6097371578,15.6431422234,21.5578670502,26.5754480362,30.1875500679
unit.000012,-52.8917748928,12.6523051262,12.6796090603,12.6822240353,20.2749621868,24.4420981407
unit.000013,-52.8916008472,12.7130100727,12.7394590378,12.7462100983,20.2498180866,24.5649800301
unit.000014,-52.8912889957,12.7939720154,12.8422930241,12.8452320099,20.3297991753,24.6238460541
unit.000015,-52.8911118507,13.1732881069,13.1999540329,13.2045361996,20.2307720184,25.0589489937
unit.000016,-52.8909327984,12.0416810513,12.0566401482,12.058604002,20.0785031319,23.0699059963
unit.000017,-52.8907468319,13.7434961796,13.770401001,13.7730231285,20.7442932129,26.4182600975
unit.000018,-52.8905699253,13.0911841393,13.1185920238,13.1212370396,20.2266352177,24.9360601902
unit.000019,-52.8903989792,13.1455740929,13.1732070446,13.1757731438,20.0929291248,22.7661681175
