CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,-61.0543010235,6.35524082184,6.36981987953,6.40693497658,204.204664946,206.016374826
unit.000001,-61.0541031361,7.72537493706,7.75303483009,7.75584578514,150.858398914,152.062973976
unit.000002,-61.0539212227,6.77297997475,6.79930686951,6.80182099342,174.710939884,176.583561897
unit.000003,-61.0537211895,8.8321158886,8.86227679253,169.698177814,317.096771955,318.459365845
unit.000004,-61.0535440445,9.2020637989,9.23198986053,175.488279819,342.454372883,342.965332985
unit.000005,-61.0533630848,9.53286290169,9.58846092224,182.470716,330.18509984,331.264962912
unit.000006,-61.0531861782,7.05219078064,7.09854197502,7.10148096085,154.588244915,155.248950005
unit.000007,-61.0530030727,10.7939519882,10.8814899921,302.818778992,399.886545897,400.798228979
unit.000008,-61.0526900291,6.56608891487,6.59934091568,6.60405993462,158.63771081,159.425054789
unit.000009,-61.0524201393,7.00793480873,7.05236577988,7.05519795418,175.12706399,176.626845837
unit.000010,-61.0521020889,7.48060798645,7.50710988045,7.50973677635,184.619463921,186.186145782
unit.000011,-61.0519151688,7.91345095634,7.94938087463,7.95210194588,185.548628807,187.284855843
unit.000012,-61.0517301559,8.23320484161,8.25913095474,154.627738953,302.770509958,304.685508966
unit.000013,-61.051554203,7.56069898605,7.58772492409,7.59043478966,161.570554972,162.662691832
unit.000014,-61.051377058,7.6149559021,7.64138293266,7.6441218853,172.091364861,172.415974855
unit.000015,-61.0512020588,7.66868877411,7.69671487808,7.69951200485,182.400777817,183.066043854
unit.000016,-61.0510292053,6.28147578239,6.34695982933,6.35988783836,158.73721385,159.405568838
unit.000017,-61.0508491993,7.80833697319,7.8488099575,7.85168099403,139.883550882,141.738609791
unit.000018,-61.0506711006,10.9801588058,11.155684948,306.549162865,400.689074993,401.87825799
unit.000019,-61.0504961014,7.97720479965,8.00498390198,8.0077009201,232.986760855,234.795358896
unit.000020,-61.0503242016,8.05868577957,8.08665800095,139.930579901,285.741021872,287.135236979
unit.000021,-61.0501551628,8.08664894104,8.11593079567,142.644146919,291.25500083,292.318776846
unit.000022,-61.0499820709,8.03213191032,8.05870699883,8.06159377098,168.741393805,170.108559847
unit.000023,-61.0497910976,8.1766808033,8.20734095573,152.08332777,303.773736954,305.764376879
unit.000024,-61.0496160984,8.25910782814,8.28622984886,155.939337969,316.589505911,317.324427843
unit.000025,-61.0494451523,8.3142209053,8.34323096275,157.953720808,306.495932817,307.87003994
unit.000026,-61.0492742062,8.39923000336,8.42876195908,159.376199007,319.51847291,320.57265687
unit.000027,-61.0491020679,8.42861294746,8.45716881752,161.486418962,312.146654844,313.053636789
unit.000028,-61.0489270687,8.51443600655,8.54284381866,162.092532873,316.893412828,318.410660982
unit.000029,-61.0487470627,8.45703291893,8.4853348732,161.550824881,316.486471891,317.379585981
unit.000030,-61.0485751629,8.58160495758,8.60892891884,162.8192029,329.882215977,330.129513979
unit.000031,-61.0484061241,6.38431978226,6.399340868,6.42660498619,162.071947813,162.608540773
unit.000032,-61.0482320786,8.73861384392,8.77601790428,168.297605991,318.105810881,319.54179287
unit.000033,-61.048058033,8.80426287651,8.83224892616,169.191305876,346.270624876,348.205486774
unit.000034,-61.0478792191,8.89111995697,8.91828680038,169.914008856,311.439526796,313.106920004
unit.000035,-61.0477061272,8.95009684563,8.98038983345,171.029874802,321.027196884,322.731456995
