CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Mapper-0-1,N/A,6.87513518333,N/A,15.7577340603,60.6375691891,60.6737771034
unit.000001,Mapper-0-2,N/A,6.62061810493,N/A,15.7487740517,52.2661340237,52.3026390076
unit.000002,Mapper-0-3,N/A,6.29853010178,N/A,10.860612154,44.837542057,44.8737981319
unit.000003,Mapper-0-4,N/A,6.83148908615,N/A,15.7549331188,52.3727371693,52.4090061188
unit.000004,Mapper-0-5,N/A,6.70077419281,N/A,15.6897001266,62.8749279976,62.9113161564
unit.000005,Mapper-0-6,N/A,6.50320720673,N/A,15.641076088,52.3013601303,52.3387560844
unit.000006,Mapper-0-7,N/A,6.58617520332,N/A,18.7569150925,61.7680571079,61.8042650223
unit.000007,Mapper-0-8,N/A,6.54553699493,N/A,15.7459671497,48.0891590118,48.125836134
unit.000008,Mapper-0-9,N/A,6.33617901802,N/A,10.9129090309,47.0142991543,47.0515871048
unit.000009,Mapper-0-10,N/A,6.41693711281,N/A,15.7430660725,61.7437942028,61.7805411816
unit.000010,Mapper-0-11,N/A,6.74196505547,N/A,18.8050501347,61.8148581982,61.8509950638
unit.000011,Mapper-0-12,N/A,6.45967316628,N/A,10.9194180965,45.9073441029,45.9442460537
unit.000012,Mapper-0-13,N/A,6.78820919991,N/A,15.692964077,62.9218890667,62.95839715
unit.000013,Mapper-0-14,N/A,6.66004514694,N/A,15.7519550323,33.3684380054,33.4077939987
unit.000014,Mapper-0-15,N/A,6.26688504219,N/A,10.8117210865,37.5475640297,37.5840141773
unit.000015,Mapper-0-16,N/A,6.37708306313,N/A,10.9163870811,46.9829201698,47.0192921162
unit.000016,Reducer-0,N/A,67.6137971878,N/A,70.7894051075,76.585362196,77.8009002209
unit.000017,Mapper-1-1,N/A,88.811658144,N/A,92.1620352268,116.384059191,116.420917034
unit.000018,Mapper-1-2,N/A,83.2900161743,N/A,88.3387980461,113.086932182,113.123982191
unit.000019,Mapper-1-3,N/A,84.2420341969,N/A,89.8459990025,134.266178131,134.302905083
unit.000020,Mapper-1-4,N/A,86.8128340244,N/A,91.155477047,115.238372087,115.275272131
unit.000021,Mapper-1-5,N/A,81.2829282284,N/A,84.8167140484,119.563899994,119.600195169
unit.000022,Mapper-1-6,N/A,85.3863511086,N/A,90.2537870407,134.206515074,134.242936134
unit.000023,Mapper-1-7,N/A,87.8198812008,N/A,91.1618471146,134.135958195,134.172209024
