CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,N/A,1.436,N/A,177.611,249.815,252.251
unit.000001,N/A,1.443,N/A,181.574,254.081,256.846
unit.000002,N/A,1.567,N/A,261.321,334.247,338.701
unit.000003,N/A,1.454,N/A,188.992,262.439,263.982
unit.000004,N/A,1.464,N/A,194.461,266.766,271.716
unit.000005,N/A,1.272,N/A,65.932,137.546,145.974
unit.000006,N/A,1.311,N/A,94.367,166.532,171.851
unit.000007,N/A,1.355,N/A,122.739,196.479,198.758
unit.000008,N/A,1.487,N/A,213.173,286.064,287.545
unit.000009,N/A,1.49,N/A,214.412,287.549,289.493
unit.000010,N/A,1.495,N/A,217.324,290.42,292.388
unit.000011,N/A,1.508,N/A,226.154,299.571,302.729
unit.000012,N/A,1.51,N/A,226.979,300.852,305.601
unit.000013,N/A,1.497,N/A,220.267,292.83,294.292
unit.000014,N/A,1.517,N/A,229.601,302.259,308.537
unit.000015,N/A,1.246,N/A,48.796,120.73,129.24
unit.000016,N/A,1.284,N/A,79.021,150.817,153.706
unit.000017,N/A,1.54,N/A,244.346,315.481,317.311
unit.000018,N/A,1.371,N/A,129.598,201.245,203.657
unit.000019,N/A,1.555,N/A,251.555,323.474,327.951
unit.000020,N/A,1.438,N/A,179.031,253.175,255.943
unit.000021,N/A,1.479,N/A,200.719,272.33,274.549
unit.000022,N/A,1.581,N/A,265.167,337.799,342.639
unit.000023,N/A,1.593,N/A,273.552,346.037,347.686
unit.000024,N/A,1.171,N/A,4.515,85.866,89.88
unit.000025,N/A,1.176,N/A,7.424,86.229,90.803
unit.000026,N/A,1.185,N/A,12.632,88.073,94.543
unit.000027,N/A,1.191,N/A,15.546,89.502,97.486
unit.000028,N/A,1.196,N/A,18.608,92.321,101.141
unit.000029,N/A,1.2,N/A,21.666,94.143,105.17
unit.000030,N/A,1.212,N/A,27.783,98.396,110.055
unit.000031,N/A,1.222,N/A,32.748,104.804,113.772
unit.000032,N/A,1.23,N/A,37.705,111.964,122.562
unit.000033,N/A,1.236,N/A,41.726,114.428,124.493
unit.000034,N/A,1.245,N/A,47.826,119.174,128.331
unit.000035,N/A,1.25,N/A,50.877,123.569,131.158
unit.000036,N/A,1.256,N/A,54.885,126.809,136.888
unit.000037,N/A,1.262,N/A,58.886,129.608,139.906
unit.000038,N/A,1.27,N/A,64.986,135.988,144.967
unit.000039,N/A,1.277,N/A,75.882,147.911,150.815
unit.000040,N/A,1.283,N/A,78.338,151.233,154.712
unit.000041,N/A,1.291,N/A,85.094,159.559,162.36
unit.000042,N/A,1.297,N/A,88.646,161.456,164.278
unit.000043,N/A,1.303,N/A,91.316,162.363,166.091
unit.000044,N/A,1.308,N/A,93.968,164.737,169.114
unit.000045,N/A,1.317,N/A,99.427,170.027,173.675
unit.000046,N/A,1.325,N/A,104.5,175.694,178.619
unit.000047,N/A,1.333,N/A,108.893,180.179,183.204
unit.000048,N/A,1.338,N/A,109.557,180.44,184.211
unit.000049,N/A,1.348,N/A,115.597,187.915,189.226
unit.000050,N/A,1.353,N/A,122.637,196.018,197.852
unit.000051,N/A,1.361,N/A,124.56,195.581,196.936
unit.000052,N/A,1.368,N/A,128.467,201.794,204.72
unit.000053,N/A,1.374,N/A,132.13,202.734,205.726
unit.000054,N/A,1.39,N/A,149.555,221.48,222.377
unit.000055,N/A,1.394,N/A,152.284,223.859,225.378
unit.000056,N/A,1.397,N/A,155.357,226.672,228.314
unit.000057,N/A,1.4,N/A,157.407,227.598,229.256
unit.000058,N/A,1.405,N/A,159.362,231.138,232.97
unit.000059,N/A,1.409,N/A,161.28,232.426,235.857
unit.000060,N/A,1.413,N/A,163.858,236.869,240.774
unit.000061,N/A,1.418,N/A,165.366,236.216,239.791
unit.000062,N/A,1.423,N/A,170.319,240.777,244.617
unit.000063,N/A,1.429,N/A,174.659,246.976,249.334
unit.000064,N/A,1.441,N/A,180.563,251.349,254.08
unit.000065,N/A,1.447,N/A,186.855,258.572,260.878
unit.000066,N/A,1.187,N/A,13.596,88.593,95.561
unit.000067,N/A,1.231,N/A,38.659,110.633,119.712
unit.000068,N/A,1.473,N/A,195.378,265.811,269.702
unit.000069,N/A,1.478,N/A,200.404,271.718,273.543
unit.000070,N/A,1.481,N/A,201.607,275.233,276.481
unit.000071,N/A,1.395,N/A,155.13,225.762,227.295
unit.000072,N/A,1.419,N/A,167.883,239.793,242.605
unit.000073,N/A,1.471,N/A,195.162,265.443,268.705
unit.000074,N/A,1.499,N/A,222.219,295.228,298.032
unit.000075,N/A,1.506,N/A,225.258,297.666,300.849
unit.000076,N/A,1.59,N/A,271.239,343.067,345.659
unit.000077,N/A,1.197,N/A,19.576,93.235,103.157
unit.000078,N/A,1.522,N/A,231.9,303.739,309.44
unit.000079,N/A,1.532,N/A,237.028,307.62,312.454
unit.000080,N/A,1.327,N/A,106.811,178.621,180.438
unit.000081,N/A,1.547,N/A,246.829,317.316,321.05
unit.000082,N/A,1.543,N/A,245.399,317.711,322.056
unit.000083,N/A,1.57,N/A,262.939,334.895,339.707
unit.000084,N/A,1.564,N/A,257.684,330.495,333.885
unit.000085,N/A,1.595,N/A,273.753,345.004,346.676
unit.000086,N/A,1.199,N/A,20.529,92.721,102.148
unit.000087,N/A,1.427,N/A,174.354,246.043,247.43
unit.000088,N/A,1.192,N/A,16.498,90.412,99.307
unit.000089,N/A,1.189,N/A,14.583,88.973,96.478
unit.000090,N/A,1.194,N/A,17.645,89.9,98.394
unit.000091,N/A,1.386,N/A,147.31,218.643,219.55
unit.000092,N/A,1.205,N/A,24.725,95.579,107.097
unit.000093,N/A,1.216,N/A,29.692,100.24,111.961
unit.000094,N/A,1.227,N/A,35.804,110.056,118.705
unit.000095,N/A,1.235,N/A,40.768,111.045,120.727
unit.000096,N/A,1.24,N/A,44.775,116.256,127.325
unit.000097,N/A,1.248,N/A,49.738,121.652,130.247
unit.000098,N/A,1.255,N/A,53.933,124.496,133.061
unit.000099,N/A,1.26,N/A,57.945,127.707,137.894
unit.000100,N/A,1.268,N/A,62.884,133.063,143.949
unit.000101,N/A,1.273,N/A,67.084,139.445,146.98
unit.000102,N/A,1.281,N/A,78.31,148.902,152.7
unit.000103,N/A,1.287,N/A,80.761,151.802,155.718
unit.000104,N/A,1.3,N/A,90.989,164.283,168.108
unit.000105,N/A,1.445,N/A,182.127,252.253,254.99
unit.000106,N/A,1.306,N/A,92.751,163.749,167.101
unit.000107,N/A,1.314,N/A,97.626,169.115,172.771
unit.000108,N/A,1.322,N/A,104.096,172.775,176.602
unit.000109,N/A,1.331,N/A,108.857,178.391,179.526
unit.000110,N/A,1.337,N/A,109.264,179.529,182.292
unit.000111,N/A,1.46,N/A,192.837,263.639,264.904
unit.000112,N/A,1.28,N/A,77.697,148.299,151.8
