CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,N/A,11.572,N/A,94.721,154.374,155.81
unit.000001,N/A,14.507,N/A,97.77,156.818,159.639
unit.000002,N/A,61.693,N/A,155.062,215.505,216.945
unit.000003,N/A,0.711,N/A,16.877,75.452,76.345
unit.000004,N/A,19.477,N/A,103.827,161.935,165.361
unit.000005,N/A,21.134,N/A,105.901,164.844,167.168
unit.000006,N/A,0.755,N/A,58.677,117.488,118.403
unit.000007,N/A,0.768,N/A,69.668,129.1,130.901
unit.000008,N/A,27.761,N/A,113.852,173.015,174.955
unit.000009,N/A,29.427,N/A,115.935,174.381,176.969
unit.000010,N/A,31.554,N/A,118.993,177.245,180.118
unit.000011,N/A,33.217,N/A,120.894,178.807,182.131
unit.000012,N/A,36.077,N/A,123.93,183.043,184.866
unit.000013,N/A,38.211,N/A,126.97,187.915,190.712
unit.000014,N/A,0.718,N/A,23.55,82.739,84.276
unit.000015,N/A,0.732,N/A,36.858,95.456,96.858
unit.000016,N/A,46.047,N/A,135.922,194.63,196.444
unit.000017,N/A,0.759,N/A,63.623,124.352,126.174
unit.000018,N/A,49.927,N/A,141.054,198.198,201.497
unit.000019,N/A,4.932,N/A,86.752,145.737,147.352
unit.000020,N/A,55.008,N/A,146.983,208.708,210.089
unit.000021,N/A,29.893,N/A,116.888,175.322,177.893
unit.000022,N/A,58.329,N/A,151.017,209.163,210.995
unit.000023,N/A,0.696,N/A,3.565,63.577,64.498
unit.000024,N/A,0.699,N/A,5.276,64.502,66.496
unit.000025,N/A,0.702,N/A,8.507,66.32,67.502
unit.000026,N/A,0.704,N/A,10.22,68.222,69.515
unit.000027,N/A,0.705,N/A,11.931,69.518,71.433
unit.000028,N/A,0.709,N/A,15.164,73.026,74.447
unit.000029,N/A,0.713,N/A,18.4,76.927,78.246
unit.000030,N/A,0.716,N/A,21.821,79.836,81.261
unit.000031,N/A,0.72,N/A,25.068,83.63,85.282
unit.000032,N/A,0.721,N/A,26.778,86.287,87.188
unit.000033,N/A,0.725,N/A,30.207,89.091,90.001
unit.000034,N/A,0.727,N/A,31.904,89.547,91.011
unit.000035,N/A,0.728,N/A,33.425,91.012,91.939
unit.000036,N/A,0.73,N/A,35.144,91.941,92.838
unit.000037,N/A,0.734,N/A,38.565,96.352,97.866
unit.000038,N/A,0.736,N/A,40.271,98.873,99.791
unit.000039,N/A,0.74,N/A,43.495,101.802,102.696
unit.000040,N/A,0.741,N/A,45.207,104.165,105.617
unit.000041,N/A,0.743,N/A,46.916,103.705,104.609
unit.000042,N/A,0.747,N/A,50.139,109.969,111.554
unit.000043,N/A,0.748,N/A,51.846,109.07,110.547
unit.000044,N/A,0.752,N/A,55.261,115.578,116.481
unit.000045,N/A,0.753,N/A,56.968,115.797,117.486
unit.000046,N/A,0.756,N/A,60.384,119.77,121.337
unit.000047,N/A,0.758,N/A,61.905,119.409,120.328
unit.000048,N/A,0.761,N/A,64.564,123.682,125.244
unit.000049,N/A,0.763,N/A,65.697,125.245,128.185
unit.000050,N/A,0.765,N/A,67.578,128.476,130.001
unit.000051,N/A,0.766,N/A,68.716,128.186,129.098
unit.000052,N/A,0.77,N/A,70.608,130.002,132.825
unit.000053,N/A,0.771,N/A,71.58,129.368,131.819
unit.000054,N/A,0.776,N/A,74.604,131.269,134.837
unit.000055,N/A,0.778,N/A,75.765,135.845,137.647
unit.000056,N/A,0.783,N/A,78.609,136.74,138.548
unit.000057,N/A,0.785,N/A,80.691,139.558,141.467
unit.000058,N/A,2.965,N/A,83.723,141.818,144.326
unit.000059,N/A,4.62,N/A,85.804,147.541,150.048
unit.000060,N/A,6.599,N/A,88.841,147.353,149.151
unit.000061,N/A,8.254,N/A,90.727,150.054,152.979
unit.000062,N/A,11.206,N/A,93.762,152.983,154.908
unit.000063,N/A,12.86,N/A,95.852,154.91,156.817
unit.000064,N/A,14.886,N/A,98.709,156.184,158.731
unit.000065,N/A,51.07,N/A,142.0,201.499,203.41
unit.000066,N/A,36.548,N/A,124.895,183.955,185.871
unit.000067,N/A,16.543,N/A,100.794,159.016,162.452
unit.000068,N/A,23.21,N/A,108.942,166.263,168.985
unit.000069,N/A,24.872,N/A,110.832,168.754,172.006
unit.000070,N/A,0.786,N/A,81.639,139.901,142.405
unit.000071,N/A,13.221,N/A,96.824,155.28,157.722
unit.000072,N/A,26.104,N/A,111.767,168.071,171.0
unit.000073,N/A,39.397,N/A,127.922,186.077,187.788
unit.000074,N/A,53.35,N/A,145.041,202.909,205.346
unit.000075,N/A,0.7,N/A,6.796,64.409,65.492
unit.000076,N/A,41.585,N/A,130.981,187.791,189.699
unit.000077,N/A,44.381,N/A,134.036,191.726,193.625
unit.000078,N/A,0.745,N/A,48.631,105.62,106.526
unit.000079,N/A,47.714,N/A,138.022,195.547,198.46
unit.000080,N/A,0.773,N/A,72.711,133.172,135.844
unit.000081,N/A,52.784,N/A,144.079,202.015,204.34
unit.000082,N/A,17.814,N/A,101.752,158.734,161.551
unit.000083,N/A,57.747,N/A,150.041,208.267,209.162
unit.000084,N/A,61.158,N/A,154.094,210.998,213.93
unit.000085,N/A,0.775,N/A,73.661,130.903,133.83
unit.000086,N/A,0.723,N/A,28.491,88.193,89.089
unit.000087,N/A,0.781,N/A,77.66,137.652,139.557
unit.000088,N/A,0.784,N/A,79.743,137.995,140.461
unit.000089,N/A,0.787,N/A,82.772,143.412,145.34
unit.000090,N/A,3.287,N/A,84.668,141.469,143.41
unit.000091,N/A,6.268,N/A,87.703,148.256,150.958
unit.000092,N/A,7.91,N/A,89.794,146.642,148.252
unit.000093,N/A,9.915,N/A,92.813,150.46,153.893
unit.000094,N/A,42.722,N/A,131.927,190.811,191.722
unit.000095,N/A,56.098,N/A,147.932,205.807,208.262
unit.000096,N/A,16.162,N/A,99.85,157.118,160.545
unit.000097,N/A,18.206,N/A,102.876,159.641,163.349
unit.000098,N/A,19.883,N/A,104.766,161.555,164.354
unit.000099,N/A,22.784,N/A,107.79,165.364,168.068
unit.000100,N/A,24.446,N/A,109.885,167.171,169.991
unit.000101,N/A,26.543,N/A,112.902,169.649,173.011
unit.000102,N/A,28.208,N/A,114.797,172.558,173.932
unit.000103,N/A,31.085,N/A,117.826,173.476,175.962
unit.000104,N/A,32.744,N/A,119.944,176.971,178.805
unit.000105,N/A,34.893,N/A,123.01,182.139,183.039
unit.000106,N/A,37.73,N/A,125.846,182.176,183.953
unit.000107,N/A,39.923,N/A,128.865,185.875,186.78
unit.000108,N/A,43.241,N/A,132.891,191.707,192.62
unit.000109,N/A,44.902,N/A,134.982,194.618,195.545
unit.000110,N/A,46.582,N/A,136.887,195.52,197.453
unit.000111,N/A,49.376,N/A,139.899,197.307,200.486
unit.000112,N/A,51.66,N/A,142.942,201.107,202.402
unit.000113,N/A,54.436,N/A,146.016,203.411,206.247
unit.000114,N/A,56.671,N/A,149.083,205.35,207.254
unit.000115,N/A,59.508,N/A,151.96,210.09,211.92
unit.000116,N/A,60.031,N/A,153.119,210.601,212.924
unit.000117,N/A,0.714,N/A,20.112,76.346,77.24
unit.000118,N/A,41.06,N/A,130.01,186.985,188.69
unit.000119,N/A,0.738,N/A,41.801,97.248,98.871
unit.000120,N/A,0.75,N/A,53.554,110.885,112.562
unit.000121,N/A,0.764,N/A,66.647,124.579,127.18
unit.000122,N/A,0.78,N/A,76.712,134.077,136.738
unit.000123,N/A,9.564,N/A,91.677,149.153,151.965
