CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,0.833,N/A,1.6,13.594,13.596,0.041284,2.600573,0.004121

unit.000001,Mapper-0-2,N/A,0.834,N/A,1.618,12.521,12.522,0.017215,1.985028,0.003125

unit.000002,Mapper-0-3,N/A,0.871,N/A,2.166,13.609,13.611,0.020198,1.93567,0.003284

unit.000003,Mapper-0-4,N/A,0.885,N/A,2.474,13.63,13.632,0.018555,2.440161,0.003769

unit.000004,Mapper-0-5,N/A,0.9,N/A,2.686,13.644,13.646,0.016402,2.403984,0.003682

unit.000005,Mapper-0-6,N/A,0.906,N/A,2.767,14.72,14.723,0.026161,1.958572,0.003425

unit.000006,Mapper-0-7,N/A,0.756,N/A,0.861,12.44,12.441,0.041105,1.955862,0.010428

unit.000007,Mapper-0-8,N/A,0.852,N/A,1.8,14.682,14.685,0.029345,2.498143,0.003495

unit.000008,Mapper-0-9,N/A,0.853,N/A,1.809,12.527,12.53,0.021033,1.941754,0.003365

unit.000009,Mapper-0-10,N/A,0.856,N/A,1.865,12.53,12.532,0.021082,1.979754,0.003622

unit.000010,Mapper-0-11,N/A,0.858,N/A,1.895,14.685,14.687,0.02108,1.94223,0.0034

unit.000011,Mapper-0-12,N/A,0.861,N/A,2.006,12.534,12.537,0.021043,2.245029,0.003319

unit.000012,Mapper-0-13,N/A,0.863,N/A,2.079,13.606,13.608,0.021095,1.932048,0.003207

unit.000013,Mapper-0-14,N/A,0.866,N/A,2.108,12.54,12.542,0.021205,1.938615,0.003391

unit.000014,Mapper-0-15,N/A,0.898,N/A,2.656,14.712,14.714,0.016456,1.909163,0.00335

unit.000015,Mapper-0-16,N/A,0.911,N/A,2.831,15.761,15.763,0.029758,1.917148,0.003406

unit.000016,Mapper-0-17,N/A,0.874,N/A,2.29,12.551,12.553,0.02137,1.949085,0.01168

unit.000017,Mapper-0-18,N/A,0.762,N/A,0.919,13.566,13.567,0.020366,1.997685,0.003633

unit.000018,Mapper-0-19,N/A,0.781,N/A,1.105,14.66,14.662,0.014385,2.030993,0.003353

unit.000019,Mapper-0-20,N/A,0.799,N/A,1.317,14.664,14.666,0.03912,1.953682,0.003556

unit.000020,Mapper-0-21,N/A,0.824,N/A,1.532,12.511,12.514,0.04131,2.075157,0.00351

unit.000021,Mapper-0-22,N/A,0.79,N/A,1.203,13.579,13.582,0.017029,1.980688,0.003535

unit.000022,Mapper-0-23,N/A,0.857,N/A,1.876,13.604,13.606,0.021107,2.091631,0.003373

unit.000023,Mapper-0-24,N/A,0.89,N/A,2.577,15.756,15.757,0.035937,2.235935,0.00361

unit.000024,Mapper-0-25,N/A,0.893,N/A,2.607,13.638,13.64,0.015046,2.194391,0.00341

unit.000025,Mapper-0-26,N/A,0.896,N/A,2.646,13.641,13.643,0.036646,1.98296,0.003368

unit.000026,Mapper-0-27,N/A,0.899,N/A,2.676,14.714,14.715,0.01654,1.964453,0.003573

unit.000027,Mapper-0-28,N/A,0.902,N/A,2.708,15.756,15.758,0.028386,1.91602,0.005461

unit.000028,Mapper-0-29,N/A,0.903,N/A,2.727,15.758,15.76,0.022695,1.977362,0.003988

unit.000029,Mapper-0-30,N/A,0.906,N/A,2.758,14.72,14.722,0.016712,1.927662,0.003995

unit.000030,Mapper-0-31,N/A,0.907,N/A,2.788,15.761,15.762,0.017617,1.965921,0.003731

unit.000031,Mapper-0-32,N/A,0.91,N/A,2.821,14.727,14.729,0.01675,1.929821,0.003447

unit.000032,Mapper-0-33,N/A,0.913,N/A,2.852,14.73,14.732,0.016828,1.975709,0.003564

unit.000033,Mapper-0-34,N/A,0.914,N/A,2.872,15.764,15.766,0.033388,2.027808,0.003684

unit.000034,Mapper-0-35,N/A,0.917,N/A,2.93,15.766,15.768,0.013849,1.959859,0.003415

unit.000035,Mapper-0-36,N/A,0.92,N/A,2.984,15.769,15.771,0.015598,1.904955,0.003359

unit.000036,Mapper-0-37,N/A,0.924,N/A,3.041,15.78,15.782,0.016886,1.995921,0.003275

unit.000037,Mapper-0-38,N/A,0.925,N/A,3.061,14.741,14.743,0.027476,1.88814,0.004141

unit.000038,Mapper-0-39,N/A,0.747,N/A,0.785,12.431,12.434,0.042966,1.900362,0.004178

unit.000039,Mapper-0-40,N/A,0.751,N/A,0.824,13.556,13.565,0.041209,1.95349,0.003616

unit.000040,Mapper-0-41,N/A,0.753,N/A,0.843,14.65,14.651,0.041195,1.973584,0.00483

unit.000041,Mapper-0-42,N/A,0.774,N/A,1.028,13.57,13.572,0.020397,2.003315,0.007268

unit.000042,Mapper-0-43,N/A,0.887,N/A,2.518,13.632,13.634,0.019191,1.883224,0.003468

unit.000043,Mapper-0-44,N/A,0.766,N/A,0.949,13.568,13.569,0.020111,2.023669,0.003366

unit.000044,Mapper-0-45,N/A,0.757,N/A,0.871,13.565,13.566,0.041142,1.968114,0.00873

unit.000045,Mapper-0-46,N/A,0.771,N/A,0.988,13.57,13.571,0.027547,2.108797,0.003438

unit.000046,Mapper-0-47,N/A,0.915,N/A,2.882,14.732,14.734,0.014739,1.912056,0.004143

unit.000047,Mapper-0-48,N/A,0.777,N/A,1.057,13.573,13.574,0.022167,2.574032,0.003656

unit.000048,Mapper-0-49,N/A,0.797,N/A,1.298,12.464,12.465,0.038232,1.899927,0.010391

unit.000049,Mapper-0-50,N/A,0.782,N/A,1.115,12.454,12.455,0.026186,2.068508,0.003607

unit.000050,Mapper-0-51,N/A,0.785,N/A,1.144,14.661,14.663,0.027923,2.236311,0.003448

unit.000051,Mapper-0-52,N/A,0.788,N/A,1.185,15.743,15.75,0.014523,1.994849,0.005581

unit.000052,Mapper-0-53,N/A,0.791,N/A,1.242,12.459,12.46,0.014984,1.957611,0.003463

unit.000053,Mapper-0-54,N/A,0.794,N/A,1.271,12.461,12.463,0.038308,1.876717,0.013102

unit.000054,Mapper-0-55,N/A,0.864,N/A,2.089,12.538,12.541,0.021194,1.904229,0.00358

