CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,1.004,N/A,1.761,12.794,12.795,0.026084,1.027214,0.002521

unit.000001,Mapper-0-2,N/A,1.117,N/A,4.118,14.904,14.906,0.027569,1.139191,0.001531

unit.000002,Mapper-0-3,N/A,1.007,N/A,1.783,12.794,12.797,0.025456,0.973232,0.001651

unit.000003,Mapper-0-4,N/A,1.249,N/A,5.428,17.062,17.064,0.029675,0.99111,0.011041

unit.000004,Mapper-0-5,N/A,1.251,N/A,5.439,18.175,18.178,0.031904,0.971509,0.010679

unit.000005,Mapper-0-6,N/A,1.252,N/A,5.482,18.176,18.179,0.031769,0.954278,0.00241

unit.000006,Mapper-0-7,N/A,1.253,N/A,5.494,17.066,17.067,0.032959,1.217857,0.001574

unit.000007,Mapper-0-8,N/A,1.254,N/A,5.533,18.179,18.18,0.032266,1.251317,0.001875

unit.000008,Mapper-0-9,N/A,1.255,N/A,5.568,18.179,18.181,0.032152,1.019305,0.001659

unit.000009,Mapper-0-10,N/A,1.256,N/A,5.589,18.182,18.185,0.032534,0.995332,0.001657

unit.000010,Mapper-0-11,N/A,1.258,N/A,5.611,18.183,18.184,0.032182,0.997159,0.010244

unit.000011,Mapper-0-12,N/A,1.259,N/A,5.648,18.186,18.187,0.033099,0.987618,0.00162

unit.000012,Mapper-0-13,N/A,1.26,N/A,5.661,18.188,18.189,0.049174,1.310698,0.001957

unit.000013,Mapper-0-14,N/A,1.26,N/A,5.672,18.188,18.19,0.03348,0.985923,0.001615

unit.000014,Mapper-0-15,N/A,1.262,N/A,5.697,18.191,18.193,0.0327,1.029742,0.007913

unit.000015,Mapper-0-16,N/A,1.263,N/A,5.708,18.193,18.196,0.030153,0.995703,0.002384

unit.000016,Mapper-0-17,N/A,1.264,N/A,5.72,18.197,18.198,0.023865,1.018792,0.001706

unit.000017,Mapper-0-18,N/A,1.266,N/A,5.743,18.199,18.201,0.02411,1.21726,0.001563

unit.000018,Mapper-0-19,N/A,1.266,N/A,5.755,18.2,18.202,0.031396,1.026053,0.001787

unit.000019,Mapper-0-20,N/A,1.267,N/A,5.771,18.202,18.204,0.033542,1.003644,0.001736

unit.000020,Mapper-0-21,N/A,1.269,N/A,5.799,18.205,18.207,0.031637,1.018829,0.002004

unit.000021,Mapper-0-22,N/A,1.076,N/A,3.552,15.967,15.968,0.031934,1.031401,0.001684

unit.000022,Mapper-0-23,N/A,1.064,N/A,3.427,14.873,14.875,0.028417,1.164399,0.001887

unit.000023,Mapper-0-24,N/A,1.27,N/A,5.812,18.205,18.207,0.02416,1.005849,0.001586

unit.000024,Mapper-0-25,N/A,1.273,N/A,5.867,18.211,18.213,0.02134,1.027781,0.0018

unit.000025,Mapper-0-26,N/A,1.274,N/A,5.881,18.213,18.214,0.03251,1.026999,0.00175

unit.000026,Mapper-0-27,N/A,1.275,N/A,5.905,18.215,18.217,0.029218,1.398645,0.003695

unit.000027,Mapper-0-28,N/A,1.277,N/A,5.917,17.068,17.07,0.022231,1.018881,0.001728

unit.000028,Mapper-0-29,N/A,1.278,N/A,5.929,18.216,18.218,0.028215,1.004818,0.001698

unit.000029,Mapper-0-30,N/A,1.279,N/A,5.953,18.22,18.222,0.020967,1.285856,0.00151

unit.000030,Mapper-0-31,N/A,1.28,N/A,5.976,17.071,17.074,0.020801,1.004811,0.001932

unit.000031,Mapper-0-32,N/A,1.28,N/A,5.99,18.221,18.223,0.023509,0.981603,0.001616

unit.000032,Mapper-0-33,N/A,1.282,N/A,6.079,18.223,18.225,0.072042,1.014629,0.001965

unit.000033,Mapper-0-34,N/A,1.282,N/A,6.1,17.075,17.078,0.022134,0.9952,0.005668

unit.000034,Mapper-0-35,N/A,1.284,N/A,6.121,18.224,18.226,0.023588,1.313014,0.001521

unit.000035,Mapper-0-36,N/A,1.012,N/A,1.819,11.71,11.711,0.034144,0.959863,0.004823

unit.000036,Mapper-0-37,N/A,1.014,N/A,1.828,12.797,12.799,0.027837,1.014533,0.001566

unit.000037,Mapper-0-38,N/A,1.014,N/A,1.853,11.71,11.712,0.02794,1.013606,0.001591

unit.000038,Mapper-0-39,N/A,1.02,N/A,1.904,11.713,11.715,0.03341,0.994741,0.00159

unit.000039,Mapper-0-40,N/A,1.024,N/A,1.937,12.802,12.804,0.025738,0.98832,0.00168

unit.000040,Mapper-0-41,N/A,1.019,N/A,1.892,13.836,13.838,0.027354,1.017741,0.00154

unit.000041,Mapper-0-42,N/A,1.017,N/A,1.882,11.712,11.714,0.027001,0.978776,0.00226

unit.000042,Mapper-0-43,N/A,1.023,N/A,1.923,11.715,11.717,0.027237,0.953781,0.001606

unit.000043,Mapper-0-44,N/A,1.028,N/A,2.003,11.721,11.723,0.025016,0.990627,0.001916

unit.000044,Mapper-0-45,N/A,1.031,N/A,2.022,11.722,11.723,0.031953,1.131626,0.001577

unit.000045,Mapper-0-46,N/A,1.033,N/A,2.032,12.805,12.807,0.032934,1.003797,0.002107

unit.000046,Mapper-0-47,N/A,1.034,N/A,2.043,11.724,11.725,0.026305,0.980924,0.002285

unit.000047,Mapper-0-48,N/A,1.036,N/A,2.062,11.724,11.726,0.036295,1.195542,0.001766

unit.000048,Mapper-0-49,N/A,1.037,N/A,2.072,12.808,12.809,0.029456,0.969944,0.002107

unit.000049,Mapper-0-50,N/A,1.038,N/A,2.081,11.727,11.728,0.028378,0.991213,0.00165

unit.000050,Mapper-0-51,N/A,1.041,N/A,2.103,11.727,11.729,0.025832,0.98804,0.003135

unit.000051,Mapper-0-52,N/A,1.042,N/A,2.113,12.81,12.811,0.037346,1.273856,0.001875

unit.000052,Mapper-0-53,N/A,1.042,N/A,2.146,11.736,11.737,0.030042,0.99806,0.00218

unit.000053,Mapper-0-54,N/A,1.045,N/A,2.186,11.736,11.738,0.025593,0.975393,0.00155

unit.000054,Mapper-0-55,N/A,1.046,N/A,2.202,12.812,12.814,0.024622,1.146225,0.001927

unit.000055,Mapper-0-56,N/A,1.047,N/A,2.301,12.815,12.816,0.031851,0.985626,0.010726

unit.000056,Mapper-0-57,N/A,1.05,N/A,2.34,12.815,12.817,0.03176,0.96673,0.001625

unit.000057,Mapper-0-58,N/A,1.051,N/A,2.351,13.842,13.843,0.031352,0.971356,0.010819

unit.000058,Mapper-0-59,N/A,1.052,N/A,3.299,12.817,12.819,0.031157,0.973529,0.002059

unit.000059,Mapper-0-60,N/A,1.054,N/A,3.319,12.818,12.82,0.030212,0.97305,0.001539

unit.000060,Mapper-0-61,N/A,1.056,N/A,3.329,13.844,13.846,0.031302,0.97078,0.001702

unit.000061,Mapper-0-62,N/A,1.057,N/A,3.363,13.845,13.847,0.035202,0.9688,0.001678

unit.000062,Mapper-0-63,N/A,1.06,N/A,3.387,13.847,13.848,0.032201,0.97525,0.006747

unit.000063,Mapper-0-64,N/A,1.061,N/A,3.397,12.823,12.825,0.031784,0.954267,0.001712

unit.000064,Mapper-0-65,N/A,1.062,N/A,3.407,13.847,13.849,0.031561,0.993859,0.002761

unit.000065,Mapper-0-66,N/A,1.063,N/A,3.417,12.824,12.826,0.031807,0.995995,0.00718

unit.000066,Mapper-0-67,N/A,1.015,N/A,1.871,12.799,12.801,0.035993,0.958437,0.001667

unit.000067,Mapper-0-68,N/A,1.03,N/A,2.012,12.805,12.806,0.02937,1.120651,0.001615

unit.000068,Mapper-0-69,N/A,1.04,N/A,2.094,13.839,13.841,0.037614,1.024173,0.001604

unit.000069,Mapper-0-70,N/A,1.048,N/A,2.321,13.839,13.841,0.032534,0.972533,0.002621

unit.000070,Mapper-0-71,N/A,1.059,N/A,3.372,12.821,12.823,0.031968,0.965884,0.001579

unit.000071,Mapper-0-72,N/A,1.078,N/A,3.574,14.879,14.881,0.038269,1.026576,0.002047

unit.000072,Mapper-0-73,N/A,1.082,N/A,3.636,15.972,15.975,0.026637,0.9967,0.001682

unit.000073,Mapper-0-74,N/A,1.082,N/A,3.619,14.882,14.884,0.035885,0.966626,0.002309

unit.000074,Mapper-0-75,N/A,1.114,N/A,4.075,14.902,14.904,0.049752,1.036416,0.001673

unit.000075,Mapper-0-76,N/A,1.129,N/A,4.309,14.912,14.914,0.023073,1.358821,0.002261

unit.000076,Mapper-0-77,N/A,1.09,N/A,3.73,15.979,15.981,0.025693,0.994974,0.003418

unit.000077,Mapper-0-78,N/A,1.151,N/A,4.561,16.012,16.014,0.025472,1.055125,0.001622

unit.000078,Mapper-0-79,N/A,1.154,N/A,4.594,14.934,14.936,0.076467,1.007018,0.001658

unit.000079,Mapper-0-80,N/A,1.158,N/A,4.638,16.015,16.021,0.027043,0.986431,0.001533

unit.000080,Mapper-0-81,N/A,1.161,N/A,4.676,14.937,14.939,0.029931,0.97792,0.001596

unit.000081,Mapper-0-82,N/A,1.164,N/A,4.75,14.94,14.941,0.027437,1.210611,0.001979

unit.000082,Mapper-0-83,N/A,1.173,N/A,4.819,16.025,16.027,0.035914,0.974593,0.002072

unit.000083,Mapper-0-84,N/A,1.185,N/A,5.017,13.87,13.872,0.023213,1.007015,0.001646

unit.000084,Mapper-0-85,N/A,1.204,N/A,5.136,16.038,16.04,0.027187,1.026828,0.001736

unit.000085,Mapper-0-86,N/A,1.113,N/A,4.063,13.857,13.859,0.029262,1.000897,0.001657

unit.000086,Mapper-0-87,N/A,1.116,N/A,4.101,15.996,15.998,0.028884,1.021995,0.001684

unit.000087,Mapper-0-88,N/A,1.252,N/A,5.46,17.063,17.065,0.028688,0.974217,0.001836

unit.000088,Mapper-0-89,N/A,1.259,N/A,5.625,18.185,18.187,0.028685,1.14873,0.001704

unit.000089,Mapper-0-90,N/A,1.265,N/A,5.732,18.197,18.199,0.042156,1.23637,0.001804

unit.000090,Mapper-0-91,N/A,1.271,N/A,5.842,18.208,18.21,0.026696,1.203478,0.001666

unit.000091,Mapper-0-92,N/A,1.278,N/A,5.941,17.069,17.071,0.023317,0.980769,0.001643

unit.000092,Mapper-0-93,N/A,1.284,N/A,6.136,17.076,17.079,0.021677,0.994072,0.008125

unit.000093,Mapper-0-94,N/A,1.295,N/A,6.347,17.088,17.091,0.025423,0.968859,0.001968

unit.000094,Mapper-0-95,N/A,1.307,N/A,6.565,18.244,18.245,0.030809,0.979868,0.00153

unit.000095,Mapper-0-96,N/A,1.319,N/A,6.859,18.249,18.251,0.030856,0.988281,0.003889

unit.000096,Mapper-0-97,N/A,1.271,N/A,5.854,18.21,18.212,0.031111,1.007073,0.001728

unit.000097,Mapper-0-98,N/A,1.27,N/A,5.828,18.208,18.209,0.030313,1.011143,0.007565

unit.000098,Mapper-0-99,N/A,0.912,N/A,0.936,11.65,11.653,0.032608,1.002539,0.002452

unit.000099,Mapper-0-100,N/A,0.916,N/A,0.947,11.651,11.654,0.033894,0.992871,0.002216

unit.000100,Mapper-0-101,N/A,0.917,N/A,0.956,11.655,11.656,0.032958,0.981936,0.001518

unit.000101,Mapper-0-102,N/A,0.919,N/A,0.976,11.657,11.659,0.032801,0.993788,0.00216

unit.000102,Mapper-0-103,N/A,0.922,N/A,0.995,11.66,11.662,0.035259,1.027676,0.00192

unit.000103,Mapper-0-104,N/A,0.923,N/A,1.005,11.661,11.663,0.033376,1.011683,0.002205

unit.000104,Mapper-0-105,N/A,0.925,N/A,1.025,11.664,11.665,0.033518,1.058641,0.001661

unit.000105,Mapper-0-106,N/A,0.927,N/A,1.045,11.666,11.668,0.033188,1.035794,0.001767

unit.000106,Mapper-0-107,N/A,0.935,N/A,1.104,12.74,12.742,0.024332,0.975378,0.001612

unit.000107,Mapper-0-108,N/A,0.934,N/A,1.094,11.674,11.676,0.033651,0.998704,0.001672

unit.000108,Mapper-0-109,N/A,1.003,N/A,1.751,12.791,12.793,0.032186,1.214609,0.00173

unit.000109,Mapper-0-110,N/A,0.93,N/A,1.064,11.669,11.67,0.032659,0.997165,0.001824

unit.000110,Mapper-0-111,N/A,0.938,N/A,1.124,12.742,12.744,0.023597,1.091012,0.001588

unit.000111,Mapper-0-112,N/A,1.047,N/A,2.217,12.813,12.815,0.026325,0.973832,0.001615

unit.000112,Mapper-0-113,N/A,1.057,N/A,3.353,12.821,12.822,0.026676,0.980049,0.006198

unit.000113,Mapper-0-114,N/A,0.942,N/A,1.154,13.827,13.83,0.023347,1.263328,0.001591

unit.000114,Mapper-0-115,N/A,0.943,N/A,1.173,12.745,12.747,0.031134,0.968804,0.001656

unit.000115,Mapper-0-116,N/A,1.095,N/A,3.819,15.984,15.986,0.025552,1.003686,0.00908

