CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,8.26290798187,N/A,9.70691013336,365.550081015,365.564074993,0.010856,268.280824,0.012358
unit.000001,Mapper-0-2,N/A,8.2953979969,N/A,9.71432614326,358.540596962,358.555829048,0.014029,267.214849,0.011959
unit.000002,Mapper-0-3,N/A,7.05759906769,N/A,9.46109008789,341.548203945,341.559115171,0.012922,266.334625,0.011554
unit.000003,Mapper-0-4,N/A,8.37227201462,N/A,9.73282194138,307.78757906,307.804366112,0.011926,258.615781,0.012242
unit.000004,Mapper-0-5,N/A,8.47474503517,N/A,9.75131201744,320.056684971,320.067867041,0.011302,259.498446,0.012683
unit.000005,Mapper-0-6,N/A,8.5179040432,N/A,9.76242494583,335.045942068,335.057544947,0.013327,263.89318,0.012589
unit.000006,Mapper-0-7,N/A,8.59988808632,N/A,9.94763302803,338.13263011,338.147418976,0.01578,262.371114,0.013246
unit.000007,Mapper-0-8,N/A,8.6324801445,N/A,9.95500802994,296.52879715,297.124539137,0.011325,254.905178,0.01243
unit.000008,Mapper-0-9,N/A,8.69524717331,N/A,9.96984505653,277.04137516,277.055852175,0.010349,249.359114,0.012056
unit.000009,Mapper-0-10,N/A,8.73843717575,N/A,9.98093008995,301.263412952,301.275527,0.013503,255.372475,0.012697
unit.000010,Mapper-0-11,N/A,9.00443100929,N/A,9.99570298195,313.235327959,313.24774313,0.013241,258.787097,0.012528
unit.000011,Mapper-0-12,N/A,9.03595995903,N/A,10.0031189919,273.846838951,275.025483131,0.01293,246.525846,0.012738
unit.000012,Mapper-0-13,N/A,7.16822099686,N/A,9.48754811287,348.70549798,348.733755112,0.017562,267.370687,0.011855
unit.000013,Mapper-0-14,N/A,7.47750902176,N/A,9.56186699867,339.162982941,339.178806067,0.011244,265.192793,0.012251
unit.000014,Mapper-0-15,N/A,9.28181409836,N/A,10.058617115,297.13388896,297.148805141,0.011795,256.066866,0.0126
unit.000015,Mapper-0-16,N/A,7.74029612541,N/A,9.62898111343,362.140930176,362.24200201,0.011373,268.812333,0.011974
unit.000016,Mapper-0-17,N/A,8.02782917023,N/A,9.651252985,328.88225317,328.895884037,0.013714,262.310307,0.01284
unit.000017,Mapper-0-18,N/A,8.10482311249,N/A,9.66986203194,323.149008989,323.738139153,0.009514,262.708233,0.011786
unit.000018,Mapper-0-19,N/A,8.11922311783,N/A,9.673568964,271.804224014,271.816473007,0.010456,246.432701,0.013436
unit.000019,Mapper-0-20,N/A,9.35034108162,N/A,10.0734059811,300.225618124,300.236711979,0.014197,254.819628,0.011981
unit.000020,Mapper-0-21,N/A,9.19510316849,N/A,10.0364830494,263.555104017,263.565919161,0.010613,241.494523,0.012618
unit.000021,Mapper-0-22,N/A,9.30357193947,N/A,10.0623111725,304.554546118,304.567455053,0.014076,257.093001,0.012495
unit.000022,Mapper-0-23,N/A,8.18431401253,N/A,9.6883649826,310.894526958,311.024981022,0.009614,258.346548,0.012218
unit.000023,Mapper-0-24,N/A,7.9721801281,N/A,9.64012312889,334.022710085,334.033282042,0.010116,263.798061,0.011694
unit.000024,Mapper-0-25,N/A,7.71140098572,N/A,9.62157297134,331.960137129,331.970808983,0.012,262.075345,0.011581
unit.000025,Mapper-0-26,N/A,7.6970641613,N/A,9.6175391674,365.570091963,365.581625938,0.013452,269.250778,0.011899
unit.000026,Mapper-0-27,N/A,7.63220715523,N/A,9.60274505615,298.169176102,298.182903051,0.012139,256.088823,0.012503
unit.000027,Mapper-0-28,N/A,8.24551200867,N/A,9.70321202278,268.703788996,268.716671944,0.010423,248.686337,0.012626
unit.000028,Mapper-0-29,N/A,8.27745103836,N/A,9.71063494682,277.084560156,277.095685005,0.011253,250.319829,0.012493
unit.000029,Mapper-0-30,N/A,8.32508015633,N/A,9.72171115875,287.392611027,287.403881073,0.012854,251.856314,0.013147
unit.000030,Mapper-0-31,N/A,8.35788297653,N/A,9.729129076,315.552658081,315.563454151,0.014056,258.777924,0.012052
unit.000031,Mapper-0-32,N/A,8.44526004791,N/A,9.74392008781,267.689803123,267.702449083,0.011353,245.328683,0.013092
unit.000032,Mapper-0-33,N/A,8.50350594521,N/A,9.75872802734,375.758131981,375.769255161,0.011351,270.437776,0.011921
unit.000033,Mapper-0-34,N/A,8.5684671402,N/A,9.94017601013,385.269025087,385.281026125,0.011737,258.052614,0.012396
unit.000034,Mapper-0-35,N/A,8.61432409286,N/A,9.95132493973,278.114671946,278.126749039,0.01131,251.86972,0.014967
unit.000035,Mapper-0-36,N/A,8.66562700272,N/A,9.96238803864,279.146857977,279.159644127,0.011102,250.567811,0.014024
unit.000036,Mapper-0-37,N/A,8.72767806053,N/A,9.97723007202,308.828680992,308.841115952,0.010284,259.986664,0.012085
unit.000037,Mapper-0-38,N/A,8.9679350853,N/A,9.98832011223,321.092403173,321.103589058,0.010731,261.375574,0.013554
unit.000038,Mapper-0-39,N/A,6.27892303467,N/A,8.27388095856,295.499093056,295.511697054,0.009947,257.856223,0.01242
unit.000039,Mapper-0-40,N/A,9.06534004211,N/A,10.0105509758,269.736710072,269.74742198,0.010385,247.710145,0.015826
unit.000040,Mapper-0-41,N/A,9.10591101646,N/A,10.0216369629,340.205754995,340.219424009,0.012626,264.407031,0.012525
unit.000041,Mapper-0-42,N/A,9.1494281292,N/A,10.0290660858,264.582504034,264.595456123,0.011973,241.641346,0.011859
unit.000042,Mapper-0-43,N/A,9.20943117142,N/A,10.0401670933,369.660701036,369.689810038,0.010888,268.690967,0.013173
unit.000043,Mapper-0-44,N/A,9.23818206787,N/A,10.0475680828,312.025823116,313.227261066,0.01284,259.768528,0.012858
unit.000044,Mapper-0-45,N/A,9.27100205421,N/A,10.0549311638,309.862275124,309.874361992,0.013406,257.931774,0.013031
unit.000045,Mapper-0-46,N/A,8.70607495308,N/A,9.97354602814,291.389552116,291.401054144,0.010337,254.354815,0.012435
unit.000046,Mapper-0-47,N/A,9.33228397369,N/A,10.0697109699,270.770005941,270.782468081,0.010638,247.083113,0.012085
unit.000047,Mapper-0-48,N/A,5.76036095619,N/A,5.84826993942,125.272478104,125.284963131,0.009319,96.906243,0.018043
unit.000048,Mapper-0-49,N/A,6.06177806854,N/A,7.17914295197,339.168467999,339.180047989,0.012539,265.816083,0.012164
unit.000049,Mapper-0-50,N/A,5.83725309372,N/A,6.10269117355,94.7578799725,94.769618988,0.009323,81.200518,0.013197
unit.000050,Mapper-0-51,N/A,5.88822317123,N/A,6.27175307274,134.419336081,134.431890011,0.009303,98.518003,0.012359
unit.000051,Mapper-0-52,N/A,5.94958901405,N/A,6.62631201744,107.772540092,107.789252043,0.009292,91.189236,0.011291
unit.000052,Mapper-0-53,N/A,5.99324893951,N/A,6.96777915955,294.46481514,294.477942944,0.009816,256.465305,0.012607
unit.000053,Mapper-0-54,N/A,6.04371213913,N/A,7.12476301193,352.875486135,352.894072056,0.00986,269.11848,0.011468
unit.000054,Mapper-0-55,N/A,6.10980010033,N/A,7.3445391655,292.420554161,292.43238306,0.009864,257.532707,0.012346
unit.000055,Mapper-0-56,N/A,6.18497896194,N/A,7.96511316299,327.849948168,327.861765146,0.011544,264.665509,0.012215
unit.000056,Mapper-0-57,N/A,6.23188209534,N/A,8.12294602394,293.451071024,293.463500023,0.010694,257.898585,0.012278
unit.000057,Mapper-0-58,N/A,6.26418709755,N/A,8.22393512726,376.789322138,376.800127029,0.010694,272.666634,0.011381
unit.000058,Mapper-0-59,N/A,6.30762600899,N/A,8.37966704369,371.747704983,371.759016991,0.009938,271.616415,0.011667
unit.000059,Mapper-0-60,N/A,6.3688120842,N/A,8.62533712387,376.785854101,376.798067093,0.011664,272.595453,0.016596
unit.000060,Mapper-0-61,N/A,6.41599297523,N/A,9.05793595314,330.928383112,330.940500975,0.010425,262.829891,0.012697
unit.000061,Mapper-0-62,N/A,6.48029494286,N/A,9.29281902313,300.215111017,300.232988119,0.012904,256.608353,0.01173
unit.000062,Mapper-0-63,N/A,6.57158613205,N/A,9.3905620575,290.357253075,290.369333029,0.009652,252.306587,0.012521
unit.000063,Mapper-0-64,N/A,6.61889815331,N/A,9.40186500549,357.504765034,357.525382042,0.013598,268.895845,0.012726
unit.000064,Mapper-0-65,N/A,6.66224503517,N/A,9.412981987,331.953163147,331.968749046,0.013202,265.18345,0.012237
unit.000065,Mapper-0-66,N/A,6.72726416588,N/A,9.42777299881,336.088245153,336.099024057,0.01462,264.55513,0.012234
unit.000066,Mapper-0-67,N/A,6.96026802063,N/A,9.43889117241,267.670346975,267.682106018,0.010654,247.685987,0.012331
unit.000067,Mapper-0-68,N/A,7.04325413704,N/A,9.4573969841,272.824856043,272.837532043,0.013992,250.189555,0.012488
unit.000068,Mapper-0-69,N/A,7.09247112274,N/A,9.46902394295,343.573845148,343.585638046,0.013491,266.505969,0.011718
unit.000069,Mapper-0-70,N/A,7.15392303467,N/A,9.48386502266,298.149670124,298.17032814,0.011485,256.988232,0.012021
unit.000070,Mapper-0-71,N/A,7.20046496391,N/A,9.4949400425,294.484815121,294.49822402,0.010521,256.856908,0.012425
unit.000071,Mapper-0-72,N/A,7.24382901192,N/A,9.50601816177,380.140326023,380.151839972,0.013433,266.706579,0.011804
unit.000072,Mapper-0-73,N/A,7.29415607452,N/A,9.51708698273,312.044852018,313.22419095,0.010442,260.013989,0.01205
unit.000073,Mapper-0-74,N/A,7.36593914032,N/A,9.53560900688,380.128376961,380.140048981,0.010445,271.851858,0.012026
unit.000074,Mapper-0-75,N/A,7.40180015564,N/A,9.54313111305,322.126167059,322.149433136,0.012101,262.213932,0.012611
unit.000075,Mapper-0-76,N/A,7.44146299362,N/A,9.55445098877,289.343595982,289.356656075,0.011789,253.361581,0.012835
unit.000076,Mapper-0-77,N/A,7.50269317627,N/A,9.56943798065,370.710495949,370.722666979,0.014579,270.702008,0.011873
unit.000077,Mapper-0-78,N/A,7.56054115295,N/A,9.58430409431,361.093194008,361.105735064,0.01231,269.974435,0.012593
unit.000078,Mapper-0-79,N/A,7.589220047,N/A,9.59170508385,359.577991962,359.589456081,0.014027,268.741961,0.011904
