Pilot Startuptime:33.7161531448CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,12.4271748066,N/A,12.4922759533,286.263943911,286.275146961,0.043286,235.313619,0.002556
unit.000001,Mapper-0-2,N/A,14.3623678684,N/A,14.3788969517,274.262167931,274.273341894,0.061788,222.748379,0.003211
unit.000002,Mapper-0-3,N/A,20.5658109188,N/A,20.581362009,338.138342857,338.150918961,0.035053,239.590683,0.003518
unit.000003,Mapper-0-4,N/A,18.9154038429,N/A,18.9843978882,330.374963999,330.388216972,0.044179,238.116056,0.002678
unit.000004,Mapper-0-5,N/A,5.41998696327,N/A,5.55356192589,263.447084904,264.369177818,0.050244,198.444772,0.003286
unit.000005,Mapper-0-6,N/A,22.5116448402,N/A,22.5404720306,277.300455809,277.314868927,0.131637,222.557893,0.003157
unit.000006,Mapper-0-7,N/A,5.53184890747,N/A,5.91063690186,249.965860844,249.978611946,0.057741,160.283955,0.003437
unit.000007,Mapper-0-8,N/A,25.7165808678,N/A,25.7333979607,268.456557035,269.153509855,0.033214,210.146421,0.002714
unit.000008,Mapper-0-9,N/A,28.7197258472,N/A,28.7869470119,368.785759926,369.169548035,0.061673,235.035326,0.001826
unit.000009,Mapper-0-10,N/A,30.6194930077,N/A,30.6663148403,361.579952002,361.602885962,0.063137,233.753441,0.001794
unit.000010,Mapper-0-11,N/A,5.98387980461,N/A,6.34370779991,322.154886961,322.170513868,0.048432,243.3972,0.002177
unit.000011,Mapper-0-12,N/A,6.23416996002,N/A,6.57677388191,307.761471987,307.773342848,0.042041,240.086393,0.002905
unit.000012,Mapper-0-13,N/A,17.5644869804,N/A,17.5847458839,303.241546869,303.253278971,0.044247,231.573114,0.002548
unit.000013,Mapper-0-14,N/A,5.72989392281,N/A,6.27075982094,351.39187789,351.404175997,0.040586,248.431014,0.002034
unit.000014,Mapper-0-15,N/A,5.65053987503,N/A,6.25237894058,297.131356955,297.143306017,0.043586,237.374895,0.002187
unit.000015,Mapper-0-16,N/A,5.68709182739,N/A,6.25976490974,309.81177783,309.824669838,0.046202,241.390563,0.00254
unit.000016,Mapper-0-17,N/A,5.71563100815,N/A,6.26709699631,318.871342897,320.126998901,0.044009,242.899433,0.003772
unit.000017,Mapper-0-18,N/A,5.56415486336,N/A,6.00544691086,218.586157799,218.599239826,0.041551,155.555076,0.002485
unit.000018,Mapper-0-19,N/A,5.82712697983,N/A,6.29280495644,352.407498837,352.41919589,0.04948,249.390709,0.002094
unit.000019,Mapper-0-20,N/A,5.70129179955,N/A,6.26343488693,265.37142396,265.386487007,0.047673,216.657864,0.003141
unit.000020,Mapper-0-21,N/A,5.93569993973,N/A,6.33270287514,312.8820889,313.614851952,0.072326,240.260856,0.002765
unit.000021,Mapper-0-22,N/A,6.1837978363,N/A,6.39174294472,280.372696877,284.105441809,0.04601,233.311954,0.002243
unit.000022,Mapper-0-23,N/A,15.9132318497,N/A,15.9430949688,366.743985891,366.75530386,0.048456,248.115917,0.002672
