CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,N/A,27.724,N/A,112.078,171.04,173.362
unit.000001,N/A,27.687,N/A,110.95,170.149,171.347
unit.000002,N/A,32.654,N/A,117.026,175.864,177.089
unit.000003,N/A,31.036,N/A,116.081,175.274,176.195
unit.000004,N/A,34.364,N/A,120.04,182.038,183.828
unit.000005,N/A,36.017,N/A,121.937,181.114,182.93
unit.000006,N/A,39.347,N/A,124.964,183.485,186.657
unit.000007,N/A,41.004,N/A,127.059,184.746,188.669
unit.000008,N/A,42.651,N/A,129.138,188.31,190.586
unit.000009,N/A,44.299,N/A,131.04,190.588,193.496
unit.000010,N/A,45.96,N/A,133.122,194.417,196.33
unit.000011,N/A,46.116,N/A,134.062,193.497,194.415
unit.000012,N/A,47.604,N/A,135.009,194.13,195.321
unit.000013,N/A,49.259,N/A,137.133,195.917,198.343
unit.000014,N/A,50.909,N/A,139.038,198.345,200.278
unit.000015,N/A,52.556,N/A,141.137,201.193,202.996
unit.000016,N/A,54.199,N/A,143.224,202.997,204.906
unit.000017,N/A,55.842,N/A,145.14,203.627,205.912
unit.000018,N/A,57.487,N/A,147.237,205.917,207.817
unit.000019,N/A,59.125,N/A,149.133,207.821,209.772
unit.000020,N/A,60.777,N/A,151.216,211.688,213.59
unit.000021,N/A,62.422,N/A,153.118,213.171,215.509
unit.000022,N/A,70.246,N/A,155.202,213.591,216.423
unit.000023,N/A,71.909,N/A,157.292,215.51,218.347
unit.000024,N/A,73.582,N/A,159.212,218.075,220.252
unit.000025,N/A,75.237,N/A,161.311,220.253,223.164
unit.000026,N/A,77.017,N/A,164.357,222.9,224.174
unit.000027,N/A,19.432,N/A,100.893,158.636,159.875
unit.000028,N/A,19.44,N/A,102.042,159.877,161.786
unit.000029,N/A,21.084,N/A,103.931,161.318,163.694
unit.000030,N/A,22.768,N/A,106.035,164.703,165.599
unit.000031,N/A,26.037,N/A,109.058,167.229,168.443
unit.000032,N/A,29.38,N/A,114.003,172.937,174.266
unit.000033,N/A,31.002,N/A,114.935,173.364,175.271
unit.000034,N/A,44.46,N/A,132.17,190.226,192.49
unit.000035,N/A,34.319,N/A,119.111,178.764,180.108
unit.000036,N/A,35.977,N/A,120.995,180.668,182.033
unit.000037,N/A,37.852,N/A,124.024,182.934,185.652
unit.000038,N/A,39.515,N/A,126.106,183.83,187.663
unit.000039,N/A,41.164,N/A,128.004,187.39,189.674
unit.000040,N/A,42.816,N/A,130.092,189.676,191.485
unit.000041,N/A,49.419,N/A,138.097,197.816,199.269
unit.000042,N/A,47.767,N/A,136.159,195.024,197.336
unit.000043,N/A,24.42,N/A,107.929,166.53,167.429
unit.000044,N/A,37.684,N/A,123.075,182.568,184.742
unit.000045,N/A,51.067,N/A,140.175,198.718,201.191
unit.000046,N/A,52.723,N/A,142.073,200.281,202.093
unit.000047,N/A,54.381,N/A,144.199,202.097,203.899
unit.000048,N/A,56.026,N/A,146.098,205.546,206.81
unit.000049,N/A,57.682,N/A,148.182,207.442,208.764
unit.000050,N/A,59.344,N/A,150.278,210.778,211.685
unit.000051,N/A,60.991,N/A,152.173,211.389,212.582
