CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,0.647,N/A,1.521,13.57,13.572,0.029529,3.916092,0.004245

unit.000001,Mapper-0-2,N/A,0.65,N/A,1.541,13.573,13.576,0.029687,3.964781,0.004007

unit.000002,Mapper-0-3,N/A,0.648,N/A,1.531,13.57,13.573,0.02824,3.976106,0.003885

unit.000003,Mapper-0-4,N/A,0.643,N/A,1.468,13.56,13.562,0.029694,3.996736,0.003852

unit.000004,Mapper-0-5,N/A,0.642,N/A,1.459,13.56,13.561,0.029829,3.940667,0.003839

unit.000005,Mapper-0-6,N/A,0.642,N/A,1.45,13.557,13.559,0.029833,3.858058,0.004434

unit.000006,Mapper-0-7,N/A,0.639,N/A,1.406,13.551,13.557,0.029786,4.053415,0.003657

unit.000007,Mapper-0-8,N/A,0.635,N/A,1.378,13.545,13.547,0.028989,3.92954,0.003867

unit.000008,Mapper-0-9,N/A,0.611,N/A,1.238,13.513,13.516,0.007561,3.955233,0.00374

unit.000009,Mapper-0-10,N/A,0.594,N/A,1.096,14.597,14.604,0.026544,3.974489,0.003767

unit.000010,Mapper-0-11,N/A,0.593,N/A,1.087,13.493,13.495,0.026672,3.890737,0.003731

unit.000011,Mapper-0-12,N/A,0.596,N/A,1.116,14.605,14.61,0.026656,4.587522,0.003517

unit.000012,Mapper-0-13,N/A,0.598,N/A,1.125,14.611,14.613,0.026677,4.028434,0.003594

unit.000013,Mapper-0-14,N/A,0.599,N/A,1.153,13.503,13.506,0.026653,3.77675,0.004864

unit.000014,Mapper-0-15,N/A,0.602,N/A,1.174,14.611,14.614,0.026645,4.773185,0.003804

unit.000015,Mapper-0-16,N/A,0.604,N/A,1.183,14.615,14.617,0.026678,4.423999,0.003839

unit.000016,Mapper-0-17,N/A,0.605,N/A,1.192,13.511,13.512,0.026572,3.779783,0.003527

unit.000017,Mapper-0-18,N/A,0.606,N/A,1.201,14.616,14.618,0.026717,3.869827,0.00353

unit.000018,Mapper-0-19,N/A,0.646,N/A,1.511,13.565,13.569,0.029667,4.087334,0.003995

unit.000019,Mapper-0-20,N/A,0.61,N/A,1.229,13.511,13.513,0.00739,3.918221,0.003641

unit.000020,Mapper-0-21,N/A,0.612,N/A,1.247,13.515,13.516,0.015763,3.957501,0.003661

unit.000021,Mapper-0-22,N/A,0.614,N/A,1.256,12.442,12.444,0.007414,3.881026,0.003643

unit.000022,Mapper-0-23,N/A,0.616,N/A,1.274,13.519,13.528,0.015323,3.959386,0.003628

unit.000023,Mapper-0-24,N/A,0.615,N/A,1.265,13.519,13.521,0.007625,3.885043,0.003565

unit.000024,Mapper-0-25,N/A,0.619,N/A,1.293,13.528,13.529,0.015598,3.902957,0.004999

unit.000025,Mapper-0-26,N/A,0.62,N/A,1.304,13.528,13.53,0.00736,3.892667,0.003849

unit.000026,Mapper-0-27,N/A,0.623,N/A,1.313,13.531,13.532,0.006877,3.799306,0.00421

unit.000027,Mapper-0-28,N/A,0.625,N/A,1.322,13.531,13.533,0.007356,3.860126,0.003575

unit.000028,Mapper-0-29,N/A,0.629,N/A,1.341,13.533,13.542,0.007316,3.904742,0.003585

unit.000029,Mapper-0-30,N/A,0.63,N/A,1.35,13.541,13.543,0.015939,3.961958,0.003554

unit.000030,Mapper-0-31,N/A,0.634,N/A,1.369,13.543,13.546,0.029786,3.969338,0.003965

unit.000031,Mapper-0-32,N/A,0.638,N/A,1.397,13.55,13.552,0.029624,3.961571,0.003658

unit.000032,Mapper-0-33,N/A,0.64,N/A,1.439,13.557,13.558,0.029549,3.916067,0.003716

