CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,11.7418739796,11.7647750378,11.7730360031,764.760763884,765.952011824,0.044885,738.225145,0.004564
unit.000001,Mapper-0-2,N/A,11.8581199646,11.8771588802,11.8853569031,768.681579828,770.067279816,0.09006,739.330107,0.004845
unit.000002,Mapper-0-3,N/A,11.7802388668,11.8029558659,11.811319828,770.528501034,771.103889942,0.043652,744.616065,0.004449
unit.000003,Mapper-0-4,N/A,11.8194699287,11.8426558971,11.8509609699,753.435232878,754.744156837,0.04259,727.629064,0.006177
unit.000004,Mapper-0-5,N/A,11.7993319035,11.8232610226,11.8316969872,764.812042952,765.973398924,0.079771,735.469498,0.004936
unit.000005,Mapper-0-6,N/A,11.7128899097,11.7455668449,11.7538919449,763.752306938,764.898085833,0.067368,734.390517,0.005257
unit.000006,Mapper-0-7,N/A,11.8389270306,11.861743927,11.8699259758,764.106853008,764.918982983,0.095101,735.340817,0.004507
unit.000007,Mapper-0-8,N/A,11.7611489296,11.7838408947,11.7921099663,768.669219017,770.045792818,0.051588,739.378637,0.00682
unit.000008,Reducer-0,N/A,783.806282997,783.8209939,783.836632013,790.61826396,793.247153044,0.060071,0.173626,0.004406
unit.000009,Mapper-1-1,N/A,804.803053856,804.823030949,804.831221819,1558.29661298,1560.24768996,0.037528,740.339019,0.004439
unit.000010,Mapper-1-2,N/A,801.054919004,801.062139034,801.070295811,1556.01831698,1558.19808102,0.037984,747.747222,0.00619
unit.000011,Mapper-1-3,N/A,805.099638939,805.120133877,805.128324986,1549.70888901,1550.93715882,0.040659,731.952903,0.005217
unit.000012,Mapper-1-4,N/A,804.356966019,804.377374887,804.385594845,1546.55036283,1547.86692882,0.039318,729.80867,0.005066
unit.000013,Mapper-1-5,N/A,801.898373842,801.918720961,801.926867962,1550.7105,1551.95128202,0.049897,741.360931,0.004536
unit.000014,Mapper-1-6,N/A,803.770572901,803.794499874,803.80269289,1556.47126389,1558.20034099,0.046454,740.586489,0.004602
unit.000015,Mapper-1-7,N/A,803.996373892,804.017160892,804.025337934,1563.344136,1565.33456588,0.039305,747.111952,0.004869
unit.000016,Mapper-1-8,N/A,802.652284861,802.671933889,802.680081844,1546.29717898,1547.86425686,0.034072,735.65843,0.004162
unit.000017,Reducer-1,N/A,1572.44889688,1572.52387881,1572.60830283,1579.46980786,1582.03352499,0.057448,0.173496,0.003945
