CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,12.0051620007,12.0203719139,12.0611610413,415.87471199,416.783828974,0.015678,381.687236,0.012486
unit.000001,Mapper-0-2,N/A,11.9878280163,12.0086948872,12.0319240093,415.821985006,416.759636879,0.011756,382.046593,0.017326
unit.000002,Mapper-0-3,N/A,12.0238718987,12.0391168594,12.0837469101,418.129649878,419.294337034,0.017666,384.383592,0.012993
unit.000003,Mapper-0-4,N/A,12.0757029057,12.0908339024,12.1687748432,410.651916027,411.065366983,0.022962,376.37407,0.015319
unit.000004,Mapper-0-5,N/A,12.1385960579,12.160722971,12.2716720104,411.008676052,412.103328943,0.027554,378.024748,0.013104
unit.000005,Mapper-0-6,N/A,12.2144639492,12.2299070358,12.2877979279,410.055752039,411.04320693,0.021541,376.448937,0.018588
unit.000006,Mapper-0-7,N/A,12.2524929047,12.2636220455,12.2958669662,405.677876949,406.90467906,0.011664,375.871095,0.026164
unit.000007,Mapper-0-8,N/A,12.1088700294,12.1241090298,12.2379510403,422.39399004,423.433760881,0.012887,388.219935,0.013098
unit.000008,Mapper-0-9,N/A,12.157173872,12.1758799553,12.2757270336,410.042968988,411.01848197,0.012495,375.985837,0.013532
unit.000009,Mapper-0-10,N/A,12.1958889961,12.2110159397,12.2837860584,427.653352022,428.969167948,0.014502,393.954724,0.015295
unit.000010,Mapper-0-11,N/A,12.1811890602,12.1924278736,12.2797598839,409.989446878,410.993937016,0.017024,375.934331,0.013431
unit.000011,Mapper-0-12,N/A,12.042568922,12.0571329594,12.1169250011,420.234973907,421.336881876,0.014476,390.573057,0.014324
unit.000012,Mapper-0-13,N/A,12.0942718983,12.1054189205,12.2039308548,413.120723009,414.204746962,0.020302,383.0401,0.012669
unit.000013,Mapper-0-14,N/A,12.2263588905,12.2450230122,12.2918279171,412.264164925,413.166848898,0.012701,378.516079,0.012869
unit.000014,Mapper-0-15,N/A,12.1275680065,12.142127037,12.2600679398,411.861861944,412.128656864,0.012058,378.7697,0.017325
unit.000015,Mapper-0-16,N/A,12.0536060333,12.0722539425,12.1461498737,421.991580963,422.376976013,0.016341,388.051003,0.014591
unit.000016,Reducer-0,N/A,432.894608021,432.916625977,432.939504862,442.494989872,453.692472935,1.029053,1.706761,0.010349
unit.000017,Mapper-1-1,N/A,471.71792388,471.729100943,471.738242865,905.849866867,906.094272852,0.017175,414.818714,0.014498
unit.000018,Mapper-1-2,N/A,469.562098026,469.585695982,469.597584963,858.211699963,860.130337,0.029338,371.470658,0.015257
unit.000019,Mapper-1-3,N/A,473.166924,473.188338995,473.203613043,910.610998869,912.081521988,0.011211,417.351629,0.013877
unit.000020,Mapper-1-4,N/A,471.72536397,471.745517015,471.754018068,851.797651052,853.005948067,0.008788,360.945412,0.012373
unit.000021,Mapper-1-5,N/A,467.827571869,467.842921972,467.851027966,900.638772011,901.857943058,0.013473,417.504486,0.012333
unit.000022,Mapper-1-6,N/A,462.534332991,462.54145503,462.549494982,846.588752985,847.85158205,0.009661,376.429,0.013229
unit.000023,Mapper-1-7,N/A,468.710852861,468.730499983,468.740171909,894.578647852,895.735153913,0.01198,409.442239,0.013129
unit.000024,Mapper-1-8,N/A,463.680537939,463.689993858,463.69805789,846.93125701,847.876020908,0.00949,371.837315,0.0125
unit.000025,Mapper-1-9,N/A,464.140765905,464.150002956,464.158079863,850.789175987,851.961703062,0.011184,375.018534,0.013252
unit.000026,Mapper-1-10,N/A,472.423049927,472.445447922,472.454030037,906.956372976,909.022572994,0.016489,415.478811,0.012492
unit.000027,Mapper-1-11,N/A,468.562926054,468.587578058,468.595747948,903.894695044,905.048455954,0.01845,419.706437,0.012997
unit.000028,Mapper-1-12,N/A,462.932240009,462.942141056,462.950196028,891.068248987,892.660815001,0.008485,420.625635,0.014123
unit.000029,Mapper-1-13,N/A,472.44176507,472.462394953,472.479302883,899.48545599,900.835643053,0.017188,407.144871,0.014049
unit.000030,Mapper-1-14,N/A,469.59347105,469.604817867,469.613707066,852.049455881,853.032902956,0.008746,365.793514,0.012729
unit.000031,Mapper-1-15,N/A,467.816815853,467.824084044,467.835798025,851.243116856,851.989112854,0.015571,369.705259,0.01411
unit.000032,Mapper-1-16,N/A,463.383182049,463.392739058,463.400786877,886.259726048,887.586535931,0.007804,415.424478,0.013266
unit.000033,Reducer-1,N/A,916.261230946,916.283107996,916.30594492,925.988333941,928.314900875,1.048906,1.73158,0.010822
