CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,25.1957437992,25.2763478756,25.2864608765,451.026044846,452.666208982,0.57217,405.095135,0.002299
unit.000001,Mapper-0-2,N/A,25.3615438938,25.4506340027,25.4588069916,498.743096828,500.270869017,0.652017,452.902561,0.002145
unit.000002,Mapper-0-3,N/A,25.7089300156,25.7999308109,25.8080339432,478.270311832,479.961815834,0.583379,432.996696,0.003332
unit.000003,Mapper-0-4,N/A,24.8781869411,24.9592678547,24.9674229622,434.14948082,434.448861837,0.609717,388.197919,0.002066
unit.000004,Mapper-0-5,N/A,24.8041779995,24.8818359375,24.8901519775,488.979179859,490.141279936,0.429377,443.772813,0.002424
unit.000005,Mapper-0-6,N/A,25.4469668865,25.5350878239,25.5434889793,481.782817841,483.02015996,0.598201,435.700931,0.001975
unit.000006,Mapper-0-7,N/A,24.5559878349,24.640791893,24.648816824,433.491676807,434.428366899,0.376227,391.196391,0.00234
unit.000007,Mapper-0-8,N/A,25.6167500019,25.7125909328,25.7208168507,430.382048845,431.351469994,0.634412,384.217492,0.002243
unit.000008,Mapper-0-9,N/A,25.0352427959,25.1179759502,25.1261878014,427.32523489,428.299119949,0.430172,381.109126,0.002439
unit.000009,Mapper-0-10,N/A,24.7164039612,24.7966008186,24.8082239628,468.452072859,469.899063826,0.342955,426.462639,0.00226
unit.000010,Mapper-0-11,N/A,24.9556219578,25.0388269424,25.0470058918,431.438356876,432.383653879,0.493533,385.387094,0.001873
unit.000011,Mapper-0-12,N/A,25.5312409401,25.6203229427,25.629860878,427.058384895,428.275251865,0.296922,381.159199,0.003074
unit.000012,Mapper-0-13,N/A,25.1143558025,25.1994349957,25.207698822,482.032564878,483.041176796,0.528848,435.806499,0.001908
unit.000013,Mapper-0-14,N/A,24.4102709293,24.5595138073,24.5675590038,469.706933022,471.866285801,0.250693,427.389906,0.002093
unit.000014,Mapper-0-15,N/A,25.2900309563,25.365229845,25.4354698658,480.776439905,482.008322954,0.568279,435.377549,0.002012
unit.000015,Mapper-0-16,N/A,24.6372668743,24.7199368477,24.7279629707,487.378245831,489.108160973,0.412743,442.606825,0.004713
unit.000016,Reducer-0,N/A,509.616927862,509.638715982,509.661368847,516.588702917,519.425426006,0.028504,0.018239,0.002833
unit.000017,Mapper-1-1,N/A,532.970647812,533.047669888,533.059365988,938.688030005,939.549772978,0.38247,383.259608,0.002039
unit.000018,Mapper-1-2,N/A,531.283860922,531.38327384,531.391831875,937.581928015,938.507810831,0.318296,386.796105,0.002109
unit.000019,Mapper-1-3,N/A,527.073549986,527.15288496,527.160902977,928.043777943,929.321048021,0.235214,391.572099,0.002688
unit.000020,Mapper-1-4,N/A,525.743242979,525.781673908,525.789702892,933.561582804,935.409923792,0.192826,399.987427,0.002325
unit.000021,Mapper-1-5,N/A,532.303694963,532.412606955,532.421051025,947.264551878,948.688444853,0.374145,392.781656,0.003681
unit.000022,Mapper-1-6,N/A,530.37343502,530.46259284,530.47081995,942.002636909,942.721783876,0.349832,393.904983,0.002497
unit.000023,Mapper-1-7,N/A,531.187434912,531.287511826,531.295646906,942.759879827,943.761209965,0.335392,390.545004,0.001838
unit.000024,Mapper-1-8,N/A,529.328747988,529.4198668,529.427937984,941.749138832,942.699123859,0.357801,396.678516,0.003573
unit.000025,Mapper-1-9,N/A,532.183494806,532.307313919,532.311405897,935.772099018,936.430320024,0.356402,381.611787,0.053065
unit.000026,Mapper-1-10,N/A,529.416327953,529.508035898,529.516085863,936.976503849,937.466161966,0.296191,394.191806,0.002136
unit.000027,Mapper-1-11,N/A,530.280200005,530.377002954,530.385118961,937.379630804,938.500610828,0.409251,389.349654,0.0023
unit.000028,Mapper-1-12,N/A,533.068638802,533.17582798,533.180358887,939.693013906,940.590116024,0.24069,383.886701,0.002334
unit.000029,Mapper-1-13,N/A,528.686426878,529.07346797,529.081490993,938.58591795,939.546492815,0.329909,395.990892,0.002854
unit.000030,Mapper-1-14,N/A,526.614331007,526.765616894,526.773661852,931.905942917,933.39733386,0.252084,396.807229,0.002855
unit.000031,Mapper-1-15,N/A,528.090566874,528.359119892,528.367249966,934.467818975,935.430552959,0.293425,392.879471,0.002133
unit.000032,Mapper-1-16,N/A,527.371334791,527.459647894,527.467779875,922.586634874,923.650996923,0.132558,385.909077,0.003118
unit.000033,Reducer-1,N/A,952.819301844,952.842744827,952.865445852,959.902868986,961.891016006,0.023786,0.018088,0.003062
