CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,13.0570728779,13.1379649639,13.1460790634,520.299199104,520.729863882,0.16658,501.784048,0.003301
unit.000001,Mapper-0-2,N/A,12.8307459354,12.9114639759,12.9191560745,522.704366922,523.771655083,0.172569,504.160664,0.003432
unit.000002,Mapper-0-3,N/A,12.5783860683,12.7563109398,12.763917923,566.661411047,567.334522009,0.161953,548.128105,0.002132
unit.000003,Mapper-0-4,N/A,13.6638391018,13.6862270832,13.6937289238,475.825702906,476.937712908,0.2387,453.94627,0.001902
unit.000004,Mapper-0-5,N/A,13.2121670246,13.2932679653,13.3007888794,571.701822996,573.114129066,0.175715,551.901903,0.002901
unit.000005,Mapper-0-6,N/A,13.3664550781,13.4459249973,13.4542369843,477.931224108,478.983257055,0.215022,456.10551,0.001782
unit.000006,Mapper-0-7,N/A,13.5209989548,13.6675539017,13.6750969887,478.586424112,478.996232033,0.2273,456.822307,0.00243
unit.000007,Mapper-0-8,N/A,13.1343159676,13.2158370018,13.2234170437,574.573754072,575.149394989,0.165066,556.063673,0.003094
unit.000008,Mapper-0-9,N/A,13.8412048817,13.9181349277,13.9255750179,507.078425884,507.555550098,0.212187,485.254636,0.001867
unit.000009,Mapper-0-10,N/A,13.2896010876,13.3701150417,13.3776640892,490.351176977,491.157773972,0.235413,468.550418,0.001729
unit.000010,Mapper-0-11,N/A,13.7623970509,13.8449180126,13.8524448872,471.818065882,473.888302088,0.19534,450.001661,0.002064
unit.000011,Mapper-0-12,N/A,12.7525019646,12.8344268799,12.8420100212,492.005157948,492.177349091,0.165661,473.464609,0.001884
unit.000012,Mapper-0-13,N/A,13.6826040745,13.7661230564,13.7736580372,477.081037998,477.96192193,0.2135,455.3481,0.001812
unit.000013,Mapper-0-14,N/A,12.9078040123,12.9863629341,12.9939479828,513.989495993,514.644217968,0.177607,495.421048,0.00178
unit.000014,Mapper-0-15,N/A,13.4422609806,13.5246360302,13.5321938992,532.417052984,532.912494898,0.212421,510.573369,0.001958
unit.000015,Mapper-0-16,N/A,12.9827060699,13.0607049465,13.0682508945,493.858191967,495.231930971,0.113437,475.373351,0.001791
unit.000016,Reducer-0,N/A,585.010174036,585.087856054,585.110024929,586.858648062,588.04550004,0.030042,0.021456,0.003489
unit.000017,Mapper-1-1,N/A,598.599664927,598.689040899,598.696583033,1056.64282703,1056.41986203,0.2394,454.394613,0.001846
unit.000018,Mapper-1-2,N/A,597.472606897,597.551618099,597.559202909,1087.6916821,1089.81998897,0.186435,488.031094,0.001895
unit.000019,Mapper-1-3,N/A,595.756104946,595.843575954,595.851027012,1107.47051001,1108.829844,0.155531,510.032672,0.002592
unit.000020,Mapper-1-4,N/A,597.322755098,597.461579084,597.469098091,1085.53674197,1086.69470596,0.156044,485.944586,0.002821
unit.000021,Mapper-1-5,N/A,596.501342058,596.586777925,596.594297886,1091.14664388,1091.84220695,0.168353,491.473026,0.002996
unit.000022,Mapper-1-6,N/A,601.655881882,601.760458946,601.767951965,1096.25424504,1097.46994209,0.209538,492.847782,0.002096
unit.000023,Mapper-1-7,N/A,594.963460922,595.055397987,595.062830925,1087.19029903,1087.72622299,0.153907,490.108033,0.002296
unit.000024,Mapper-1-8,N/A,599.400876045,601.332870007,601.3894701,1057.54288888,1057.44959593,0.194744,455.45184,0.001696
unit.000025,Mapper-1-9,N/A,595.051803112,595.136307001,595.143747091,1159.04221892,1159.77053404,0.16928,561.899151,0.003011
unit.000026,Mapper-1-10,N/A,597.175294876,597.261948109,597.269442081,1079.72681594,1080.62591195,0.152544,480.133537,0.003192
unit.000027,Mapper-1-11,N/A,598.511765957,598.650779963,598.663631916,1058.64563394,1058.47747707,0.197231,456.45503,0.00236
unit.000028,Mapper-1-12,N/A,601.557777882,601.695815086,601.710367918,1058.34461498,1058.48075008,0.188919,455.07733,0.002117
unit.000029,Mapper-1-13,N/A,602.449126959,602.541955948,602.549525976,1056.66863894,1056.43444109,0.195599,452.528072,0.001812
unit.000030,Mapper-1-14,N/A,594.235131979,594.719707966,594.727170944,1107.92230797,1108.82706809,0.157081,510.88826,0.002036
unit.000031,Mapper-1-15,N/A,599.254312038,599.346349955,599.357976913,1054.88385606,1055.40340304,0.249956,452.625514,0.003163
unit.000032,Mapper-1-16,N/A,595.839967966,595.922152996,595.9296,1145.52091408,1146.55334592,0.105356,548.153587,0.002313
unit.000033,Reducer-1,N/A,1163.24035907,1163.32332206,1163.34552097,1164.71690011,1165.85112,0.024835,0.021533,0.003172
