CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,32.6494719982,32.6876249313,49.5067660809,864.712686062,864.617262125,0.035686,804.793109,0.002771
unit.000001,Mapper-0-2,N/A,32.680232048,32.7264919281,40.7360699177,834.04282999,834.046041965,0.035591,774.561133,0.002787
unit.000002,Mapper-0-3,N/A,32.7336061001,32.7898471355,51.3331289291,847.679708958,847.28233099,0.03628,787.654317,0.002808
unit.000003,Mapper-0-4,N/A,32.6959791183,32.7492809296,40.7891700268,843.164422989,843.179563999,0.035031,783.87045,0.002735
unit.000004,Mapper-0-5,N/A,32.6333379745,32.6606481075,43.5751581192,845.824952126,845.235650063,0.034899,786.213407,0.002722
unit.000005,Mapper-0-6,N/A,32.7114539146,32.7690060139,41.2716009617,840.457590103,840.120244026,0.035009,781.093966,0.002767
unit.000006,Mapper-0-7,N/A,32.6677639484,32.7040650845,42.2201581001,844.420325041,844.221954107,0.034335,785.265496,0.002777
unit.000007,Mapper-0-8,N/A,32.6065850258,32.6369049549,50.7262990475,847.933785915,847.284100056,0.022839,788.55685,0.002767
unit.000008,Reducer-0,N/A,876.395834923,876.459517956,881.213953018,887.683941126,889.157573938,0.070738,0.185627,0.000765
unit.000009,Mapper-1-1,N/A,896.679415941,896.736285925,902.093600988,1693.30490398,1692.30713892,0.034126,785.190832,0.002732
unit.000010,Mapper-1-2,N/A,900.61907506,900.645251036,911.980387926,1706.16230011,1705.51450109,0.034929,788.346606,0.002741
unit.000011,Mapper-1-3,N/A,900.44362998,900.507421017,906.115752935,1703.40335202,1703.46495008,0.034302,790.975596,0.002789
unit.000012,Mapper-1-4,N/A,901.582500935,901.611721992,913.01195693,1710.2216301,1709.56237292,0.035265,791.478201,0.002844
unit.000013,Mapper-1-5,N/A,900.503839016,900.518386126,906.975172043,1690.41214299,1690.25338006,0.033851,777.847291,0.002723
unit.000014,Mapper-1-6,N/A,902.178843975,902.204756021,918.090919971,1714.32952809,1713.63492203,0.034602,790.007646,0.002772
unit.000015,Mapper-1-7,N/A,901.608087063,901.63510704,914.136265039,1704.41088104,1704.47948098,0.034816,784.095469,0.002786
unit.000016,Mapper-1-8,N/A,900.597419024,900.622671127,908.028358936,1692.12788796,1691.27055812,0.022212,778.256437,0.00273
unit.000017,Reducer-1,N/A,1723.57139802,1723.63508701,1727.71870399,1733.38795209,1734.21029592,0.071245,0.187221,0.000764
