CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,13.4750089645,13.4893729687,13.5390651226,387.46342206,388.497879982,0.031339,369.946725,0.003984
unit.000001,Mapper-0-2,N/A,13.387843132,13.4003641605,13.4526920319,388.718268156,389.553653002,0.029972,371.240117,0.004926
unit.000002,Mapper-0-3,N/A,13.3745160103,13.3902831078,13.4383420944,464.955526114,466.148996115,0.030698,447.246154,0.00451
unit.000003,Mapper-0-4,N/A,13.5033869743,13.5205330849,13.5526871681,492.958062172,494.085489988,0.027582,475.400116,0.005149
unit.000004,Mapper-0-5,N/A,13.4329550266,13.4466309547,13.4982180595,419.722061157,421.336100101,0.028082,402.168436,0.004293
unit.000005,Mapper-0-6,N/A,13.4925730228,13.5063309669,13.5498859882,368.923824072,370.030297995,0.029087,351.42315,0.003787
unit.000006,Mapper-0-7,N/A,13.3379280567,13.353675127,13.395414114,376.739804029,378.204291105,0.03027,359.232113,0.003904
unit.000007,Mapper-0-8,N/A,13.4440310001,13.4631330967,13.511947155,377.742818117,379.240859032,0.029445,360.224263,0.003824
unit.000008,Mapper-0-9,N/A,13.4592471123,13.4777390957,13.5260591507,476.027453184,478.07524395,0.031389,458.481542,0.005205
unit.000009,Mapper-0-10,N/A,13.351129055,13.3652701378,13.4084470272,471.168488979,472.821557999,0.031964,453.667115,0.004111
unit.000010,Mapper-0-11,N/A,13.3143651485,13.3403420448,13.3827800751,488.048738956,489.998496056,0.031427,470.551168,0.004953
unit.000011,Mapper-0-12,N/A,13.5311880112,13.5443861485,13.563585043,466.909286976,468.755077124,0.031657,449.365102,0.004206
unit.000012,Mapper-0-13,N/A,13.4160580635,13.4304959774,13.4836399555,384.057022095,385.374832153,0.032769,366.580652,0.004112
unit.000013,Mapper-0-14,N/A,13.4027850628,13.4134111404,13.4698271751,470.822222948,472.845834017,0.030971,453.321303,0.004996
unit.000014,Mapper-0-15,N/A,13.5176451206,13.5337049961,13.5559439659,484.39398098,485.417214155,0.021016,466.910729,0.004688
unit.000015,Mapper-0-16,N/A,13.3628900051,13.3771300316,13.4228279591,482.43809104,484.188851118,0.026047,464.93294,0.004836
unit.000016,Reducer-0,N/A,498.494693995,498.570372105,498.584959984,500.038669109,502.094424963,0.069106,0.222601,0.004447
unit.000017,Mapper-1-1,N/A,510.546442986,510.566643953,510.572178125,951.128268957,952.207360029,0.016962,439.355112,0.00451
unit.000018,Mapper-1-2,N/A,511.556907177,511.579020977,511.584841013,891.162369967,892.380880117,0.017267,378.334345,0.004047
unit.000019,Mapper-1-3,N/A,515.30922699,515.375373125,515.387184143,952.132105112,956.944033146,0.030901,435.277662,0.004217
unit.000020,Mapper-1-4,N/A,513.192551136,513.221482992,513.228674173,934.895998001,936.675592184,0.016574,420.257033,0.00386
unit.000021,Mapper-1-5,N/A,508.149808168,508.206037045,508.211006165,934.997332096,936.456576109,0.017572,425.608928,0.003368
unit.000022,Mapper-1-6,N/A,512.374587059,512.395866156,512.404613972,896.276170969,897.622493029,0.017075,382.579392,0.005299
unit.000023,Mapper-1-7,N/A,510.693305969,510.714462042,510.720057011,922.12622714,923.246804953,0.018973,410.067579,0.004191
unit.000024,Mapper-1-8,N/A,508.203588009,508.215659142,508.220729113,934.795248032,936.600914955,0.017734,425.384008,0.003485
unit.000025,Mapper-1-9,N/A,509.062119007,509.080945969,509.086595058,880.09239912,881.06252408,0.0169,369.263686,0.004262
unit.000026,Mapper-1-10,N/A,515.369670153,515.398568153,515.410370111,949.422978163,951.193379164,0.030376,432.251573,0.004299
unit.000027,Mapper-1-11,N/A,512.301995993,512.377443075,512.386127949,939.55528307,941.010840178,0.018616,425.897947,0.004709
unit.000028,Mapper-1-12,N/A,513.21807313,513.239586115,513.247100115,933.643368959,935.264007092,0.016749,418.853114,0.003866
unit.000029,Mapper-1-13,N/A,509.823107004,509.839004993,509.844544172,893.016940117,893.401683092,0.016781,381.867954,0.003849
unit.000030,Mapper-1-14,N/A,509.803763151,509.825814009,509.831413984,887.677725077,889.182232141,0.017538,376.514604,0.00466
unit.000031,Mapper-1-15,N/A,509.043205976,509.064737082,509.070104122,922.473391056,923.220318079,0.016632,412.111047,0.00351
unit.000032,Mapper-1-16,N/A,511.576238155,511.593947172,511.599545956,889.414916039,890.22379899,0.012079,376.489923,0.004546
unit.000033,Reducer-1,N/A,962.903414011,962.979580164,962.997292042,964.370275974,966.113461971,0.063152,0.163743,0.004343
