,Duration,Framework,Nodes
0,1797750.0,MPIC++,1
1,1796480.0,MPIC++,1
2,1796020.0,MPIC++,1
3,2837490.0,MPIC++,1
4,1798950.0,MPIC++,1
5,1795500.0,MPIC++,1
6,1795700.0,MPIC++,1
7,1797490.0,MPIC++,1
8,1791490.0,MPIC++,1
9,1782710.0,MPIC++,1
10,1790240.0,MPIC++,1
11,1790970.0,MPIC++,1
12,1798010.0,MPIC++,1
13,1794930.0,MPIC++,1
14,1793770.0,MPIC++,1
15,1814580.0,MPIC++,1
16,2853590.0,MPIC++,1
17,1787330.0,MPIC++,1
18,1791250.0,MPIC++,1
19,1790040.0,MPIC++,1
20,1792760.0,MPIC++,1
21,1808630.0,MPIC++,1
22,1790350.0,MPIC++,1
23,1788410.0,MPIC++,1
24,1801550.0,MPIC++,1
25,1797920.0,MPIC++,1
26,1791610.0,MPIC++,1
27,2837570.0,MPIC++,1
28,1800020.0,MPIC++,1
29,1803020.0,MPIC++,1
30,1793360.0,MPIC++,1
31,1790690.0,MPIC++,1
32,1797250.0,MPIC++,1
33,1809440.0,MPIC++,1
34,1786210.0,MPIC++,1
35,1795680.0,MPIC++,1
36,1800900.0,MPIC++,1
37,1819280.0,MPIC++,1
38,1798190.0,MPIC++,1
39,2548430.0,MPIC++,1
40,1799500.0,MPIC++,1
41,1791050.0,MPIC++,1
42,1792270.0,MPIC++,1
43,1791490.0,MPIC++,1
44,1791960.0,MPIC++,1
45,1805250.0,MPIC++,1
46,1792970.0,MPIC++,1
47,1792690.0,MPIC++,1
48,1801140.0,MPIC++,1
49,1800970.0,MPIC++,1
50,1804900.0,MPIC++,1
51,1800600.0,MPIC++,1
52,2828900.0,MPIC++,1
53,1789950.0,MPIC++,1
54,1793440.0,MPIC++,1
55,1790780.0,MPIC++,1
56,1789890.0,MPIC++,1
57,1789350.0,MPIC++,1
58,1791250.0,MPIC++,1
59,1793500.0,MPIC++,1
60,1809670.0,MPIC++,1
61,1791970.0,MPIC++,1
62,1793850.0,MPIC++,1
