,Duration,Framework,Nodes,Optimization
0,32787900.0,MPIC++,1,2
1,32785400.0,MPIC++,1,2
2,32820800.0,MPIC++,1,2
3,32681500.0,MPIC++,1,2
4,32764000.0,MPIC++,1,2
5,32790400.0,MPIC++,1,2
6,32765800.0,MPIC++,1,2
7,32742900.0,MPIC++,1,2
8,32765600.0,MPIC++,1,2
9,32762200.0,MPIC++,1,2
10,32760500.0,MPIC++,1,2
11,32792700.0,MPIC++,1,2
12,33111300.0,MPIC++,1,2
13,33088400.0,MPIC++,1,2
14,33094600.0,MPIC++,1,2
15,33068300.0,MPIC++,1,2
16,33094800.0,MPIC++,1,2
17,32949600.0,MPIC++,1,2
18,33077600.0,MPIC++,1,2
19,33079700.0,MPIC++,1,2
20,33066200.0,MPIC++,1,2
21,33113800.0,MPIC++,1,2
22,33065100.0,MPIC++,1,2
23,33105900.0,MPIC++,1,2
24,32393200.0,MPIC++,1,2
25,32383900.0,MPIC++,1,2
26,32410600.0,MPIC++,1,2
27,32376100.0,MPIC++,1,2
28,32381600.0,MPIC++,1,2
29,32388800.0,MPIC++,1,2
30,32392600.0,MPIC++,1,2
31,32373300.0,MPIC++,1,2
32,32390100.0,MPIC++,1,2
33,32273100.0,MPIC++,1,2
34,32427000.0,MPIC++,1,2
35,32395600.0,MPIC++,1,2
36,32455600.0,MPIC++,1,2
37,32322800.0,MPIC++,1,2
38,32445600.0,MPIC++,1,2
39,32386600.0,MPIC++,1,2
40,32409400.0,MPIC++,1,2
41,32395100.0,MPIC++,1,2
42,32417100.0,MPIC++,1,2
43,32406400.0,MPIC++,1,2
44,32475300.0,MPIC++,1,2
45,32376700.0,MPIC++,1,2
46,32380000.0,MPIC++,1,2
47,32365600.0,MPIC++,1,2
48,32568800.0,MPIC++,1,2
49,32690200.0,MPIC++,1,2
50,32584900.0,MPIC++,1,2
51,32655600.0,MPIC++,1,2
52,32544500.0,MPIC++,1,2
53,32630700.0,MPIC++,1,2
54,32621200.0,MPIC++,1,2
55,32613100.0,MPIC++,1,2
56,32619400.0,MPIC++,1,2
57,32656500.0,MPIC++,1,2
58,32534800.0,MPIC++,1,2
59,32586200.0,MPIC++,1,2
60,32994700.0,MPIC++,1,2
61,32966000.0,MPIC++,1,2
62,32997500.0,MPIC++,1,2
63,32917400.0,MPIC++,1,2
64,32982500.0,MPIC++,1,2
