,Duration,Framework,Nodes
0,1025620.0,MPIC++,1
1,1016600.0,MPIC++,1
2,1014490.0,MPIC++,1
3,1019360.0,MPIC++,1
4,1025890.0,MPIC++,1
5,1021500.0,MPIC++,1
6,1014590.0,MPIC++,1
7,1017730.0,MPIC++,1
8,1016600.0,MPIC++,1
9,1016060.0,MPIC++,1
10,1025310.0,MPIC++,1
11,1020160.0,MPIC++,1
12,1027400.0,MPIC++,1
13,1023470.0,MPIC++,1
14,1017720.0,MPIC++,1
15,1027840.0,MPIC++,1
16,1027280.0,MPIC++,1
17,1022630.0,MPIC++,1
18,1026990.0,MPIC++,1
19,1025000.0,MPIC++,1
20,1018540.0,MPIC++,1
21,1015130.0,MPIC++,1
22,1016660.0,MPIC++,1
23,1017260.0,MPIC++,1
24,1019790.0,MPIC++,1
25,1019430.0,MPIC++,1
26,1024720.0,MPIC++,1
27,1025890.0,MPIC++,1
28,1013250.0,MPIC++,1
29,1018060.0,MPIC++,1
30,1019690.0,MPIC++,1
31,1026800.0,MPIC++,1
32,1025850.0,MPIC++,1
33,1019400.0,MPIC++,1
34,1019920.0,MPIC++,1
35,1022640.0,MPIC++,1
36,1027630.0,MPIC++,1
37,1028260.0,MPIC++,1
38,1021980.0,MPIC++,1
39,1027150.0,MPIC++,1
40,1014400.0,MPIC++,1
41,1025170.0,MPIC++,1
42,1024680.0,MPIC++,1
43,1015060.0,MPIC++,1
44,1016390.0,MPIC++,1
45,1016300.0,MPIC++,1
46,1028210.0,MPIC++,1
47,1032000.0,MPIC++,1
48,1022130.0,MPIC++,1
49,1017920.0,MPIC++,1
50,1025590.0,MPIC++,1
51,1025970.0,MPIC++,1
52,1021520.0,MPIC++,1
53,1028450.0,MPIC++,1
54,1022500.0,MPIC++,1
55,1030730.0,MPIC++,1
56,1038910.0,MPIC++,1
57,1021820.0,MPIC++,1
58,1030850.0,MPIC++,1
59,1023510.0,MPIC++,1
60,1015640.0,MPIC++,1
61,1016490.0,MPIC++,1
62,1019700.0,MPIC++,1
63,1026990.0,MPIC++,1
64,1015170.0,MPIC++,1
65,1018710.0,MPIC++,1
66,1018610.0,MPIC++,1
67,1016400.0,MPIC++,1
68,1017860.0,MPIC++,1
69,1016600.0,MPIC++,1
70,1022350.0,MPIC++,1
71,1022120.0,MPIC++,1
72,1023660.0,MPIC++,1
