,Nodes,Framework,Duration
0,1,Dask,14638.0889416
1,1,Dask,14870.4907894
2,1,Dask,14896.2059021
3,1,Dask,15081.9039345
4,1,Dask,15138.7031078
5,1,Dask,15137.5219822
6,1,Dask,15283.0810547
7,1,Dask,15373.4459877
8,1,Dask,15385.54883
9,1,Dask,15505.9120655
10,1,Dask,15519.7200775
11,1,Dask,15525.1049995
12,1,Dask,15519.7989941
13,1,Dask,15559.5591068
14,1,Dask,15580.7919502
15,1,Dask,15760.5130672
16,1,Dask,15847.6779461
17,1,Dask,16011.8191242
18,1,Dask,16806.2410355
19,1,Dask,17273.7801075
20,1,Dask,17356.5189838
21,1,Dask,17845.8120823
22,1,Dask,18064.2049313
23,1,Dask,19018.3000565
24,1,Dask,14195.895195
25,1,Dask,14457.4108124
26,1,Dask,14579.8919201
27,1,Dask,14668.5171127
28,1,Dask,14682.2059155
29,1,Dask,14900.4671574
30,1,Dask,14945.9519386
31,1,Dask,14972.9280472
32,1,Dask,14981.4291
33,1,Dask,15073.102951
34,1,Dask,15132.0259571
35,1,Dask,15521.1749077
36,1,Dask,15594.6719646
37,1,Dask,15705.3501606
38,1,Dask,15717.9780006
39,1,Dask,15731.662035
40,1,Dask,15858.4358692
41,1,Dask,15933.1681728
42,1,Dask,16308.0198765
43,1,Dask,18001.7418861
44,1,Dask,18203.7279606
45,1,Dask,18583.9209557
46,1,Dask,18832.2889805
47,1,Dask,19976.5880108
48,1,Dask,14771.1970806
49,1,Dask,15148.2460499
50,1,Dask,15305.5100441
51,1,Dask,15309.0748787
52,1,Dask,15387.5851631
53,1,Dask,15411.7319584
54,1,Dask,15410.6209278
55,1,Dask,15453.4709454
56,1,Dask,15456.7420483
57,1,Dask,15461.815834
58,1,Dask,15480.2260399
59,1,Dask,15489.2101288
60,1,Dask,15557.9228401
61,1,Dask,15607.4438095
62,1,Dask,15607.667923
63,1,Dask,15642.6291466
64,1,Dask,15655.203104
65,1,Dask,15657.900095
66,1,Dask,15691.4060116
67,1,Dask,15700.9501457
68,1,Dask,15836.1551762
69,1,Dask,15922.7068424
70,1,Dask,16064.4869804
71,1,Dask,20905.9882164
72,1,Dask,15081.6400051
73,1,Dask,15088.7000561
74,1,Dask,15188.120842
75,1,Dask,15306.292057
76,1,Dask,15332.9870701
77,1,Dask,15341.3150311
78,1,Dask,15362.9841805
79,1,Dask,15411.8070602
80,1,Dask,15507.6129436
81,1,Dask,15547.2121239
82,1,Dask,15554.1732311
83,1,Dask,15608.8490486
84,1,Dask,15650.4929066
85,1,Dask,15725.3479958
86,1,Dask,15763.4940147
87,1,Dask,15806.4219952
88,1,Dask,15866.1980629
89,1,Dask,15949.3260384
90,1,Dask,16083.2390785
91,1,Dask,16111.8659973
92,1,Dask,16229.8769951
93,1,Dask,16302.0250797
94,1,Dask,17085.2689743
95,1,Dask,17746.6509342
96,1,Dask,15065.8218861
97,1,Dask,15107.7377796
98,1,Dask,15160.187006
99,1,Dask,15294.5799828
100,1,Dask,15335.2439404
101,1,Dask,15346.984148
102,1,Dask,15363.7390137
103,1,Dask,15385.3669167
104,1,Dask,15400.0880718
105,1,Dask,15434.7960949
106,1,Dask,15479.2511463
107,1,Dask,15506.6928864
108,1,Dask,15547.9791164
109,1,Dask,15655.7710171
110,1,Dask,15780.230999
111,1,Dask,15791.6960716
112,1,Dask,15791.9080257
113,1,Dask,15814.5480156
114,1,Dask,15913.0151272
115,1,Dask,16008.3079338
116,1,Dask,16098.8819599
117,1,Dask,16214.5237923
118,1,Dask,16312.4940395
119,1,Dask,20296.4940071
120,1,Dask,15254.4879913
121,1,Dask,15277.6238918
122,1,Dask,15308.7220192
123,1,Dask,15380.8858395
124,1,Dask,15405.2379131
125,1,Dask,15446.7999935
126,1,Dask,15456.3920498
127,1,Dask,15476.3269424
128,1,Dask,15511.4068985
129,1,Dask,15573.5759735
130,1,Dask,15576.2619972
131,1,Dask,15604.2490005
132,1,Dask,15618.4310913
