,Nodes,Framework,Duration
0,1,Dask,3552.39796638
1,1,Dask,3657.40799904
2,1,Dask,3666.60690308
3,1,Dask,3680.3560257
4,1,Dask,3683.47001076
5,1,Dask,3699.29003716
6,1,Dask,3710.17408371
7,1,Dask,3730.33094406
8,1,Dask,3744.38905716
9,1,Dask,3752.59709358
10,1,Dask,3764.20307159
11,1,Dask,3773.86403084
12,1,Dask,3815.02604485
13,1,Dask,3814.72206116
14,1,Dask,3820.91403008
15,1,Dask,3835.63518524
16,1,Dask,3836.95602417
17,1,Dask,3869.22597885
18,1,Dask,3912.74690628
19,1,Dask,3921.29302025
20,1,Dask,3930.51409721
21,1,Dask,4011.51394844
22,1,Dask,3455.84893227
23,1,Dask,3600.75378418
24,1,Dask,3459.94091034
25,1,Dask,3517.2688961
26,1,Dask,3558.73894691
27,1,Dask,3597.77402878
28,1,Dask,3604.95114326
29,1,Dask,3620.40114403
30,1,Dask,3654.8910141
31,1,Dask,3679.16321754
32,1,Dask,3682.81793594
33,1,Dask,3696.19488716
34,1,Dask,3711.43388748
35,1,Dask,3709.28001404
36,1,Dask,3741.9500351
37,1,Dask,3767.52614975
38,1,Dask,3820.88398933
39,1,Dask,3831.78210258
40,1,Dask,3853.75285149
41,1,Dask,3869.26603317
42,1,Dask,3922.00279236
43,1,Dask,4036.28611565
44,1,Dask,3451.45893097
45,1,Dask,3439.10622597
46,1,Dask,3510.45489311
47,1,Dask,3650.71201324
48,1,Dask,3529.74104881
49,1,Dask,3568.91703606
50,1,Dask,3651.98111534
51,1,Dask,3661.82589531
52,1,Dask,3676.15413666
53,1,Dask,3703.35793495
54,1,Dask,3704.88715172
55,1,Dask,3705.11603355
56,1,Dask,3710.70384979
57,1,Dask,3775.23088455
58,1,Dask,3814.64409828
59,1,Dask,3834.79595184
60,1,Dask,3864.37606812
61,1,Dask,3869.06695366
62,1,Dask,3912.5328064
63,1,Dask,3929.8479557
64,1,Dask,3999.26590919
65,1,Dask,4004.51588631
66,1,Dask,4007.78985023
