,Duration,Framework,Nodes
0,5934,Spark,1
1,5935,Spark,1
2,5936,Spark,1
3,5939,Spark,1
4,5964,Spark,1
5,5969,Spark,1
6,5998,Spark,1
7,6014,Spark,1
8,6018,Spark,1
9,6020,Spark,1
10,6023,Spark,1
11,6024,Spark,1
12,6028,Spark,1
13,6028,Spark,1
14,6032,Spark,1
15,6039,Spark,1
16,6059,Spark,1
17,6063,Spark,1
18,6065,Spark,1
19,6087,Spark,1
20,6119,Spark,1
21,6118,Spark,1
22,6130,Spark,1
23,6490,Spark,1
24,5802,Spark,1
25,5811,Spark,1
26,5813,Spark,1
27,5816,Spark,1
28,5840,Spark,1
29,5843,Spark,1
30,5843,Spark,1
31,5852,Spark,1
32,5853,Spark,1
33,5857,Spark,1
34,5862,Spark,1
35,5869,Spark,1
36,5872,Spark,1
37,5874,Spark,1
38,5878,Spark,1
39,5895,Spark,1
40,5896,Spark,1
41,5905,Spark,1
42,5916,Spark,1
43,5931,Spark,1
44,5932,Spark,1
45,5946,Spark,1
46,5983,Spark,1
47,6239,Spark,1
48,6364,Spark,1
49,6365,Spark,1
50,6368,Spark,1
51,6370,Spark,1
52,6373,Spark,1
53,6374,Spark,1
54,6381,Spark,1
55,6384,Spark,1
56,6384,Spark,1
57,6384,Spark,1
58,6390,Spark,1
59,6390,Spark,1
60,6394,Spark,1
61,6399,Spark,1
62,6403,Spark,1
63,6404,Spark,1
64,6442,Spark,1
65,6652,Spark,1
66,6693,Spark,1
67,6735,Spark,1
68,6746,Spark,1
69,7049,Spark,1
70,7115,Spark,1
71,7370,Spark,1
72,6004,Spark,1
73,6005,Spark,1
74,6009,Spark,1
75,6013,Spark,1
76,6022,Spark,1
77,6023,Spark,1
78,6027,Spark,1
79,6048,Spark,1
80,6064,Spark,1
81,6068,Spark,1
82,6070,Spark,1
83,6072,Spark,1
84,6076,Spark,1
85,6077,Spark,1
86,6081,Spark,1
87,6083,Spark,1
88,6085,Spark,1
89,6091,Spark,1
90,6092,Spark,1
91,6095,Spark,1
92,6100,Spark,1
93,6158,Spark,1
94,6180,Spark,1
95,6477,Spark,1
96,6137,Spark,1
97,6139,Spark,1
98,6139,Spark,1
99,6157,Spark,1
100,6172,Spark,1
101,6178,Spark,1
102,6186,Spark,1
103,6190,Spark,1
104,6192,Spark,1
