['blobDetector_multi-dbc8bda2-89fb-43dc-98f6-f7cc6f2e9374', 'processing', 'memory', 'tcp://10.21.248.143:40877', 47543077598976, [['compute', 1533221010.173547, 1533221185.1328082]]]
['blobDetector_multi-4f8cbc3d-935f-4d2e-992a-ca09bce0a5f5', 'processing', 'memory', 'tcp://10.21.248.143:34791', 47542877325056, [['compute', 1533221010.1566234, 1533221185.4336784]]]
['blobDetector_multi-c69dc1de-5b79-45a0-8fb2-2435ce68427c', 'processing', 'memory', 'tcp://10.21.248.143:34930', 47540057700096, [['compute', 1533221010.170413, 1533221187.8575802]]]
['blobDetector_multi-3cc94d32-ccc7-4e09-9c99-8db7a9678c88', 'processing', 'memory', 'tcp://10.21.248.140:39917', 47928598923008, [['compute', 1533221010.1547835, 1533221188.4413295]]]
['blobDetector_multi-cda1d2c0-be10-429b-8311-6cbdc3794667', 'processing', 'memory', 'tcp://10.21.248.143:34994', 47542473881344, [['compute', 1533221010.172361, 1533221188.5511897]]]
['blobDetector_multi-5beff231-cdff-425c-a8e9-8a9640298200', 'processing', 'memory', 'tcp://10.21.248.143:44985', 47539337115392, [['compute', 1533221010.1588445, 1533221188.5730264]]]
['blobDetector_multi-588d6a0b-65d1-4a68-b0de-33a504591624', 'processing', 'memory', 'tcp://10.21.248.143:38843', 47540863006464, [['compute', 1533221010.1591077, 1533221188.6879358]]]
['blobDetector_multi-56f1e713-6d64-49ad-a8bb-d97772eb35ff', 'processing', 'memory', 'tcp://10.21.248.143:38595', 47543883171584, [['compute', 1533221010.1576457, 1533221188.7563198]]]
['blobDetector_multi-a8eb8187-6eee-4658-ad0b-679e98508376', 'processing', 'memory', 'tcp://10.21.248.143:44233', 47541466986240, [['compute', 1533221010.167358, 1533221189.2158659]]]
['blobDetector_multi-27a24773-18c0-4878-9046-24de8a885fb4', 'processing', 'memory', 'tcp://10.21.248.139:33175', 47718097516288, [['compute', 1533221010.1503663, 1533221189.5607915]]]
['blobDetector_multi-c7c172f8-acb5-46bd-ad55-fe216f4151af', 'processing', 'memory', 'tcp://10.21.248.143:39479', 47540661679872, [['compute', 1533221010.1707613, 1533221189.5807974]]]
['blobDetector_multi-19ee9d7e-c94f-4755-b1ba-dd7af1198f77', 'processing', 'memory', 'tcp://10.21.248.131:39665', 47570995148544, [['compute', 1533221010.148146, 1533221189.605249]]]
['blobDetector_multi-b7bb0240-b3f1-4a7e-83b1-63925ab0007d', 'processing', 'memory', 'tcp://10.21.248.129:42195', 47134116443904, [['compute', 1533221010.1684415, 1533221189.7779696]]]
['blobDetector_multi-dfdbbeb2-d76e-4bcc-a633-7bb3aaec26a4', 'processing', 'memory', 'tcp://10.21.248.143:38074', 47543480260352, [['compute', 1533221010.1745174, 1533221189.8388374]]]
['blobDetector_multi-a01906c1-cccb-40d4-a688-4b0fb45799ce', 'processing', 'memory', 'tcp://10.21.248.143:34403', 47541869639424, [['compute', 1533221010.166432, 1533221189.928222]]]
['blobDetector_multi-8e207fbe-33f6-4879-b210-8a70cd7502e1', 'processing', 'memory', 'tcp://10.21.248.129:37105', 47135523362560, [['compute', 1533221010.163365, 1533221190.0832179]]]
['blobDetector_multi-518de4a6-69c7-4b17-b7a6-949a5a49beb0', 'processing', 'memory', 'tcp://10.21.248.143:34965', 47540460353280, [['compute', 1533221010.1583064, 1533221190.2372684]]]
['blobDetector_multi-fa0e69a4-aebb-4a3f-9e4f-a3afbb4c36fc', 'processing', 'memory', 'tcp://10.21.248.143:45798', 47539875829504, [['compute', 1533221010.1810806, 1533221190.3628836]]]
['blobDetector_multi-54c32834-2f84-4bae-aa34-c1d9a5de8664', 'processing', 'memory', 'tcp://10.21.248.143:37669', 47541265921792, [['compute', 1533221010.1581323, 1533221190.4961255]]]
['blobDetector_multi-533c3ae4-1ab8-426c-8286-141bcd4b94c8', 'processing', 'memory', 'tcp://10.21.248.143:35217', 47542674945792, [['compute', 1533221010.157069, 1533221190.570846]]]
['blobDetector_multi-f127ebc8-df0b-4148-9706-adbcc9fe0a12', 'processing', 'memory', 'tcp://10.21.248.143:37258', 47540055836416, [['compute', 1533221010.176955, 1533221190.79956]]]
['blobDetector_multi-4e1d6d94-9fdb-48e5-8c5e-eca8770bee7f', 'processing', 'memory', 'tcp://10.21.248.143:32880', 47541064333056, [['compute', 1533221010.1574445, 1533221191.1995764]]]
['blobDetector_multi-936cc6fb-f8ee-43d8-a84d-b80d46aee571', 'processing', 'memory', 'tcp://10.21.248.139:37887', 47718902822656, [['compute', 1533221010.1645105, 1533221191.2342234]]]
['blobDetector_multi-a64309f4-4a45-437b-80db-d0c0dbb65568', 'processing', 'memory', 'tcp://10.21.248.143:38687', 47542070966016, [['compute', 1533221010.1669242, 1533221191.4793983]]]
['blobDetector_multi-44a40f33-739f-4246-ad59-e3ca01b8d2e3', 'processing', 'memory', 'tcp://10.21.248.142:34030', 47766346663680, [['compute', 1533221010.154581, 1533221191.641937]]]
['blobDetector_multi-8f3f1203-4f40-4fa0-af37-a8d9e0ab1938', 'processing', 'memory', 'tcp://10.21.248.129:41046', 47133109548800, [['compute', 1533221010.1632333, 1533221191.7790704]]]
['blobDetector_multi-f130df7d-9744-410a-87ef-bdbb3f3383f9', 'processing', 'memory', 'tcp://10.21.248.129:45684', 47134518847232, [['compute', 1533221010.1775, 1533221191.797683]]]
['blobDetector_multi-92ddf640-cb42-431c-8e98-0a80cde43f35', 'processing', 'memory', 'tcp://10.21.248.131:45087', 47573008152320, [['compute', 1533221010.1640046, 1533221191.7995336]]]
['blobDetector_multi-05764ca3-fae1-4e55-b1c6-c2ebdb945d00', 'processing', 'memory', 'tcp://10.21.248.129:32769', 47132706895616, [['compute', 1533221010.1463914, 1533221191.8527684]]]
['blobDetector_multi-a4811ade-91ae-40a9-884a-a3687c034d20', 'processing', 'memory', 'tcp://10.21.248.143:35503', 47540259026688, [['compute', 1533221010.1666071, 1533221192.15855]]]
['blobDetector_multi-b7228e6b-b036-40d8-a722-0286dbc888aa', 'processing', 'memory', 'tcp://10.21.248.129:35184', 47134921488128, [['compute', 1533221010.1688514, 1533221192.2831755]]]
['blobDetector_multi-3002c51f-d785-4fdc-84ac-df71e7cd7fde', 'processing', 'memory', 'tcp://10.21.248.139:41132', 47717090883328, [['compute', 1533221010.1516526, 1533221192.3111475]]]
['blobDetector_multi-076885f5-ee48-414b-8e5d-af41b8d294d3', 'processing', 'memory', 'tcp://10.21.248.129:37039', 47133914855168, [['compute', 1533221010.1464555, 1533221192.4694495]]]
['blobDetector_multi-d4c863d2-199e-42bc-ba80-2710fb48d4b6', 'processing', 'memory', 'tcp://10.21.248.129:42364', 47131511379712, [['compute', 1533221010.172767, 1533221192.503535]]]
['blobDetector_multi-950c5588-49fa-4ffb-9bbd-daaffa44e30d', 'processing', 'memory', 'tcp://10.21.248.139:41155', 47720714761984, [['compute', 1533221010.1642945, 1533221192.5603704]]]
['blobDetector_multi-10c486b7-70cf-4a83-80f2-69a38811053e', 'processing', 'memory', 'tcp://10.21.248.131:33238', 47571397539584, [['compute', 1533221010.1479576, 1533221192.5823317]]]
['blobDetector_multi-cdc3bf28-1e35-4af7-a997-b8159752ce7b', 'processing', 'memory', 'tcp://10.21.248.143:46143', 47543681570560, [['compute', 1533221010.1721904, 1533221192.7896056]]]
['blobDetector_multi-a9b019ce-f259-43e9-9069-a37f4ed1186d', 'processing', 'memory', 'tcp://10.21.248.145:33597', 46915876292352, [['compute', 1533221010.1670408, 1533221192.9819257]]]
['blobDetector_multi-928ed1fe-fa0b-4955-82c8-ef367c36babf', 'processing', 'memory', 'tcp://10.21.248.131:42891', 47571800192768, [['compute', 1533221010.163775, 1533221192.9888809]]]
