['blobDetector_multi-197e4af4-e90c-4abe-b4a7-81aea55fc651', 'processing', 'memory', 'tcp://10.21.255.232:46085', 47220485281536, [['compute', 1533034244.5735946, 1533034419.1548486]]]
['blobDetector_multi-100fa20c-ee76-40bf-9b95-b797a90ee7fc', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533034244.5717196, 1533034419.3276896]]]
['blobDetector_multi-0c3664a4-e0b0-4841-9311-93fead1c9229', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533034244.5708525, 1533034419.4175115]]]
['blobDetector_multi-09f144fd-7ae3-4687-ba8f-fa19ea3b80f2', 'processing', 'memory', 'tcp://10.21.255.232:34271', 47217666717440, [['compute', 1533034244.569845, 1533034419.5818071]]]
['blobDetector_multi-050bed8d-363d-44c8-984a-d4bfced679f4', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533034244.5718913, 1533034420.3082185]]]
['blobDetector_multi-0a04d257-561b-42b3-b153-09cf5037fe7f', 'processing', 'memory', 'tcp://10.21.255.232:35682', 47218270697216, [['compute', 1533034244.5701792, 1533034420.486041]]]
['blobDetector_multi-0fdb780e-661d-4e2e-997b-c7c5af6d45fe', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533034244.5716128, 1533034420.914209]]]
['blobDetector_multi-0b49232c-daa1-4017-8f60-d74f903f3470', 'processing', 'memory', 'tcp://10.21.255.232:37776', 47221290866432, [['compute', 1533034244.5704901, 1533034422.613864]]]
['blobDetector_multi-06c5d454-6690-4a57-a8a0-41202c7c90c9', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533034244.5719395, 1533034422.7761035]]]
['blobDetector_multi-0e6e1e34-0b7d-400e-8b30-c8a16824074a', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533034244.5714772, 1533034423.144771]]]
['blobDetector_multi-12d4f42e-7455-4adc-8836-9e86df7e0cc5', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533034244.5723066, 1533034423.9421756]]]
['blobDetector_multi-11b73689-b94c-4357-9ba1-385d38da83fd', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533034244.572064, 1533034423.979819]]]
['blobDetector_multi-0041e282-07e2-40cb-915b-5b19db71334b', 'processing', 'memory', 'tcp://10.21.255.232:32886', 47220686628608, [['compute', 1533034244.568341, 1533034424.0769072]]]
['blobDetector_multi-00c66723-e482-461f-a13d-fd2fbeb72bd3', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533034244.5713673, 1533034424.5129082]]]
['blobDetector_multi-071efeee-65d2-4969-ba2a-b9cbef7bd113', 'processing', 'memory', 'tcp://10.21.255.232:32975', 47219478656768, [['compute', 1533034244.569332, 1533034425.082911]]]
['blobDetector_multi-195a2c59-9831-4907-b1f0-ed465027fe99', 'processing', 'memory', 'tcp://10.21.255.232:45772', 47218472023808, [['compute', 1533034244.5762007, 1533034425.477872]]]
['blobDetector_multi-0153e703-50f7-4f9c-899d-6d40ff2eb165', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533034244.571661, 1533034425.710047]]]
['blobDetector_multi-0c2c121b-7322-4aee-af29-4e0e1a45783a', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533034244.5706859, 1533034426.421359]]]
['blobDetector_multi-0943cc65-51d9-4222-8231-de9b27062e3d', 'processing', 'memory', 'tcp://10.21.255.232:33754', 47219076003584, [['compute', 1533034244.5695624, 1533034427.8243535]]]
['blobDetector_multi-1779245a-9f9a-4852-abbe-903a2d706b79', 'processing', 'memory', 'tcp://10.21.255.232:43601', 47217868044032, [['compute', 1533034244.5753014, 1533034428.2251084]]]
['blobDetector_multi-18bfe7db-7d80-4b07-8f63-e2607c512ba5', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533034244.5732236, 1533034428.8193877]]]
['blobDetector_multi-17db1086-ce79-472d-94c8-f2a3857467c9', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533034244.5729969, 1533034429.652325]]]
['blobDetector_multi-14c9309f-de20-426e-894b-df0f3110d49a', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533034244.572748, 1533034430.175067]]]
['blobDetector_multi-0dfe8296-3e3b-46b6-b84b-b92f3d5f7eda', 'processing', 'memory', 'tcp://10.21.255.232:38403', 47217288419072, [['compute', 1533034244.571188, 1533034441.8769538]]]
