['blobDetector_multi-3893313d-f3e1-4f45-bbca-23bb53711224', 'processing', 'memory', 'tcp://10.21.255.7:36795', 47656422344448, [['compute', 1532742516.30027, 1532742694.754946]]]
['blobDetector_multi-1f1b6e90-02df-4df5-be78-37561da449ea', 'processing', 'memory', 'tcp://10.21.255.7:40179', 47659240916736, [['compute', 1532742516.2951894, 1532742695.8585346]]]
['blobDetector_multi-14c7e363-8625-40d1-8f8b-4c6c512a813b', 'processing', 'memory', 'tcp://10.21.255.7:33009', 47658032957184, [['compute', 1532742516.294, 1532742696.289211]]]
['blobDetector_multi-1706748f-c95d-4a38-96d4-f476003babae', 'processing', 'memory', 'tcp://10.21.255.7:35376', 47657630304000, [['compute', 1532742516.2943504, 1532742696.3725214]]]
['blobDetector_multi-03e8b055-e219-4979-a4ac-604a4726141e', 'processing', 'memory', 'tcp://10.21.254.252:33146', 47858086606592, [['compute', 1532742516.2902, 1532742697.684771]]]
['blobDetector_multi-16fd833f-8f40-4ad0-8fd4-93b7d909603a', 'processing', 'memory', 'tcp://10.21.255.7:34600', 47657831630592, [['compute', 1532742516.2943804, 1532742697.8513703]]]
['blobDetector_multi-36994a58-d7e0-43d4-841f-8a99f394d1c7', 'processing', 'memory', 'tcp://10.21.255.7:35420', 47658435610368, [['compute', 1532742516.3028522, 1532742698.0248094]]]
['blobDetector_multi-4115f5dc-833f-4db5-9a2e-a64dd3cb47e5', 'processing', 'memory', 'tcp://10.21.255.7:45047', 47660247561984, [['compute', 1532742516.3019314, 1532742698.1483755]]]
['blobDetector_multi-22ee2012-40fd-403e-8676-12c3e8c024d0', 'processing', 'memory', 'tcp://10.21.255.7:42930', 47659844896512, [['compute', 1532742516.296044, 1532742698.991739]]]
['blobDetector_multi-30c29270-a292-4856-b4c9-ea1d3d6a5fb0', 'processing', 'memory', 'tcp://10.21.254.252:43927', 47860301199104, [['compute', 1532742516.3004858, 1532742699.41989]]]
['blobDetector_multi-3f57eb8e-852e-4838-b844-869a4c09ad57', 'processing', 'memory', 'tcp://10.21.255.7:41485', 47660650215168, [['compute', 1532742516.3013582, 1532742699.4986162]]]
['blobDetector_multi-268ed3cb-db2f-40e9-8798-17c37ce1f062', 'processing', 'memory', 'tcp://10.21.255.7:33267', 47658636936960, [['compute', 1532742516.297791, 1532742699.637408]]]
['blobDetector_multi-110b6d0f-669c-4866-838a-0e41aadc4c48', 'processing', 'memory', 'tcp://10.21.254.252:44976', 47860905182976, [['compute', 1532742516.293707, 1532742701.3305058]]]
['blobDetector_multi-21d2f7f2-0c0f-4ebb-99e4-0451245ba232', 'processing', 'memory', 'tcp://10.21.255.7:41238', 47659039852288, [['compute', 1532742516.2956185, 1532742701.3883204]]]
['blobDetector_multi-1c436417-d020-455d-8f8e-a02a83ad45ca', 'processing', 'memory', 'tcp://10.21.255.7:37281', 47660449146624, [['compute', 1532742516.294789, 1532742701.911876]]]
['blobDetector_multi-278a7387-bf61-4918-92f8-cb8a657b6e6c', 'processing', 'memory', 'tcp://10.21.254.252:38347', 47859697219328, [['compute', 1532742516.2980306, 1532742702.2206056]]]
['blobDetector_multi-194fd4c2-8aca-4ab4-a8bd-b4e65d993120', 'processing', 'memory', 'tcp://10.21.255.7:35734', 47656623671040, [['compute', 1532742516.2972214, 1532742702.7457674]]]
['blobDetector_multi-3d0dd191-c71e-44e9-914e-d2f74c3454d9', 'processing', 'memory', 'tcp://10.21.255.7:40947', 47659643569920, [['compute', 1532742516.301238, 1532742703.033]]]
['blobDetector_multi-396c3ae8-fbbc-4b4e-875b-32eccdf7953b', 'processing', 'memory', 'tcp://10.21.255.7:38139', 47656824997632, [['compute', 1532742516.3007743, 1532742703.1372683]]]
['blobDetector_multi-40a279ea-3812-43c7-82a0-953311febb08', 'processing', 'memory', 'tcp://10.21.255.7:42965', 47658234283776, [['compute', 1532742516.301748, 1532742703.217046]]]
['blobDetector_multi-419aab40-514a-47fd-8210-d2ba068ddfe3', 'processing', 'memory', 'tcp://10.21.255.7:45472', 47657428977408, [['compute', 1532742516.3022747, 1532742703.8080807]]]
['blobDetector_multi-0aa6227b-9736-4d1d-b8dd-ca1587472d4f', 'processing', 'memory', 'tcp://10.21.254.252:40292', 47859898808064, [['compute', 1532742516.29185, 1532742704.209395]]]
['blobDetector_multi-268ebf04-a95d-4a33-96ab-ee787f64eb8f', 'processing', 'memory', 'tcp://10.21.254.252:44457', 47857885280000, [['compute', 1532742516.2978666, 1532742704.5214546]]]
['blobDetector_multi-1f0b1d9f-04b6-4118-96fb-309a5bf2c5b6', 'processing', 'memory', 'tcp://10.21.255.7:38340', 47656426571520, [['compute', 1532742516.2948968, 1532742704.592063]]]
['blobDetector_multi-08274d0c-6426-436d-b767-f04eb2d22a4b', 'processing', 'memory', 'tcp://10.21.254.252:38565', 47857683953408, [['compute', 1532742516.2911065, 1532742704.9721906]]]
['blobDetector_multi-0627ee4b-57f1-4d33-96a9-3b1575c46005', 'processing', 'memory', 'tcp://10.21.254.252:37240', 47861308094208, [['compute', 1532742516.2907927, 1532742705.0408838]]]
['blobDetector_multi-2e120e27-0bb1-4922-9f41-2c0c20aaaf1a', 'processing', 'memory', 'tcp://10.21.254.252:42847', 47858489259776, [['compute', 1532742516.2991574, 1532742705.0664115]]]
['blobDetector_multi-2341f1f6-32fb-427b-86b9-618e43f9cc08', 'processing', 'memory', 'tcp://10.21.255.7:44028', 47656426809088, [['compute', 1532742516.296016, 1532742705.233735]]]
['blobDetector_multi-2361e074-44fb-435c-b089-875d625959f1', 'processing', 'memory', 'tcp://10.21.255.7:45067', 47660046239488, [['compute', 1532742516.2963161, 1532742705.2365232]]]
['blobDetector_multi-0aa336ad-ce2f-4561-bce7-d6f780562a4d', 'processing', 'memory', 'tcp://10.21.254.252:40035', 47857482626816, [['compute', 1532742516.2942839, 1532742705.7539499]]]
['blobDetector_multi-237839ac-e251-4a7d-a371-ce9efa2e1e5e', 'processing', 'memory', 'tcp://10.21.254.252:33466', 47860502525696, [['compute', 1532742516.2966383, 1532742705.8814082]]]
['blobDetector_multi-0b9b39eb-5895-4d99-8800-a73b09fd22ee', 'processing', 'memory', 'tcp://10.21.254.252:41387', 47861509170944, [['compute', 1532742516.292279, 1532742706.674375]]]
['blobDetector_multi-1f9e6a0d-2400-4f4a-a5d9-6d847995925e', 'processing', 'memory', 'tcp://10.21.255.7:40331', 47657026324224, [['compute', 1532742516.295423, 1532742706.711791]]]
['blobDetector_multi-39a2a9e1-f937-4a1d-9775-4f71dda20913', 'processing', 'memory', 'tcp://10.21.255.7:40090', 47657227650816, [['compute', 1532742516.300742, 1532742706.745755]]]
['blobDetector_multi-358dda62-edd4-473e-b021-be51258a3b17', 'processing', 'memory', 'tcp://10.21.255.7:35319', 47659443291904, [['compute', 1532742516.3000321, 1532742708.098943]]]
['blobDetector_multi-12270160-e2a9-4b1b-97fd-3bdbf1b0ae76', 'processing', 'memory', 'tcp://10.21.254.252:46340', 47859294566144, [['compute', 1532742516.293708, 1532742708.9841442]]]
['blobDetector_multi-0d318a52-5ce5-4992-88e8-61727adfc2bd', 'processing', 'memory', 'tcp://10.21.254.252:42820', 47859495892736, [['compute', 1532742516.2927125, 1532742711.2593315]]]
['blobDetector_multi-35677f4b-60c9-4108-9537-6be06bc86e96', 'processing', 'memory', 'tcp://10.21.254.252:46802', 47857322383104, [['compute', 1532742516.299911, 1532742712.1728861]]]
['blobDetector_multi-044870ca-df38-4d14-acd9-efeb4fa684d2', 'processing', 'memory', 'tcp://10.21.254.252:34145', 47859093239552, [['compute', 1532742516.290908, 1532742712.9911752]]]
['blobDetector_multi-3a79b663-d7fe-4b27-b570-9cb4c3ad51f5', 'processing', 'memory', 'tcp://10.21.255.7:40205', 47658838263552, [['compute', 1532742516.30378, 1532742713.476787]]]
['blobDetector_multi-0dd589a0-c072-4f84-85fd-fefa1766d2bb', 'processing', 'memory', 'tcp://10.21.254.252:43611', 47857480763136, [['compute', 1532742516.2932036, 1532742714.9849946]]]
['blobDetector_multi-0e8f8b31-f4a7-400d-bc80-2b85cf2d9b54', 'processing', 'memory', 'tcp://10.21.254.252:44328', 47858891912960, [['compute', 1532742516.293164, 1532742715.690028]]]
['blobDetector_multi-275ce5eb-55e2-41b0-855a-2354fd871c7e', 'processing', 'memory', 'tcp://10.21.254.252:35229', 47860099872512, [['compute', 1532742516.2978318, 1532742718.570407]]]
['blobDetector_multi-34b3582a-272f-4358-a702-3ae7625716de', 'processing', 'memory', 'tcp://10.21.254.252:45289', 47858287933184, [['compute', 1532742516.2996507, 1532742723.6176007]]]
['blobDetector_multi-258bc0d1-29eb-4ca4-aac9-25528e77be04', 'processing', 'memory', 'tcp://10.21.254.252:41569', 47861106501376, [['compute', 1532742516.2974286, 1532742723.6956847]]]
['blobDetector_multi-246f57e5-7442-49b9-abb4-5c8b7238f626', 'processing', 'memory', 'tcp://10.21.254.252:39019', 47858690848512, [['compute', 1532742516.2967403, 1532742726.0357695]]]
['blobDetector_multi-27c344af-edf8-435f-a0c0-3da91beaca1e', 'processing', 'memory', 'tcp://10.21.254.252:40274', 47860703852288, [['compute', 1532742516.2982502, 1532742730.3685942]]]
['blobDetector_multi-29d4713f-748d-4e19-9c86-03eebe9dd7bd', 'processing', 'memory', 'tcp://10.21.254.252:40976', 47857324484352, [['compute', 1532742516.3011415, 1532742734.3182905]]]
['blobDetector_multi-73cf568c-6591-41b1-a22e-44c90e2ba278', 'processing', 'memory', 'tcp://10.21.255.7:36795', 47656422344448, [['compute', 1532742694.7560124, 1532742872.1635525]]]
['blobDetector_multi-6c01d586-6a0f-4b92-a899-42399acac779', 'processing', 'memory', 'tcp://10.21.255.7:35376', 47657630304000, [['compute', 1532742696.3741643, 1532742878.2712724]]]
['blobDetector_multi-7c86da9c-3083-43cd-9fdb-4a14ae905e4a', 'processing', 'memory', 'tcp://10.21.255.7:40179', 47659240916736, [['compute', 1532742695.8595405, 1532742878.8691804]]]
['blobDetector_multi-66c26b42-dcf2-4b35-8882-31dfe5d09b86', 'processing', 'memory', 'tcp://10.21.255.7:33009', 47658032957184, [['compute', 1532742696.290916, 1532742878.9113739]]]
['blobDetector_multi-6d791066-7427-4b28-bc47-247e9a0b2080', 'processing', 'memory', 'tcp://10.21.255.7:35420', 47658435610368, [['compute', 1532742698.026094, 1532742881.625236]]]
['blobDetector_multi-83868b49-4f0d-4c95-afd6-b3c2b2674f5c', 'processing', 'memory', 'tcp://10.21.255.7:41485', 47660650215168, [['compute', 1532742699.4981196, 1532742882.0270727]]]
['blobDetector_multi-8756b3fb-2760-4cf6-bfa5-73cb637b76a2', 'processing', 'memory', 'tcp://10.21.255.7:45047', 47660247561984, [['compute', 1532742698.1618528, 1532742882.5117838]]]
