TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1481756458 9074873 190641354135 436252151911
1481756459 9074931 191064994747 436252157008
1481756460 9074989 191501218275 436252162105
1481756461 9075047 191924858891 436252167203
1481756462 9075105 192377859635 436252172301
1481756463 9075163 192793111643 436252177399
1481756464 9075221 193170614919 436252182499
1481756466 9075279 193611032755 436252187600
1481756467 9075337 193967564511 436252192701
1481756468 9075395 194387010827 436252197802
1481756469 9075455 194676433731 436252202905
1481756470 9075513 194697421179 436252208011
1481756471 9075571 194714214323 436252213117
1481756472 9075629 194898779615 436252218216
1481756473 9075687 195175619595 436252223318
1481756475 9075745 195540539959 436252228415
1481756476 9075803 195666385007 436252233520
1481756477 9075861 195666400935 436252238625
1481756478 9075919 195775468767 436252243727
1481756479 9075977 196085863179 436252248830
1481756482 9076035 196828270903 436252253928
1481756483 9076093 197239328611 436252259025
1481756484 9076151 197507779983 436252264124
1481756485 9076209 197818174407 436252269226
1481756488 9076267 198971623923 436252274325
1481756490 9076327 199319767071 436252279421
1481756491 9076385 199869236811 436252284516
1481756492 9076445 200276100215 436252289614
1481756493 9076503 200674575023 436252294717
1481756495 9076573 201018523867 436252299816
1481756497 9076631 201614130951 436252304921
1481756498 9076689 201932913971 436252310022
1481756499 9076755 202230725471 436252315122
1481756501 9076813 202893441419 436252320223
1481756502 9076873 203161892791 436252325322
1481756504 9076931 203472287203 436252330424
1481756505 9077001 203493274651 436252335530
1481756506 9077059 203493290579 436252340636
1481756507 9077117 203514278027 436252345743
1481756508 9077175 203757563575 436252350845
1481756509 9077241 204038597859 436252355946
1481756510 9077299 204319632155 436252361051
1481756511 9077357 204353202515 436252366157
1481756513 9077415 204374189963 436252371264
1481756514 9077481 204445509047 436252376367
1481756515 9077539 204747514851 436252381465
1481756516 9077599 205041132047 436252386563
1481756517 9077657 205322166331 436252391664
1481756518 9077715 205649337959 436252396762
1481756519 9077779 205976509587 436252401863
1481756521 9077837 206286903999 436252406963
1481756522 9077895 206618269931 436252412062
1481756523 9077953 206949635863 436252417162
1481756524 9078019 207239058767 436252422271
1481756525 9078077 207557841787 436252427369
1481756526 9078137 207855653287 436252432470
1481756527 9078195 208187019219 436252437568
1481756529 9078253 208518385151 436252442668
1481756530 9078319 208845556779 436252447767
1481756531 9078377 209151756891 436252452869
1481756532 9078435 209516677259 436252457972
1481756533 9078493 209852237499 436252463071
1481756534 9078559 210162631915 436252468168
1481756535 9078617 210477220635 436252473271
1481756537 9078675 210804392267 436252478374
1481756538 9078733 211114786683 436252483472
1481756539 9078799 211362266551 436252488576
1481756540 9078859 211362282487 436252493686
1481756541 9078917 211454573099 436252498791
1481756542 9078975 211773356127 436252503895
1481756543 9079033 212092139155 436252508998
1481756544 9079103 212419310791 436252514099
1481756546 9079161 212528378631 436252519209
1481756547 9079219 212557754695 436252524317
1481756548 9079279 212595519367 436252529425
1481756549 9079345 212847193531 436252534529
1481756550 9079403 213128227823 436252539632
1481756551 9079461 213447010851 436252544735
1481756552 9079519 213765793879 436252549837
1481756554 9079577 214097159819 436252554938
1481756555 9079643 214373999807 436252560040
1481756556 9079701 214655034111 436252565144
1481756560 9079769 215670071603 436252570245
1481756561 9079827 215976271731 436252575350
1481756562 9079885 216253111719 436252580454
1481756563 9079943 216580283355 436252585554
1481756565 9080009 217159113231 436252590654
1481756567 9080067 217469507651 436252595757
1481756568 9080125 217784096375 436252600859
1481756569 9080191 218035770539 436252605965
1481756570 9080249 218354553567 436252611072
1481756571 9080307 218643976467 436252616173
1481756572 9080365 218987925319 436252621276
1481756573 9080423 219319291259 436252626376
1481756575 9080491 219403193275 436252631484
1481756576 9080551 219424180731 436252636594
1481756577 9080609 219436779579 436252641702
1481756578 9080667 219579401839 436252646806
1481756579 9080733 219919156387 436252651905
1481756580 9080791 220145664739 436252657010
1481756582 9080849 220187623715 436252662118
1481756583 9080907 220204416867 436252667226
1481756584 9080975 220225404323 436252672335
1481756585 9081033 220422552535 436252677437
1481756586 9081091 220779084311 436252682540
1481756588 9081149 221093673035 436252687644
1481756589 9081207 221395678847 436252692745
1481756590 9081269 221689296051 436252697847
1481756591 9081327 221970330355 436252702952
1481756592 9081385 222289113383 436252708053
1481756593 9081443 222603702107 436252713154
1481756594 9081509 222897319311 436252718257
1481756595 9081567 223207713731 436252723356
1481756597 9081625 223509719543 436252728455
1481756598 9081683 223799142443 436252733557
1481756599 9081747 224055010911 436252738663
1481756600 9081805 224315073683 436252743764
1481756602 9081863 224684188359 436252748866
1481756603 9081921 225002971387 436252753968
1481756604 9081989 225296588603 436252759073
1481756605 9082047 225602788719 436252764176
1481756607 9082105 226059983791 436252769281
1481756608 9082163 226361989603 436252774384
1481756617 9082239 227884537879 436252779487
1481756618 9082297 228157183563 436252784591
1481756619 9082363 228434023563 436252789695
1481756621 9082421 228564062923 436252794803
1481756622 9082479 228610216203 436252799910
1481756623 9082537 228622815051 436252805019
1481756626 9082603 228987735427 436252810126
1481756627 9082661 229302324155 436252815230
1481756628 9082719 229621107187 436252820338
1481756629 9082785 229927307307 436252825439
1481756630 9082843 230208341603 436252830543
1481756631 9082901 230535513243 436252835646
1481756632 9082959 230858490579 436252840749
1481756634 9083025 231240188171 436252845852
1481756635 9083083 231550582595 436252850951
1481756636 9083141 231840005499 436252856056
1481756637 9083199 232150399923 436252861159
1481756638 9083257 232444017131 436252866263
1481756640 9083323 232758605859 436252871364
1481756641 9083381 233056417371 436252876468
1481756642 9083439 233383589011 436252881572
1481756643 9083497 233702372055 436252886678
1481756644 9083555 234012766479 436252891778
1481756645 9083613 234310577991 436252896881
1481756646 9083671 234608389503 436252901983
1481756648 9083729 234927172535 436252907087
1481756649 9083791 235254344175 436252912191
1481756650 9083849 235317274675 436252917302
1481756651 9083907 235317290615 436252922412
1481756652 9083965 235489273007 436252927516
1481756653 9084023 235745141479 436252932617
1481756654 9084089 236047147295 436252937721
1481756655 9084147 236189769571 436252942829
1481756657 9084205 236193979815 436252947938
1481756658 9084263 236269493227 436252953047
1481756659 9084327 236563110435 436252958148
1481756660 9084385 236844144731 436252963249
1481756661 9084443 237100013203 436252968350
1481756663 9084501 237402019019 436252973455
1481756664 9084559 237724996355 436252978557
1481756665 9084625 238022807867 436252983657
1481756666 9084683 238329007987 436252988760
1481756667 9084741 238651985323 436252993860
1481756668 9084799 238953991139 436252998962
1481756669 9084867 239243414043 436253004062
1481756670 9084925 239537031263 436253009169
1481756672 9084983 239826454167 436253014269
1481756673 9085041 240237511887 436253019373
1481756674 9085107 240564683527 436253024474
1481756675 9085167 240870883647 436253029583
1481756676 9085225 241156112247 436253034684
1481756678 9085283 241470700975 436253039786
1481756679 9085341 241772706791 436253044889
1481756680 9085409 242087295519 436253049992
1481756681 9085467 242309609559 436253055096
1481756682 9085525 242632586895 436253060197
1481756683 9085583 242947175623 436253065298
1481756684 9085649 243207238411 436253070404
1481756685 9085707 243224031567 436253075513
1481756687 9085767 243224047507 436253080624
1481756688 9085825 243307949515 436253085731
1481756689 9085891 243605761039 436253090838
1481756690 9085949 243870018119 436253095940
1481756691 9086007 243891005579 436253101048
1481756692 9086065 243903604431 436253106157
1481756693 9086123 244071392523 436253111263
1481756694 9086191 244327260999 436253116364
1481756696 9086249 244625072515 436253121466
1481756697 9086307 244922884031 436253126571
1481756698 9086365 245304581627 436253131673
1481756699 9086431 245594004535 436253136774
1481756700 9086489 245854067315 436253141878
1481756701 9086547 246181238959 436253146980
1481756703 9086631 246286010152 436254914127
1481756704 9086721 246286030071 436254920230
1481756705 9086790 246286049979 436254926330
1481756706 9086851 246286069887 436254932434
