#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481757312 5777589 5876317 0 0 5774704 5863740 2886 12576 15253.42 13017.08 1081.16 3366.54
1481757313 5777636 5876348 0 0 5774750 5863772 2886 12576 15252.65 13016.13 1081.67 3367.48
1481757314 5777683 5876383 0 0 5774797 5863807 2886 12576 15253.02 13016.07 1081.62 3367.14
1481757315 5777715 5876430 0 0 5774829 5863854 2886 12576 15252.59 13006.93 1082.03 3377.07
1481757316 5777750 5876495 0 0 5774864 5863919 2886 12576 15253.09 13000.97 1081.49 3382.64
1481757317 5777787 5876548 0 0 5774901 5863972 2886 12576 15249.46 12993.21 1084.37 3390.82
1481757319 5777843 5876675 0 0 5774957 5864099 2886 12576 15246.57 12941.34 1088.47 3442.64
1481757320 5777962 5876755 0 0 5775076 5864179 2886 12576 15243.80 12927.83 1090.05 3455.80
1481757323 5778002 5876922 0 0 5775116 5864346 2886 12576 15243.61 12885.40 1090.99 3498.62
1481757324 5778042 5877243 0 0 5775156 5864667 2886 12576 15242.64 12699.85 1091.17 3683.65
1481757325 5778074 5877503 0 0 5775188 5864927 2886 12576 15243.22 12468.92 1091.41 3915.85
1481757327 5778106 5877910 0 0 5775221 5865334 2886 12576 15242.68 12099.21 1091.98 4285.15
1481757329 5778146 5878113 0 0 5775261 5865537 2886 12576 15242.86 11927.18 1091.72 4456.85
1481757330 5778183 5878312 0 0 5775297 5865735 2886 12576 15243.20 11761.93 1091.05 4622.06
1481757331 5778215 5878432 0 0 5775330 5865855 2886 12576 15243.30 11676.89 1091.29 4707.46
1481757332 5778248 5878520 0 0 5775362 5865944 2886 12576 15243.09 11622.29 1091.16 4761.68
1481757333 5778285 5878583 0 0 5775399 5866007 2886 12576 15243.49 11592.24 1091.89 4791.39
1481757334 5778318 5878816 0 0 5775432 5866240 2886 12576 15242.39 11393.46 1091.85 4990.15
1481757336 5778354 5879079 0 0 5775468 5866502 2886 12576 15242.91 11161.81 1090.57 5221.82
1481757337 5778391 5879353 0 0 5775505 5866777 2886 12576 15243.44 10917.74 1091.50 5466.63
1481757338 5778430 5879586 0 0 5775544 5867010 2886 12576 15242.69 10716.18 1091.19 5668.21
1481757339 5778464 5879829 0 0 5775578 5867253 2886 12576 15243.52 10505.32 1091.86 5887.73
1481757340 5778501 5879993 0 0 5775615 5867417 2886 12576 15242.94 10362.31 1092.08 6021.31
1481757341 5778535 5880281 0 0 5775649 5867705 2886 12576 15241.70 10118.25 1092.14 6266.16
1481757342 5778572 5880496 0 0 5775686 5867920 2886 12576 15241.55 9934.71 1092.31 6449.70
1481757343 5778606 5880724 0 0 5775721 5868148 2886 12576 15242.89 9737.38 1092.06 6646.61
1481757345 5778639 5880913 0 0 5775754 5868337 2886 12576 15243.36 9584.07 1092.00 6799.58
1481757346 5778673 5881166 0 0 5775788 5868590 2886 12576 15242.71 9359.88 1091.91 7025.24
1481757347 5778710 5881417 0 0 5775824 5868841 2886 12576 15243.46 9146.66 1091.50 7236.94
1481757348 5778745 5881656 0 0 5775860 5869080 2886 12576 15242.38 8938.64 1091.10 7445.00
1481757349 5778778 5881903 0 0 5775892 5869327 2886 12576 15243.19 8724.69 1091.30 7658.96
1481757350 5778814 5882126 0 0 5775928 5869550 2886 12576 15242.77 8535.79 1091.48 7847.82
1481757351 5778848 5882281 0 0 5775962 5869705 2886 12576 15243.35 8410.10 1091.64 7974.30
1481757352 5778887 5882490 0 0 5776001 5869914 2886 12576 15243.00 8234.83 1091.64 8158.25
1481757354 5778925 5882752 0 0 5776039 5870175 2886 12576 15242.20 8003.31 1092.39 8380.31
1481757355 5778961 5882980 0 0 5776075 5870404 2886 12576 15242.61 7801.55 1091.63 8582.82
1481757356 5778999 5883203 0 0 5776113 5870627 2886 12576 15243.62 7614.55 1091.34 8769.82
1481757357 5779035 5883316 0 0 5776149 5870740 2886 12576 15242.71 7532.41 1091.18 8851.18
1481757360 5779072 5883443 0 0 5776186 5870867 2886 12576 15243.69 7436.45 1091.25 8947.15
1481757361 5779106 5883655 0 0 5776220 5871079 2886 12576 15242.40 7255.93 1092.56 9128.45
1481757362 5779145 5883865 0 0 5776259 5871289 2886 12576 15243.08 7079.85 1091.94 9303.79
1481757365 5779179 5884372 0 0 5776293 5871796 2886 12576 15242.37 6606.08 1091.51 9777.95
1481757366 5779216 5884463 0 0 5776330 5871886 2886 12576 15242.95 6547.04 1092.02 9836.60
1481757367 5779251 5884534 0 0 5776365 5871957 2886 12576 15242.53 6508.77 1091.43 9875.23
1481757369 5779288 5884635 0 0 5776402 5872059 2886 12576 15242.18 6434.52 1092.45 9950.96
1481757370 5779328 5884877 0 0 5776442 5872301 2886 12576 15241.73 6208.99 1092.88 10175.73
1481757371 5779368 5885100 0 0 5776482 5872524 2886 12576 15242.32 6028.12 1092.35 10355.49
1481757373 5779406 5885306 0 0 5776520 5872730 2886 12576 15241.62 5852.68 1092.59 10531.32
1481757374 5779442 5885553 0 0 5776556 5872977 2886 12576 15241.84 5637.90 1093.18 10746.10
1481757375 5779482 5885782 0 0 5776597 5873206 2886 12576 15242.34 5436.56 1091.90 10946.66
1481757376 5779516 5885984 0 0 5776630 5873407 2886 12576 15242.29 5269.95 1092.30 11114.43
1481757377 5779550 5886244 0 0 5776664 5873668 2886 12576 15242.98 5042.59 1091.98 11351.09
1481757379 5779586 5886547 0 0 5776700 5873971 2886 12576 15243.16 4772.21 1091.46 11612.16
1481757380 5779623 5886763 0 0 5776737 5874187 2886 12576 15243.14 4582.46 1091.83 11801.51
1481757381 5779660 5887027 0 0 5776774 5874451 2886 12576 15241.96 4354.30 1092.66 12029.33
1481757382 5779696 5887307 0 0 5776810 5874730 2886 12576 15242.68 4106.57 1091.95 12277.46
1481757383 5779736 5887532 0 0 5776850 5874956 2886 12576 15242.35 3904.02 1091.90 12480.02
1481757384 5779771 5887758 0 0 5776885 5875182 2886 12576 15241.97 3714.22 1092.25 12672.30
1481757385 5779803 5887994 0 0 5776917 5875418 2886 12576 15242.77 3512.72 1091.45 12870.90
1481757386 5779841 5888236 0 0 5776955 5875660 2886 12576 15242.60 3301.85 1092.04 13086.86
1481757388 5779875 5888463 0 0 5776989 5875886 2886 12576 15242.80 3106.93 1091.78 13278.96
1481757389 5779906 5888698 0 0 5777021 5876122 2886 12576 15242.46 2909.98 1091.79 13474.08
1481757390 5779940 5888952 0 0 5777054 5876376 2886 12576 15243.03 2689.74 1091.94 13694.27
1481757391 5779972 5889145 0 0 5777086 5876569 2886 12576 15242.24 2532.48 1091.95 13851.53
