TIMESTAMP        work-RQ          work-RD          work-WR          
1481668768 635539 747432637869 3922692056
1481668769 635618 747432673589 3922702111
1481668771 635691 747432693449 3922708292
1481668772 635804 747525016901 3922722724
1481668773 635891 748326176585 3922736002
1481668774 635973 749173473597 3922749022
1481668775 636055 750016576309 3922762041
1481668776 636137 750868067633 3922775062
1481668777 636219 751711170349 3922788083
1481668778 636301 752520718633 3922801103
1481668780 636383 753363821349 3922814126
1481668781 636465 754215312673 3922827143
1481668782 636547 755070998301 3922840162
1481668783 636629 755918295321 3922853182
1481668784 636711 756761398037 3922866201
1481668785 636793 757600306449 3922879220
1481668786 636875 758443409165 3922892239
1481668788 636957 759148099849 3922905263
1481668789 637039 759718572805 3922918284
1481668790 637121 760284851457 3922931305
1481668791 637203 760851130109 3922944327
1481668792 637285 761421603065 3922957350
1481668793 637367 761992076021 3922970373
1481668795 637449 762558354673 3922983395
1481668796 637531 763124633325 3922996416
1481668797 637613 763699300585 3923009437
1481668798 637695 764269773541 3923022459
1481668799 637777 764836052193 3923035486
1481668800 637859 765393942237 3923048508
1481668801 637941 765964415193 3923061531
1481668803 638029 766543276757 3923074551
1481668804 638111 767122138321 3923087575
1481668805 638193 767696805581 3923100595
1481668806 638275 768258889929 3923113618
1481668807 638367 768833557189 3923126638
1481668808 638449 769404030145 3923139659
1481668809 638531 769966114493 3923152681
1481668811 638613 770532393145 3923165706
1481668812 638703 771111254709 3923178728
1481668813 638785 771673339057 3923191749
1481668814 638867 772243812013 3923204770
1481668815 638949 772818479273 3923217790
1481668816 639031 773380563621 3923230811
1481668817 639123 773946842273 3923243831
1481668819 639205 774508926621 3923256854
1481668820 639287 775083593881 3923269874
1481668821 639369 775649872533 3923282896
1481668822 639459 776220345489 3923295921
1481668823 639541 776799207053 3923308941
1481668824 639623 777373874317 3923321963
1481668825 639705 777952735885 3923334986
1481668827 639795 778519014541 3923348007
1481668828 639877 779085293197 3923361027
1481668829 639959 779647377549 3923374048
1481668830 640041 780222044813 3923387071
1481668831 640133 780964484241 3923400094
1481668833 640215 781530762905 3923413123
1481668834 640297 782088652961 3923426146
1481668835 640379 782684291753 3923439169
1481668836 640461 783233793201 3923452193
1481668837 640551 783795877561 3923465215
1481668838 640633 784366350529 3923478238
1481668840 640715 784932629193 3923491263
1481668841 640797 785490519253 3923504286
1481668842 640887 786048409313 3923517312
1481668843 640969 786606299373 3923530341
1481668844 641051 787168383737 3923543370
1481668845 641133 787722079493 3923556394
1481668846 641215 788279969553 3923569420
1481668848 641307 788850442525 3923582446
1481668849 641389 789425109801 3923595471
1481668850 641471 789991388469 3923608496
1481668851 641553 790561861441 3923621524
1481668852 641643 791119751501 3923634548
1481668853 641725 791673447257 3923647574
1481668854 641807 792235531621 3923660600
1481668855 641889 792810198897 3923673630
1481668857 641979 793368088957 3923686657
1481668858 642061 793930173321 3923699683
1481668859 642143 794488063381 3923712710
1481668860 642225 795045953441 3923725736
1481668861 642307 795591260589 3923738760
1481668862 642397 796157539257 3923751788
1481668864 642479 796728012229 3923764811
1481668865 642561 797298485201 3923777835
1481668866 642643 797864763869 3923790857
1481668867 642735 798431042537 3923803885
1481668868 642817 798988932597 3923816908
1481668869 642899 799555211265 3923829934
1481668870 642981 800113101325 3923842959
1481668872 643071 800691962905 3923855985
1481668873 643153 801254047269 3923869013
1481668874 643235 801820325937 3923882036
1481668875 643317 802386604605 3923895059
1481668876 643399 802961271881 3923908086
1481668877 643491 803351282969 3923921113
1481668878 643583 803540046521 3925688388
1481668880 643660 803540066409 3925694484
1481668881 643740 803540082911 3925699596
1481668882 643809 803540102819 3925705698
