TIMESTAMP        work-RQ          work-RD          work-WR          
1481737217 3010256 419578346415 54912484622
1481737218 3010374 419578366311 54912491852
1481737219 3010490 419578394127 54912501050
1481737221 3010636 419578441867 54912515222
1481737222 3010791 419578505399 54912533465
1481737223 3011008 420006401043 54912554560
1481737224 3011165 420908253015 54912576216
1481737225 3011314 422426666515 54912598448
1481737226 3011463 424091880639 54912619529
1481737228 3011612 425916478315 54912640608
1481737229 3011761 427569109527 54912661692
1481737230 3011910 429221740743 54912682778
1481737231 3012059 430874371959 54912703863
1481737232 3012208 432527003175 54912724951
1481737233 3012357 434162857175 54912746033
1481737234 3012506 435786128263 54912767118
1481737235 3012655 437430370871 54912788199
1481737236 3012804 439074613479 54912809287
1481737238 3012953 440630775703 54912830367
1481737239 3013102 441981417031 54912851450
1481737240 3013251 443080400119 54912872538
1481737241 3013400 444204549031 54912893622
1481737242 3013549 445303532119 54912914704
1481737243 3013698 446419292423 54912935787
1481737244 3013847 447543441335 54912956870
1481737246 3013996 448655007335 54912977958
1481737247 3014145 449762379031 54912999042
1481737248 3014294 450886527943 54913020124
1481737249 3014443 451998093943 54913041205
1481737250 3014598 453109659943 54913062290
1481737251 3014755 454242197463 54913083377
1481737252 3014904 455357957767 54913104461
1481737254 3015053 456477912375 54913125542
1481737255 3015202 457589478375 54913146628
1481737256 3015367 458701044375 54913167711
1481737257 3015516 459804221767 54913188795
1481737258 3015665 460919982071 54913209877
1481737259 3015814 462018965159 54913230958
1481737260 3015973 463143114075 54913252042
1481737261 3016130 464258874383 54913273129
1481737263 3016279 465424966339 54913294217
1481737264 3016428 466523949431 54913315299
1481737265 3016585 467627126827 54913336382
1481737266 3016744 468755470047 54913357468
1481737267 3016893 469862841751 54913378557
1481737268 3017042 470991184975 54913399650
1481737270 3017191 472098556687 54913420734
1481737271 3017348 473205928399 54913441821
1481737272 3017505 474321688723 54913462910
1481737273 3017654 475412283223 54913484013
1481737274 3017791 475793913655 54913500142
1481737275 3017956 475793952499 54915273331
1481737276 3018108 475793976087 54915281364
