time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1481760818        0                 1056              0                 33153024          33121584          0                 11                24552034720       32670443269       0                 2112             
1481760820        0                 1056              0                 33153376          33121933          0                 11                24552225288       32670621357       0                 2112             
1481760821        0                 1056              0                 33153482          33122037          0                 11                24552270848       32670938149       0                 2112             
1481760822        0                 1056              0                 33153827          33122369          0                 11                24552428178       32680437664       0                 2112             
1481760823        0                 1056              0                 33153929          33122471          0                 11                24552476610       32680477760       0                 2112             
1481760825        1                 1056              0                 33154056          33122595          0                 11                24552531954       32682626697       0                 2112             
1481760826        0                 1056              0                 33154428          33122949          0                 11                24552656026       32801942169       0                 2112             
1481760827        0                 1056              0                 33154993          33123513          0                 11                24552835641       33044295585       0                 2112             
1481760828        0                 1056              0                 33155567          33124088          0                 11                24553019561       33289797441       0                 2112             
1481760829        0                 1056              0                 33156126          33124645          0                 11                24553173337       33533197953       0                 2112             
1481760830        0                 1056              0                 33156710          33125227          0                 11                24553335761       33786042497       0                 2112             
1481760831        0                 1056              0                 33157183          33125707          0                 11                24553466409       33989581625       0                 2112             
1481760832        0                 1056              0                 33157294          33125819          0                 11                24553563612       33989623881       0                 2112             
1481760834        0                 1056              0                 33157825          33126342          0                 11                24553712484       34214143265       0                 2112             
1481760835        0                 1056              0                 33158282          33126799          0                 11                24553840884       34405094977       0                 2112             
1481760836        0                 1056              0                 33158768          33127279          0                 11                24553977876       34608634105       0                 2112             
1481760837        0                 1056              0                 33159149          33127660          0                 11                24554114522       34752385337       0                 2112             
1481760838        0                 1056              0                 33159593          33128114          0                 11                24554277593       34931802849       0                 2112             
1481760839        1                 1056              0                 33160130          33128645          0                 11                24554426977       35161566673       0                 2112             
1481760840        0                 1056              0                 33160639          33129147          0                 11                24554570489       35373499833       0                 2112             
1481760842        0                 1056              0                 33161217          33129724          0                 11                24554728553       35626341785       0                 2112             
1481760843        0                 1056              0                 33161765          33130271          0                 11                24554920658       35852964641       0                 2112             
1481760844        0                 1056              0                 33162268          33130783          0                 11                24555071670       36068045041       0                 2112             
1481760845        0                 1056              0                 33162810          33131314          0                 11                24555223198       36297808825       0                 2112             
1481760846        0                 1056              0                 33163464          33131971          0                 11                24555399230       36593658241       0                 2112             
1481760847        0                 1056              0                 33165120          33133628          0                 11                24555863563       36862440425       0                 2112             
1481760848        0                 1056              0                 33165613          33134119          0                 11                24556014783       37069127513       0                 2112             
1481760850        0                 1056              0                 33165816          33134326          0                 11                24556080127       37127908905       0                 2112             
1481760851        0                 1056              0                 33165993          33134500          0                 11                24556141503       37167809721       0                 2112             
1481760853        0                 1056              0                 33166910          33135414          0                 11                24556501920       37557039825       0                 2112             
1481760854        0                 1056              0                 33167366          33135871          0                 11                24556644127       37741700617       0                 2112             
1481760856        0                 1056              0                 33167898          33136404          0                 11                24556790583       37972513417       0                 2112             
1481760857        0                 1056              0                 33168342          33136847          0                 11                24556916055       38156122297       0                 2112             
1481760858        0                 1056              0                 33168846          33137348          0                 11                24557058415       38364909121       0                 2112             
1481760860        0                 1056              0                 33169529          33138037          0                 11                24557280560       38667057121       0                 2112             
1481760861        0                 1056              0                 33170098          33138597          0                 11                24557452764       38908361649       0                 2112             
1481760862        0                 1056              0                 33170599          33139101          0                 11                24557591412       39123440273       0                 2112             
1481760863        0                 1056              0                 33171235          33139731          0                 11                24557766308       39400410393       0                 2112             
1481760864        0                 1056              0                 33171902          33140402          0                 11                24557958523       39701505321       0                 2112             
1481760865        0                 1056              0                 33172368          33140869          0                 11                24558115763       39891410841       0                 2112             
1481760866        0                 1056              0                 33172839          33141341          0                 11                24558260727       40086560209       0                 2112             
1481760868        0                 1056              0                 33172986          33141486          0                 11                24558315631       40107580985       0                 2112             
1481760869        0                 1056              0                 33173157          33141652          0                 11                24558372295       40139089385       0                 2112             
1481760870        0                 1056              0                 33173573          33142070          0                 11                24558516823       40304867553       0                 2112             
1481760871        0                 1056              0                 33173875          33142372          0                 11                24558635016       40405612041       0                 2112             
1481760872        0                 1056              0                 33175318          33143813          0                 11                24558984272       40579975433       0                 2112             
1481760873        0                 1056              0                 33175557          33144051          0                 11                24559061376       40651346089       0                 2112             
1481760874        0                 1056              0                 33176014          33144498          0                 11                24559205769       40834955705       0                 2112             
1481760876        0                 1056              0                 33176608          33145092          0                 11                24559394443       41090947073       0                 2112             
1481760877        0                 1056              0                 33177195          33145678          0                 11                24559568204       41345888073       0                 2112             
1481760878        0                 1056              0                 33177655          33146140          0                 11                24559725102       41528453137       0                 2112             
1481760879        0                 1056              0                 33178255          33146740          0                 11                24559914912       41788639801       0                 2112             
1481760880        0                 1056              0                 33178820          33147301          0                 11                24560070864       42032041577       0                 2112             
1481760881        0                 1056              0                 33179421          33147900          0                 11                24560235760       42296422521       0                 2112             
1481760882        0                 1056              0                 33180022          33148509          0                 11                24560413190       42559757081       0                 2112             
1481760884        0                 1056              0                 33180569          33149047          0                 11                24560579143       42789522657       0                 2112             
1481760885        0                 1056              0                 33181112          33149589          0                 11                24560742162       43021386185       0                 2112             
1481760886        0                 1056              0                 33181535          33150020          0                 11                24560873864       43196603993       0                 2112             
1481760887        0                 1056              0                 33182163          33150643          0                 11                24561058758       43472523497       0                 2112             
1481760889        0                 1056              0                 33183024          33151513          0                 11                24561389922       43855448577       0                 2112             
1481760890        0                 1056              0                 33183594          33152074          0                 11                24561548090       44100947041       0                 2112             
1481760891        0                 1056              0                 33183708          33152195          0                 11                24561591610       44115670857       0                 2112             
1481760894        0                 1056              0                 33184372          33152851          0                 11                24561817286       44394744721       0                 2112             
1481760895        0                 1056              0                 33185151          33153632          0                 11                24562023870       44756678865       0                 2112             
1481760896        0                 1056              0                 33185746          33154223          0                 11                24562186918       45017911969       0                 2112             
1481760897        0                 1056              0                 33187350          33155824          0                 11                24562575598       45276193281       0                 2112             
1481760899        0                 1056              0                 33188073          33156551          0                 11                24562822308       45594077681       0                 2112             
1481760900        0                 1056              0                 33188611          33157083          0                 11                24562972476       45823841593       0                 2112             
1481760901        0                 1056              0                 33189172          33157652          0                 11                24563151927       46066197057       0                 2112             
1481760902        0                 1056              0                 33189615          33158095          0                 11                24563277271       46247709081       0                 2112             
1481760903        0                 1056              0                 33189727          33158205          0                 11                24563323791       46251945289       0                 2112             
1481760904        0                 1056              0                 33189854          33158330          0                 11                24563372159       46268766985       0                 2112             
1481760905        0                 1056              0                 33190612          33159077          0                 11                24563576687       46611820217       0                 2112             
1481760906        0                 1056              0                 33191280          33159744          0                 11                24563783280       46906623385       0                 2112             
1481760908        0                 1056              0                 33191919          33160383          0                 11                24563984484       47182547073       0                 2112             
1481760909        0                 1056              0                 33192565          33161028          0                 11                24564159796       47468957473       0                 2112             
1481760912        0                 1056              0                 33193905          33162371          0                 11                24564503844       48121460817       0                 2112             
1481760913        0                 1056              0                 33194529          33162996          0                 11                24564701151       48391089873       0                 2112             
1481760914        0                 1056              0                 33195092          33163561          0                 11                24564881528       48632395385       0                 2112             
1481760915        0                 1056              0                 33195606          33164067          0                 11                24565039047       48845377225       0                 2112             
1481760916        0                 1056              0                 33196088          33164548          0                 11                24565201016       49041577209       0                 2112             
1481760917        0                 1056              0                 33196711          33165171          0                 11                24565384622       49312254449       0                 2112             
1481760919        0                 1056              0                 33197265          33165723          0                 11                24565537126       49552508393       0                 2112             
1481760920        0                 1056              0                 33197862          33166318          0                 11                24565700174       49815839449       0                 2112             
1481760921        0                 1056              0                 33198488          33166943          0                 11                24565897495       50088614377       0                 2112             
1481760922        0                 1056              0                 33199139          33167598          0                 11                24566099581       50377123593       0                 2112             
1481760923        0                 1056              0                 33200769          33169229          0                 11                24566545386       50640654385       0                 2112             
1481760924        0                 1056              0                 33201410          33169868          0                 11                24566719586       50926014665       0                 2112             
1481760927        0                 1056              0                 33201955          33170422          0                 11                24566920443       51157880497       0                 2112             
1481760928        0                 1056              0                 33202299          33170760          0                 11                24567021731       51274358529       0                 2112             
1481760929        0                 1056              0                 33202671          33171136          0                 11                24567128363       51422302585       0                 2112             
1481760932        0                 1056              0                 33204255          33172711          0                 11                24567563406       52184953913       0                 2112             
1481760933        0                 1056              0                 33204777          33173232          0                 11                24567721329       52407375809       0                 2112             
1481760935        0                 1056              0                 33205307          33173760          0                 11                24567868497       52635042049       0                 2112             
1481760936        0                 1056              0                 33205800          33174260          0                 11                24568017476       52845925401       0                 2112             
1481760937        0                 1056              0                 33206197          33174658          0                 11                24568157940       53000165441       0                 2112             
1481760938        0                 1056              0                 33206389          33174848          0                 11                24568223628       53047409161       0                 2112             
1481760939        0                 1056              0                 33206519          33174976          0                 11                24568272676       53065280193       0                 2112             
1481760940        0                 1056              0                 33206931          33175378          0                 11                24568393252       53224764553       0                 2112             
1481760941        0                 1056              0                 33207409          33175858          0                 11                24568553138       53420964289       0                 2112             
1481760943        0                 1056              0                 33207965          33176410          0                 11                24568721125       53654927281       0                 2112             
1481760944        0                 1056              0                 33208640          33177084          0                 11                24568916464       53957071545       0                 2112             
1481760945        0                 1056              0                 33209178          33177620          0                 11                24569065168       54189982001       0                 2112             
1481760946        0                 1056              0                 33209733          33178174          0                 11                24569244379       54426042273       0                 2112             
1481760947        0                 1056              0                 33211360          33179803          0                 11                24569677961       54688524257       0                 2112             
1481760948        0                 1056              0                 33211820          33180266          0                 11                24569807769       54878429009       0                 2112             
1481760949        0                 1056              0                 33212377          33180818          0                 11                24569961841       55119731273       0                 2112             
1481760951        0                 1056              0                 33212898          33181335          0                 11                24570107305       55340055841       0                 2112             
1481760952        0                 1056              0                 33213450          33181895          0                 11                24570284183       55579262977       0                 2112             
1481760953        0                 1056              0                 33214031          33182471          0                 11                24570483864       55819522401       0                 2112             
1481760954        0                 1056              0                 33214687          33183125          0                 11                24570663194       56112225561       0                 2112             
1481760955        0                 1056              0                 33215317          33183754          0                 11                24570833946       56392340889       0                 2112             
1481760956        0                 1056              0                 33216030          33184463          0                 11                24571039338       56713366361       0                 2112             
1481760958        0                 1056              0                 33216606          33185044          0                 11                24571245944       56958869153       0                 2112             
