TIMESTAMP        work-RQ          work-RD          work-WR          
1.000000          123.000000        0.027828          0.009217         
2.000000          114.000000        0.023868          0.008218         
3.000000          135.000000        0.039756          0.012182         
4.000000          186.000000        0.099828          0.027309         
6.000000          197.000000        369.196900        0.024488         
7.000000          281.000000        507.698156        0.049025         
8.000000          269.000000        1275.265112       0.051827         
9.000000          233.000000        855.825324        0.049020         
10.000000         233.000000        868.408248        0.049029         
12.000000         116.500000        383.872470        0.024511         
13.000000         233.000000        692.247468        0.049019         
14.000000         233.000000        709.024708        0.049025         
15.000000         233.000000        679.664576        0.049026         
16.000000         233.000000        771.939280        0.049030         
17.000000         233.000000        750.967736        0.049023         
18.000000         233.000000        654.498744        0.049022         
20.000000         116.500000        344.026594        0.024511         
21.000000         233.000000        650.304440        0.049022         
22.000000         233.000000        579.001284        0.049025         
23.000000         233.000000        629.332932        0.049022         
24.000000         233.000000        763.550664        0.049025         
25.000000         233.000000        759.356348        0.049021         
26.000000         233.000000        675.470236        0.049012         
28.000000         116.500000        320.957914        0.024508         
29.000000         233.000000        654.498752        0.049020         
30.000000         233.000000        734.190516        0.049018         
31.000000         233.000000        641.915816        0.049014         
32.000000         233.000000        721.607620        0.049020         
33.000000         239.000000        671.275984        0.049023         
34.000000         243.000000        696.441812        0.049025         
36.000000         116.500000        331.443690        0.024511         
37.000000         233.000000        612.555708        0.049017         
38.000000         241.000000        662.887396        0.049027         
39.000000         233.000000        688.053196        0.049021         
40.000000         241.000000        683.858904        0.049025         
41.000000         233.000000        679.664576        0.049021         
42.000000         241.000000        671.275992        0.049026         
44.000000         116.500000        392.261106        0.024516         
45.000000         241.000000        717.413324        0.049025         
46.000000         233.000000        864.213964        0.049029         
47.000000         233.000000        725.801932        0.049022         
48.000000         243.000000        688.053208        0.049026         
49.000000         243.000000        776.133604        0.049033         
50.000000         233.000000        591.584180        0.049020         
52.000000         116.500000        327.249384        0.024514         
53.000000         241.000000        570.612700        0.049028         
54.000000         233.000000        654.498784        0.049033         
55.000000         241.000000        658.693064        0.049026         
56.000000         233.000000        688.053228        0.049036         
57.000000         241.000000        847.436768        0.049033         
58.000000         233.000000        763.550676        0.049030         
60.000000         120.500000        352.415222        0.024517         
61.000000         233.000000        620.944364        0.049032         
62.000000         233.000000        662.887392        0.049031         
63.000000         243.000000        688.053204        0.049028         
64.000000         241.000000        709.024712        0.049026         
65.000000         233.000000        729.996256        0.049032         
66.000000         233.000000        717.413348        0.049036         
68.000000         120.500000        304.180728        0.024518         
69.000000         243.000000        721.607668        0.049038         
70.000000         233.000000        654.498792        0.049033         
71.000000         233.000000        532.863964        0.049028         
72.000000         241.000000        528.669660        0.049031         
73.000000         233.000000        478.338024        0.049032         
75.000000         120.500000        220.294650        0.024519         
76.000000         233.000000        511.892460        0.049037         
77.000000         233.000000        654.498800        0.049035         
78.000000         243.000000        658.693104        0.049035         
79.000000         241.000000        692.247524        0.049030         
80.000000         233.000000        679.664624        0.049037         
81.000000         233.000000        662.887384        0.049028         
83.000000         120.500000        306.277874        0.024515         
84.000000         243.000000        646.110204        0.049038         
85.000000         233.000000        633.527280        0.049037         
86.000000         233.000000        671.275992        0.049027         
87.000000         233.000000        570.612720        0.049031         
88.000000         251.000000        654.498788        0.049033         
90.000000         116.500000        356.609530        0.024519         
91.000000         233.000000        629.332956        0.049032         
92.000000         233.000000        579.001284        0.049029         
93.000000         241.000000        616.750020        0.049025         
94.000000         241.000000        587.389904        0.049029         
95.000000         233.000000        650.304452        0.049030         
96.000000         233.000000        537.058256        0.049028         
98.000000         120.500000        323.055080        0.024514         
99.000000         243.000000        524.475356        0.049031         
100.000000        233.000000        574.806992        0.049030         
101.000000        233.000000        608.361424        0.049032         
102.000000        243.000000        612.555716        0.049027         
103.000000        241.000000        662.887352        0.049028         
105.000000        116.500000        344.026576        0.024512         
106.000000        233.000000        595.778488        0.049028         
107.000000        233.000000        637.721516        0.049028         
108.000000        249.000000        604.167096        0.049030         
109.000000        233.000000        633.527212        0.049030         
110.000000        233.000000        646.110136        0.049033         
111.000000        233.000000        692.247480        0.049035         
113.000000        124.500000        409.038292        0.024514         
114.000000        233.000000        608.361384        0.049030         
115.000000        233.000000        650.304412        0.049027         
116.000000        233.000000        683.858860        0.049032         
117.000000        243.000000        679.664580        0.049038         
119.000000        120.500000        335.637968        0.024515         
120.000000        233.000000        629.332908        0.049030         
121.000000        233.000000        658.693024        0.049030         
122.000000        233.000000        671.275924        0.049027         
123.000000        251.000000        654.498696        0.049029         
124.000000        233.000000        683.858824        0.049028         
126.000000        116.500000        348.220862        0.024513         
127.000000        233.000000        671.275924        0.049033         
128.000000        249.000000        629.332860        0.049024         
129.000000        233.000000        641.915784        0.049027         
130.000000        233.000000        637.721468        0.049026         
131.000000        233.000000        654.498684        0.049029         
132.000000        251.000000        625.138548        0.049026         
134.000000        116.500000        333.540802        0.024513         
135.000000        233.000000        612.555676        0.049037         
136.000000        233.000000        658.692988        0.049026         
137.000000        233.000000        633.527156        0.049027         
138.000000        249.000000        667.081628        0.049033         
139.000000        233.000000        620.944272        0.049032         
141.000000        116.500000        285.306312        0.024514         
142.000000        233.000000        641.915804        0.049035         
143.000000        249.000000        759.356316        0.049038         
144.000000        233.000000        570.612624        0.049032         
145.000000        233.000000        641.915792        0.049034         
146.000000        233.000000        662.887324        0.049036         
147.000000        251.000000        675.470212        0.049031         
149.000000        116.500000        339.832270        0.024519         
150.000000        233.000000        646.110084        0.049033         
151.000000        233.000000        616.749968        0.049031         
152.000000        241.000000        604.167068        0.049037         
153.000000        243.000000        688.053124        0.049031         
154.000000        233.000000        646.110072        0.049031         
155.000000        233.000000        692.247428        0.049036         
157.000000        120.500000        299.986370        0.024518         
158.000000        241.000000        620.944248        0.049031         
159.000000        233.000000        633.527148        0.049030         
160.000000        233.000000        641.915760        0.049032         
161.000000        233.000000        625.138544        0.049032         
162.000000        249.000000        650.304376        0.049032         
164.000000        116.500000        325.152188        0.024516         
165.000000        233.000000        612.555632        0.049033         
166.000000        233.000000        629.332836        0.049032         
167.000000        243.000000        583.195492        0.049032         
168.000000        243.000000        553.835352        0.049026         
169.000000        233.000000        469.949284        0.049030         
171.000000        116.500000        327.249318        0.024513         
172.000000        241.000000        629.332816        0.049030         
173.000000        241.000000        625.138548        0.049036         
174.000000        233.000000        717.413200        0.049035         
175.000000        233.000000        599.972712        0.049034         
176.000000        241.000000        658.479140        0.049038         
178.000000        120.500000        318.860708        0.024514         
179.000000        233.000000        658.692948        0.049033         
180.000000        233.000000        633.527124        0.049038         
181.000000        241.000000        725.801784        0.049028         
182.000000        243.000000        906.156876        0.049035         
183.000000        243.000000        1090.706248       0.049040         
185.000000        116.500000        406.941080        0.024521         
186.000000        241.000000        327.342920        0.049035         
187.000000        233.000000        344.120124        0.049033         
188.000000        249.000000        381.868872        0.049036         
189.000000        241.000000        344.120128        0.049035         
190.000000        233.000000        381.868864        0.049035         
192.000000        120.500000        316.763552        0.024519         
193.000000        201.000000        608.287920        3.553355         
194.000000        196.000000        587.302320        0.027210         
195.000000        172.000000        616.666404        0.028167         
196.000000        184.000000        495.028186        0.027177         
