#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1481670759        0.105038          0.105038          0.003010          0.003010          0.000000          27.634200         0.003010         
1481670760        0.105038          0.105038          0.003048          0.003048          0.000000          27.634000         0.003048         
1481670761        0.105038          0.105038          0.003048          0.003048          0.000000          27.634200         0.003048         
1481670762        0.352352          0.352352          0.009579          0.009579          0.000000          27.628100         0.009579         
1481670763        2.073690          2.072010          0.152027          0.152027          0.000000          27.551400         0.152027         
1481670765        5.035050          4.991830          0.659214          0.605759          0.000000          26.952000         0.605759         
1481670766        5.277180          5.276920          0.886730          0.886730          0.000000          26.094700         0.886730         
1481670767        5.277180          5.276920          0.886730          0.886730          0.000000          25.745000         0.886730         
1481670768        5.277180          5.276920          0.886730          0.861393          0.000000          25.340300         0.886730         
1481670769        5.277180          5.276920          0.886730          0.861511          0.000000          24.993600         0.886730         
1481670771        5.277180          5.276920          0.886730          0.861519          0.000000          24.637300         0.886730         
1481670772        5.277180          5.276920          0.886730          0.861851          0.000000          24.109600         0.886730         
1481670773        5.277180          5.276920          0.886730          0.861961          0.000000          23.749100         0.886730         
1481670774        5.277180          5.276920          0.886730          0.861969          0.000000          23.386600         0.886730         
1481670775        5.277180          5.276920          0.886730          0.861969          0.000000          22.996900         0.886730         
1481670776        5.277180          5.276920          0.886730          0.861969          0.000000          22.644000         0.886730         
1481670777        5.277180          5.276920          0.886730          0.861179          0.000000          22.268200         0.886730         
1481670779        5.277180          5.276920          0.886730          0.861195          0.000000          21.905000         0.886730         
1481670780        5.277180          5.276920          0.886730          0.861195          0.000000          21.532100         0.886730         
1481670781        5.277180          5.276920          0.886730          0.861305          0.000000          21.313600         0.886730         
1481670782        5.277180          5.276930          0.886734          0.861309          0.000000          21.062900         0.886730         
1481670783        5.277180          5.276930          0.886734          0.861641          0.000000          20.724200         0.886730         
1481670784        5.277180          5.276930          0.886734          0.861752          0.000000          20.340000         0.886730         
1481670785        5.277180          5.276930          0.886734          0.861759          0.000000          19.969700         0.886730         
1481670787        5.277180          5.276930          0.886734          0.860844          0.000000          19.629100         0.886730         
1481670788        5.277180          5.276930          0.886738          0.861076          0.000000          19.357900         0.886730         
1481670789        5.277180          5.276930          0.886738          0.861187          0.000000          19.069700         0.886730         
1481670790        5.277180          5.276930          0.886738          0.861416          0.000000          18.730000         0.886730         
1481670792        5.277180          5.276930          0.886738          0.861298          0.000000          18.108800         0.886730         
1481670793        5.277180          5.276930          0.886738          0.861408          0.000000          17.741800         0.886730         
1481670794        5.277190          5.276940          0.886742          0.861523          0.000000          17.384900         0.886730         
1481670795        5.277190          5.276940          0.886742          0.861523          0.000000          17.031700         0.886730         
1481670797        5.277190          5.276940          0.886742          0.861530          0.000000          16.672800         0.886730         
1481670798        5.277190          5.276940          0.886742          0.861294          0.000000          16.301100         0.886730         
1481670799        5.277190          5.276940          0.886742          0.861473          0.000000          15.955900         0.886730         
1481670800        5.277190          5.276940          0.886745          0.861748          0.000000          15.594000         0.886730         
1481670801        5.277190          5.276940          0.886745          0.861748          0.000000          15.225600         0.886730         
1481670802        5.277190          5.276940          0.886745          0.861977          0.000000          14.884900         0.886730         
1481670803        5.277190          5.276940          0.886745          0.861984          0.000000          14.518100         0.886730         
1481670805        5.277190          5.276940          0.886745          0.862000          0.000000          14.137800         0.886730         
1481670806        5.277190          5.276940          0.886749          0.862003          0.000000          13.788200         0.886730         
1481670807        5.277190          5.276940          0.886749          0.862122          0.000000          13.446900         0.886730         
1481670808        5.277190          5.276940          0.886749          0.861206          0.000000          13.089400         0.886730         
1481670809        5.277190          5.276940          0.886749          0.861538          0.000000          12.715400         0.886730         
1481670810        5.277190          5.276940          0.886749          0.861538          0.000000          12.349200         0.886730         
1481670811        5.277200          5.276950          0.886753          0.861660          0.000000          11.998100         0.886730         
1481670813        5.277200          5.276950          0.886753          0.861771          0.000000          11.631900         0.886730         
1481670814        5.277200          5.276950          0.886753          0.861771          0.000000          11.280600         0.886730         
1481670815        5.277200          5.276950          0.886753          0.861771          0.000000          10.989900         0.886730         
1481670816        5.277200          5.276950          0.886757          0.861774          0.000000          10.615900         0.886730         
1481670817        5.277200          5.276950          0.886757          0.861774          0.000000          10.354700         0.886730         
1481670818        5.277200          5.276950          0.886757          0.861309          0.000000          10.013500         0.886730         
1481670819        5.277200          5.276950          0.886757          0.861656          0.000000          9.634000          0.886730         
1481670821        5.277200          5.276950          0.886757          0.861664          0.000000          9.223880          0.886730         
1481670822        5.277210          5.276950          0.886761          0.861675          0.000000          8.817870          0.886730         
1481670823        5.277210          5.276950          0.886761          0.861675          0.000000          8.450710          0.886730         
1481670824        5.277210          5.276950          0.886761          0.861675          0.000000          8.080510          0.886730         
1481670825        5.277210          5.276950          0.886761          0.862118          0.000000          7.719700          0.886730         
1481670826        5.277210          5.276950          0.886761          0.862125          0.000000          7.401260          0.886730         
1481670827        5.277210          5.276960          0.886765          0.860996          0.000000          7.154910          0.886730         
1481670829        5.277210          5.276960          0.886765          0.861427          0.000000          6.902820          0.886730         
1481670830        5.277210          5.276960          0.886765          0.861435          0.000000          6.689290          0.886730         
1481670831        5.277210          5.276960          0.886765          0.861553          0.000000          6.333400          0.886730         
1481670832        5.277210          5.276960          0.886765          0.861664          0.000000          5.992450          0.886730         
1481670833        5.277210          5.276960          0.886768          0.861778          0.000000          5.625720          0.886730         
1481670834        5.277210          5.276960          0.886768          0.861778          0.000000          5.279420          0.886730         
1481670835        5.277210          5.276960          0.886768          0.861794          0.000000          4.948810          0.886730         
1481670837        5.277210          5.276960          0.886768          0.861794          0.000000          4.632150          0.886730         
1481670838        5.277210          5.276960          0.886768          0.861210          0.000000          4.325710          0.886730         
1481670839        5.277220          5.276970          0.886772          0.861450          0.000000          4.029780          0.886730         
1481670840        5.277220          5.276970          0.886772          0.861568          0.000000          3.752630          0.886730         
1481670841        5.277220          5.276970          0.886772          0.861568          0.000000          3.660300          0.886730         
1481670843        5.277220          5.276970          0.886772          0.861687          0.000000          3.501160          0.886730         
1481670844        5.277220          5.276970          0.886772          0.861694          0.000000          3.338180          0.886730         
1481670845        5.277220          5.276970          0.886776          0.861698          0.000000          3.185840          0.886730         
1481670846        5.277220          5.276970          0.886776          0.861698          0.000000          2.958010          0.886730         
1481670847        5.277220          5.276970          0.886776          0.861809          0.000000          2.747410          0.886730         
1481670848        5.277220          5.276970          0.886776          0.861446          0.000000          2.490730          0.886730         
1481670849        5.277220          5.276970          0.886776          0.861446          0.000000          2.184560          0.886730         
1481670851        5.277230          5.276970          0.886780          0.861568          0.000000          1.834570          0.886730         
1481670852        5.277230          5.276970          0.886780          0.861568          0.000000          1.623430          0.886730         
1481670853        5.277230          5.276970          0.886780          0.861790          0.000000          1.624590          0.886730         
1481670854        5.277230          5.276970          0.886780          0.861900          0.000000          1.622920          0.886730         
1481670855        5.277230          5.276970          0.886780          0.861900          0.000000          1.621430          0.886730         
1481670856        5.277230          5.276980          0.886784          0.862015          0.000000          1.623620          0.886730         
1481670858        5.277230          5.276980          0.886784          0.861481          0.000000          1.623130          0.886730         
1481670859        5.277230          5.276980          0.886784          0.861710          0.000000          1.620520          0.886730         
1481670860        5.277230          5.276980          0.886784          0.861938          0.000000          1.621960          0.886730         
1481670861        5.277230          5.276980          0.886784          0.861938          0.000000          1.622370          0.886730         
1481670863        5.277230          5.276980          0.886787          0.862171          0.000000          1.621620          0.886730         
1481670864        5.277230          5.276980          0.886787          0.862171          0.000000          1.621360          0.886730         
1481670866        5.277230          5.276980          0.886787          0.862179          0.000000          1.621540          0.886730         
1481670867        5.277230          5.276980          0.886787          0.862194          0.000000          1.620780          0.886730         
1481670868        5.277230          5.276980          0.886787          0.861595          0.000000          1.621760          0.886730         
1481670869        5.277240          5.276990          0.886791          0.861820          0.000000          1.619970          0.886730         
1481670870        5.277240          5.276990          0.886791          0.861938          0.000000          1.621440          0.886730         
1481670871        5.277240          5.276990          0.886791          0.861938          0.000000          1.621160          0.886730         
1481670872        5.277240          5.276990          0.886791          0.861938          0.000000          1.620320          0.886730         
1481670874        5.277240          5.276990          0.886791          0.862175          0.000000          1.621130          0.886730         
1481670875        5.277240          5.276990          0.886795          0.862179          0.000000          1.621190          0.886730         
1481670876        5.277240          5.276990          0.886795          0.862186          0.000000          1.621600          0.886730         
1481670877        5.277240          5.276990          0.886795          0.862312          0.000000          1.620570          0.886730         
1481670878        5.277240          5.276990          0.886795          0.861603          0.000000          1.619730          0.886730         
1481670879        5.277240          5.276990          0.886795          0.862061          0.000000          1.619770          0.886730         
1481670881        5.277240          5.276990          0.886799          0.862064          0.000000          1.619840          0.886730         
1481670882        5.277240          5.276990          0.886799          0.862183          0.000000          1.619420          0.886730         
1481670883        5.277240          5.276990          0.886799          0.862198          0.000000          1.621410          0.886730         
1481670884        5.277240          5.276990          0.886799          0.862316          0.000000          1.621850          0.886730         
1481670885        5.277240          5.276990          0.886799          0.862316          0.000000          1.619100          0.886730         
1481670886        5.277250          5.277000          0.886803          0.862328          0.000000          1.620380          0.886730         
1481670887        5.277250          5.277000          0.886803          0.861389          0.000000          1.619690          0.886730         
1481670889        5.277250          5.277000          0.886803          0.861507          0.000000          1.619070          0.886730         
1481670890        5.277250          5.277000          0.886803          0.861736          0.000000          1.619390          0.886730         
1481670891        5.277250          5.277000          0.886806          0.861969          0.000000          1.619610          0.886730         
1481670892        5.277250          5.277000          0.886806          0.862198          0.000000          1.619060          0.886730         
1481670893        5.277250          5.277000          0.886806          0.862324          0.000000          1.617730          0.886730         
1481670894        5.277250          5.277000          0.886806          0.862434          0.000000          1.619880          0.886730         
1481670896        5.277250          5.277000          0.886806          0.862553          0.000000          1.619210          0.886730         
1481670897        5.277260          5.277000          0.886810          0.862556          0.000000          1.618360          0.886730         
1481670898        5.277260          5.277000          0.886810          0.861435          0.000000          1.618510          0.886730         
1481670899        5.277260          5.277000          0.886810          0.861908          0.000000          1.618160          0.886730         
1481670900        5.277260          5.277000          0.886810          0.862011          0.000000          1.619450          0.886730         
1481670901        5.277260          5.277000          0.886810          0.862026          0.000000          1.619070          0.886730         
1481670902        5.277260          5.277010          0.886814          0.862141          0.000000          1.617360          0.886730         
1481670904        5.277260          5.277010          0.886814          0.862141          0.000000          1.619970          0.886730         
1481670905        5.277260          5.277010          0.886814          0.862148          0.000000          1.617610          0.886730         
1481670906        5.277260          5.277010          0.886814          0.862156          0.000000          1.618710          0.886730         
1481670907        5.277260          5.277010          0.886814          0.862156          0.000000          1.619130          0.886730         
1481670908        5.277260          5.277010          0.886818          0.861633          0.000000          1.618650          0.886730         
1481670909        5.277260          5.277010          0.886818          0.861752          0.000000          1.618860          0.886730         
1481670910        5.277260          5.277010          0.886818          0.861973          0.000000          1.619060          0.886730         
1481670912        5.277260          5.277010          0.886818          0.861973          0.000000          1.617980          0.886730         
1481670913        5.277260          5.277010          0.886818          0.862194          0.000000          1.618570          0.886730         
1481670914        5.277270          5.277020          0.886822          0.862309          0.000000          1.619100          0.886730         
1481670915        5.277270          5.277020          0.886822          0.862316          0.000000          1.616970          0.886730         
1481670916        5.277270          5.277020          0.886822          0.862316          0.000000          1.617090          0.886730         
