time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1481672833        0                 754               0                 26800220          26863903          0                 7                 42143200425       7769208816        0                 1632             
1481672834        0                 754               0                 26800276          26863956          0                 7                 42143223777       7769230736        0                 1632             
1481672836        0                 754               0                 26800330          26864008          0                 7                 42143246553       7769251944        0                 1632             
1481672837        0                 754               0                 26800386          26864062          0                 7                 42143269713       7769273808        0                 1632             
1481672838        0                 754               0                 26800457          26864131          0                 7                 42143299984       7769299408        0                 1632             
1481672839        0                 754               0                 26800511          26864183          0                 7                 42143322760       7769320616        0                 1632             
1481672840        0                 754               0                 26800568          26864238          0                 7                 42143346208       7769342400        0                 1632             
1481672841        0                 754               0                 26800624          26864292          0                 7                 42143369368       7769364264        0                 1632             
1481672842        0                 754               0                 26800690          26864356          0                 7                 42143398159       7769388184        0                 1632             
1481672843        0                 754               0                 26800759          26864423          0                 7                 42143428049       7769413192        0                 1632             
1481672844        0                 754               0                 26800814          26864476          0                 7                 42143451017       7769434760        0                 1632             
1481672846        0                 754               0                 26800868          26864528          0                 7                 42143473793       7769455968        0                 1632             
1481672847        0                 754               0                 26800924          26864582          0                 7                 42143496953       7769477832        0                 1632             
1481672848        0                 754               0                 26800987          26864643          0                 7                 42143523933       7769501208        0                 1632             
1481672849        0                 754               0                 26801049          26864703          0                 7                 42143550721       7769524224        0                 1632             
1481672850        0                 754               0                 26801103          26864755          0                 7                 42143573497       7769545432        0                 1632             
1481672851        0                 754               0                 26801162          26864812          0                 7                 42143598471       7769567904        0                 1632             
1481672852        0                 754               0                 26801224          26864872          0                 7                 42143625259       7769590920        0                 1632             
1481672853        0                 754               0                 26801288          26864934          0                 7                 42143652951       7769614664        0                 1632             
1481672855        0                 754               0                 26801343          26864987          0                 7                 42143675919       7769636232        0                 1632             
1481672856        0                 754               0                 26801399          26865041          0                 7                 42143699079       7769658096        0                 1632             
1481672857        0                 754               0                 26801455          26865095          0                 7                 42143722239       7769679960        0                 1632             
1481672859        0                 754               0                 26801511          26865149          0                 7                 42143745399       7769701824        0                 1632             
