#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481672815 1432886 1740419 44690 174 1430276 1728008 47300 12586 15273.48 13000.16 1061.14 3384.20
1481672816 1432916 1740450 44690 174 1430306 1728038 47300 12586 15272.83 12999.38 1061.73 3383.89
1481672818 1432946 1740481 44690 174 1430336 1728070 47300 12586 15272.59 12998.95 1061.59 3384.71
1481672819 1432976 1740513 44690 174 1430366 1728101 47300 12586 15272.18 12999.03 1062.43 3385.33
1481672820 1433007 1740543 44690 174 1430397 1728131 47300 12586 15272.42 12999.14 1062.14 3385.23
1481672821 1433038 1740574 44690 174 1430428 1728162 47300 12586 15272.53 12999.12 1061.64 3384.90
1481672822 1433070 1740605 44690 174 1430460 1728193 47300 12586 15272.43 12999.73 1062.16 3384.64
1481672823 1433101 1740635 44690 174 1430491 1728224 47300 12586 15273.58 12999.23 1061.38 3384.73
1481672824 1433132 1740668 44690 174 1430522 1728256 47300 12586 15272.57 12999.48 1062.02 3384.52
1481672825 1433164 1740699 44690 174 1430554 1728287 47300 12586 15272.00 12999.25 1062.25 3384.36
1481672827 1433196 1740730 44690 174 1430585 1728318 47300 12586 15272.04 12998.81 1061.78 3384.80
1481672828 1433227 1740761 44690 174 1430617 1728349 47300 12586 15272.52 12999.00 1061.65 3385.39
1481672829 1433258 1740792 44690 174 1430647 1728380 47300 12586 15273.12 12998.46 1061.81 3385.14
1481672830 1433288 1740824 44690 174 1430678 1728412 47300 12586 15272.50 12998.86 1061.31 3384.77
1481672831 1433318 1740855 44690 174 1430708 1728443 47300 12586 15272.25 12999.19 1061.59 3385.17
1481672832 1433351 1740885 44690 174 1430741 1728473 47300 12586 15272.30 12998.57 1061.95 3385.00
1481672833 1433383 1740917 44690 174 1430773 1728505 47300 12586 15272.62 12998.70 1061.20 3385.66
1481672834 1433413 1740948 44690 174 1430803 1728536 47300 12586 15273.02 12998.95 1061.23 3385.05
1481672835 1433445 1740980 44690 174 1430835 1728568 47300 12586 15272.96 12999.08 1061.61 3385.29
1481672837 1433477 1741010 44690 174 1430867 1728598 47300 12586 15272.51 12998.45 1061.72 3385.49
1481672838 1433507 1741042 44690 174 1430897 1728630 47300 12586 15272.32 12999.60 1062.00 3384.38
1481672839 1433539 1741073 44690 174 1430929 1728662 47300 12586 15272.20 12999.57 1061.65 3384.45
1481672840 1433570 1741104 44690 174 1430960 1728692 47300 12586 15272.32 12998.92 1062.30 3384.36
1481672841 1433600 1741136 44690 174 1430990 1728724 47300 12586 15272.68 12998.35 1062.28 3385.23
1481672842 1433631 1741166 44690 174 1431021 1728755 47300 12586 15272.23 12999.20 1061.59 3384.82
1481672843 1433664 1741197 44690 174 1431054 1728785 47300 12586 15272.76 12998.29 1062.23 3385.32
1481672844 1433696 1741228 44690 174 1431086 1728816 47300 12586 15272.80 12998.80 1061.79 3385.21
1481672845 1433728 1741259 44690 174 1431118 1728847 47300 12586 15272.61 12998.69 1061.22 3385.34
1481672847 1433760 1741291 44690 174 1431150 1728880 47300 12586 15271.87 12998.67 1062.33 3385.30
1481672848 1433792 1741323 44690 174 1431182 1728911 47300 12586 15272.57 12998.25 1061.61 3385.75
1481672849 1433823 1741355 44690 174 1431213 1728944 47300 12586 15272.14 12998.12 1062.46 3385.50
1481672850 1433854 1741387 44690 174 1431244 1728975 47300 12586 15272.18 12998.49 1062.46 3385.53
1481672851 1433886 1741419 44690 174 1431276 1729007 47300 12586 15272.72 12998.24 1061.49 3384.98
1481672852 1433917 1741450 44690 174 1431307 1729038 47300 12586 15271.88 12998.39 1061.96 3385.26
1481672853 1433949 1741482 44690 174 1431338 1729070 47300 12586 15272.24 12998.29 1061.85 3385.84
1481672854 1433981 1741512 44690 174 1431371 1729100 47300 12586 15272.24 12998.64 1061.59 3385.34
1481672855 1434012 1741544 44690 174 1431402 1729132 47300 12586 15272.81 12998.76 1061.75 3385.25
