#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1481749036 71034732 71685250 39765 115 71031898 71672185 42599 13180 15260.24 13047.06 1073.97 3337.28
1481749037 71034762 71685281 39765 115 71031927 71672215 42599 13180 15260.03 13046.53 1074.29 3337.08
1481749038 71034792 71685313 39765 115 71031958 71672247 42599 13180 15260.19 13045.95 1074.02 3337.66
1481749040 71034822 71685344 39765 115 71031988 71672279 42599 13180 15259.79 13046.15 1074.03 3337.41
1481749041 71034851 71685377 39765 115 71032017 71672312 42599 13180 15260.22 13046.27 1074.39 3338.14
1481749042 71034882 71685409 39765 115 71032048 71672343 42599 13180 15260.32 13046.82 1074.29 3337.55
1481749043 71034913 71685440 39765 115 71032079 71672374 42599 13180 15260.50 13046.44 1074.47 3337.52
1481749044 71034944 71685473 39765 115 71032110 71672407 42599 13180 15260.74 13045.94 1073.50 3338.06
1481749045 71034973 71685505 39765 115 71032139 71672440 42599 13180 15260.04 13046.83 1073.77 3337.04
1481749046 71035003 71685538 39765 115 71032169 71672472 42599 13180 15260.87 13046.21 1074.11 3337.01
1481749047 71035035 71685569 39765 115 71032200 71672503 42599 13180 15261.14 13046.73 1073.44 3336.92
1481749048 71035065 71685601 39765 115 71032231 71672535 42599 13180 15260.57 13046.12 1073.68 3337.52
1481749050 71035112 71685644 39765 115 71032278 71672578 42599 13180 15255.10 13046.48 1078.73 3337.50
1481749051 71035167 71685681 39765 115 71032332 71672615 42599 13180 15233.30 13045.12 1101.75 3339.24
1481749052 71035202 71685730 39765 115 71032368 71672664 42599 13180 15232.58 13039.07 1101.67 3345.31
1481749053 71035241 71686069 39765 115 71032407 71673003 42599 13180 15231.84 12915.79 1102.00 3468.61
1481749054 71035284 71686692 39765 115 71032450 71673627 42599 13180 15230.45 12305.06 1103.59 4078.82
1481749055 71035334 71687001 39765 115 71032499 71673936 42599 13180 15229.95 12022.08 1104.30 4363.06
1481749056 71035363 71687210 39765 115 71032529 71674145 42599 13180 15231.09 11848.25 1103.16 4536.11
1481749057 71035397 71687466 39765 115 71032562 71674400 42599 13180 15230.68 11623.69 1104.32 4759.95
1481749059 71035434 71687776 39765 115 71032599 71674711 42599 13180 15230.09 11339.77 1103.77 5044.25
1481749060 71035469 71688054 39765 115 71032635 71674988 42599 13180 15230.50 11091.65 1103.74 5292.37
1481749061 71035500 71688335 39765 115 71032666 71675269 42599 13180 15230.86 10846.72 1103.33 5543.07
1481749062 71035534 71688638 39765 115 71032700 71675572 42599 13180 15229.76 10563.01 1104.52 5821.69
1481749063 71035568 71688828 39765 115 71032734 71675762 42599 13180 15231.17 10413.37 1103.82 5969.85
1481749064 71035601 71689084 39765 115 71032767 71676018 42599 13180 15231.19 10191.27 1103.41 6192.73
1481749065 71035632 71689286 39765 115 71032797 71676221 42599 13180 15230.98 10023.88 1103.65 6360.12
1481749066 71035664 71689514 39765 115 71032830 71676448 42599 13180 15230.70 9829.75 1103.53 6560.45
1481749068 71035695 71689783 39765 115 71032861 71676718 42599 13180 15230.58 9593.91 1103.66 6790.47
1481749069 71035728 71690043 39765 115 71032894 71676978 42599 13180 15230.58 9366.63 1104.41 7017.75
