time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1481824579        0                 602               0                 36080580          36467763          0                 37455             150083591025      41671093080       0                 8140728          
1481824580        0                 602               0                 36080637          36467817          0                 37455             150083614377      41671115080       0                 8140728          
1481824582        0                 602               0                 36080699          36467877          0                 37455             150083641163      41671138096       0                 8140728          
1481824583        0                 602               0                 36080757          36467933          0                 37455             150083664131      41671159904       0                 8140728          
1481824584        0                 602               0                 36080815          36467989          0                 37455             150083688195      41671182496       0                 8140728          
1481824585        0                 602               0                 36080894          36468066          0                 37455             150083721674      41671210496       0                 8140728          
1481824586        0                 602               0                 36080950          36468120          0                 37455             150083744834      41671232360       0                 8140728          
1481824587        0                 602               0                 36081005          36468173          0                 37455             150083767802      41671253928       0                 8140728          
1481824588        0                 602               0                 36081061          36468227          0                 37455             150083790578      41671275296       0                 8140728          
1481824589        0                 602               0                 36081128          36468292          0                 37455             150083819563      41671299576       0                 8140728          
1481824590        0                 602               0                 36081189          36468351          0                 37455             150083844537      41671322208       0                 8140728          
1481824592        0                 602               0                 36081243          36468403          0                 37455             150083867313      41671343416       0                 8140728          
1481824593        0                 602               0                 36081311          36468469          0                 37455             150083896491      41671367992       0                 8140728          
1481824594        0                 602               0                 36081368          36468524          0                 37455             150083920363      41671390224       0                 8140728          
1481824595        0                 602               0                 36081428          36468582          0                 37455             150083945331      41671413544       0                 8140728          
1481824596        0                 602               0                 36081485          36468637          0                 37455             150083968491      41671435488       0                 8140728          
1481824598        0                 602               0                 36081543          36468693          0                 37455             150083992555      41671458080       0                 8140728          
1481824599        0                 602               0                 36081617          36468764          0                 37455             150084025361      41671483616       0                 8140728          
1481824600        0                 602               0                 36081671          36468817          0                 37455             150084048137      41671505016       0                 8140728          
1481824601        0                 602               0                 36081726          36468870          0                 37455             150084071105      41671526584       0                 8140728          
1481824602        0                 602               0                 36081780          36468922          0                 37455             150084093881      41671547792       0                 8140728          
1481824603        0                 602               0                 36081883          36469023          0                 37455             150084140033      41671587432       0                 8140728          
1481824605        0                 602               0                 36082096          36469234          0                 37455             150084211169      41673821192       0                 8140728          
1481824606        0                 602               0                 36082169          36469305          0                 37455             150084241913      41673849872       0                 8140728          
1481824607        0                 602               0                 36082238          36469372          0                 37455             150084271249      41673877160       0                 8140728          
1481824608        0                 602               0                 36082533          36469663          0                 37455             150084366961      41677389646       0                 8140728          
