time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1484068878        0                 1070              0                 146585942         146892020         0                 101472            536749007908      1034819058954     0                 22109760         
1484068879        0                 1070              0                 146586006         146892081         0                 101472            536749033860      1034819083962     0                 22109760         
1484068880        0                 1070              0                 146586075         146892148         0                 101472            536749063054      1034819109290     0                 22109760         
1484068881        0                 1070              0                 146586134         146892205         0                 101472            536749088102      1034819132562     0                 22109760         
1484068882        0                 1070              0                 146586195         146892264         0                 101472            536749113014      1034819156418     0                 22109760         
1484068883        0                 1070              0                 146586254         146892321         0                 101472            536749137542      1034819179682     0                 22109760         
1484068884        0                 1070              0                 146586311         146892376         0                 101472            536749161686      1034819202226     0                 22109760         
1484068885        0                 1070              0                 146586400         146892463         0                 101472            536749198840      1034819232450     0                 22109760         
1484068887        0                 1070              0                 146586461         146892522         0                 101472            536749223752      1034819256306     0                 22109760         
1484068888        0                 1070              0                 146586521         146892580         0                 101472            536749248992      1034819279874     0                 22109760         
1484068889        0                 1070              0                 146586581         146892638         0                 101472            536749273712      1034819303434     0                 22109760         
1484068890        0                 1070              0                 146586667         146892722         0                 101472            536749309080      1034819332506     0                 22109760         
1484068891        0                 1070              0                 146586727         146892780         0                 101472            536749334320      1034819356138     0                 22109760         
1484068892        0                 1070              0                 146586854         146892905         0                 101472            536749388528      1034820463178     0                 22109760         
1484068893        0                 1070              0                 146587028         146893077         0                 101472            536749445184      1034821578722     0                 22109760         
1484068894        0                 1070              0                 146587102         146893149         0                 101472            536749476392      1034821608186     0                 22109760         
1484068895        0                 1070              0                 146587202         146893250         0                 101472            536749534921      1034821644250     0                 22109760         
1484068897        0                 1070              0                 146587961         146893993         0                 101472            536749758705      1034920669317     0                 22109760         
1484068898        0                 1070              0                 146588722         146894746         0                 101472            536749958657      1035276302317     0                 22109760         
1484068899        0                 1070              0                 146589592         146895605         0                 101472            536750186633      1035689627797     0                 22109760         
1484068900        0                 1070              0                 146590312         146896328         0                 101472            536750398674      1036015894205     0                 22109760         
1484068901        0                 1070              0                 146591012         146897027         0                 101472            536750583066      1036343205109     0                 22109760         
1484068902        1                 1070              0                 146591742         146897749         0                 101472            536750775906      1036685200029     0                 22109760         
1484068903        0                 1070              0                 146592560         146898573         0                 101472            536750986698      1037079644405     0                 22109760         
1484068904        0                 1070              0                 146593163         146899166         0                 101472            536751148794      1037353455965     0                 22109760         
1484068906        0                 1070              0                 146593717         146899752         0                 101472            536751321462      1037608392837     0                 22109760         
1484068907        0                 1070              0                 146594260         146900278         0                 101472            536751470574      1037846539573     0                 22109760         
1484068908        0                 1070              0                 146594778         146900804         0                 101472            536751632411      1038073154117     0                 22109760         
1484068909        0                 1070              0                 146595288         146901302         0                 101472            536751772739      1038296615301     0                 22109760         
1484068910        0                 1070              0                 146595837         146901845         0                 101472            536751946584      1038532668965     0                 22109760         
1484068911        0                 1070              0                 146596298         146902319         0                 101472            536752069448      1038742494477     0                 22109760         
1484068912        0                 1070              0                 146596726         146902747         0                 101472            536752186872      1038928193237     0                 22109760         
1484068913        0                 1070              0                 146597062         146903092         0                 101472            536752293562      1039063544253     0                 22109760         
1484068914        0                 1070              0                 146598222         146904248         0                 101472            536752570434      1039112016909     0                 22109760         
1484068916        0                 1070              0                 146598415         146904444         0                 101472            536752661781      1039163451829     0                 22109760         
1484068917        0                 1070              0                 146598637         146904652         0                 101472            536752732029      1039234811597     0                 22109760         
1484068918        0                 1070              0                 146598857         146904878         0                 101472            536752798733      1039310370013     0                 22109760         
1484068919        0                 1070              0                 146599129         146905154         0                 101472            536752876789      1039417394965     0                 22109760         
1484068920        0                 1070              0                 146599317         146905342         0                 101472            536752961369      1039465682829     0                 22109760         
1484068921        0                 1070              0                 146599513         146905535         0                 101472            536753023305      1039526554765     0                 22109760         
1484068922        0                 1070              0                 146600080         146906085         0                 101472            536753180657      1039772047021     0                 22109760         
1484068923        0                 1070              0                 146601020         146907036         0                 101472            536753420049      1040233625565     0                 22109760         
1484068925        0                 1070              0                 146602431         146908442         0                 101472            536753778321      1040934370277     0                 22109760         
1484068926        0                 1070              0                 146603579         146909599         0                 101472            536754101496      1041488265669     0                 22109760         
1484068927        0                 1070              0                 146604392         146910415         0                 101472            536754311800      1041878514205     0                 22109760         
1484068928        0                 1070              0                 146604495         146910518         0                 101472            536754350952      1041889040237     0                 22109760         
1484068929        0                 1070              0                 146604567         146910588         0                 101472            536754381776      1041889068981     0                 22109760         
1484068930        0                 1070              0                 146604661         146910684         0                 101472            536754442908      1041889103949     0                 22109760         
1484068931        0                 1070              0                 146604740         146910761         0                 101472            536754476052      1041889135277     0                 22109760         
1484068932        0                 1070              0                 146604820         146910839         0                 101472            536754509340      1041889174461     0                 22109760         
1484068933        0                 1070              0                 146604924         146910941         0                 101472            536754546852      1041889273325     0                 22109760         
1484068935        0                 1070              0                 146605006         146911024         0                 101472            536754596733      1041889302749     0                 22109760         
1484068936        0                 1070              0                 146605067         146911083         0                 101472            536754621645      1041889326605     0                 22109760         
1484068937        0                 1070              0                 146605128         146911142         0                 101472            536754646557      1041889350461     0                 22109760         
1484068938        0                 1070              0                 146605197         146911209         0                 101472            536754674829      1041889376333     0                 22109760         
1484068939        0                 1070              0                 146606257         146912267         0                 101472            536754923581      1041889591725     0                 22109760         
1484068940        0                 1070              0                 146606351         146912359         0                 101472            536754961923      1041889623429     0                 22109760         
