TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1484068888 32072488 54592975718050 6227233599377
1484068889 32073290 54592975805762 6227233639457
1484068891 32074096 54592975893498 6227233679546
1484068892 32074921 54592975993078 6227233722581
1484068893 32075749 54592976108578 6227233769567
1484068894 32076600 54592976236054 6227233819576
1484068895 32077465 54592976383422 6227233874564
1484068896 32078393 54593328131268 6227233932498
1484068897 32079295 54593599652018 6227233992429
1484068898 32080259 54594086921642 6227234057318
1484068900 32081245 54594812002232 6227234125172
1484068901 32082234 54595688093622 6227234196978
1484068902 32083172 54596502015378 6227234271785
1484068903 32084200 54597940175300 6227234351535
1484068904 32085220 54599420290078 6227234434231
1484068905 32086206 54600937626220 6227234520900
1484068906 32087242 54602788143792 6227234610550
1484068907 32088316 54605040058166 6227234705148
1484068909 32089318 54607401032272 6227234801702
1484068910 32090338 54609807612430 6227234901240
1484068911 32091424 54612648041230 6227235004841
1484068912 32092516 54615730471360 6227235110298
1484068913 32093582 54618871283410 6227235221736
1484068914 32094687 54622323931262 6227235333250
1484068915 32095885 54625989484716 6227235467506
1484068916 32097011 54630108022966 6227235601705
1484068918 32098159 54636387360778 6227235735935
1484068919 32099325 54640426207332 6227235870165
1484068920 32100486 54645106782378 6227236007156
1484068921 32101601 54649779701750 6227236141373
1484068922 32102720 54654339374914 6227236275597
1484068923 32103871 54660975228494 6227236409804
1484068924 32104978 54666247933346 6227236544025
1484068925 32106077 54671390614778 6227236678250
1484068926 32107212 54676021591086 6227236812469
1484068928 32108345 54679419441994 6227236946700
1484068929 32109468 54682603383430 6227237080952
1484068930 32110565 54685438983754 6227237215187
1484068931 32111696 54688073471306 6227237349433
1484068932 32112820 54690372414518 6227237483679
1484068933 32113931 54692490963050 6227237608019
1484068934 32114998 54694835984106 6227237727405
1484068935 32116065 54697264891254 6227237846790
1484068936 32117143 54699685389938 6227237961202
1484068938 32118195 54701552220634 6227238070668
1484068939 32119245 54703049952578 6227238180137
1484068940 32120245 54704300184022 6227238280473
1484068941 31334212 39417040244526 5856807907246
