#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1484068870 111188145 107971094 164542 4 111181105 107958141 171582 12956 15193.45 12974.71 1141.16 3408.91
1484068871 111188174 107971126 164542 4 111181133 107958174 171582 12956 15192.33 12974.62 1141.55 3409.77
1484068872 111188203 107971161 164542 4 111181162 107958208 171582 12956 15191.86 12973.24 1141.96 3410.32
1484068873 111188232 107971194 164542 4 111181192 107958241 171582 12956 15192.42 12973.91 1142.24 3410.09
1484068874 111188261 107971227 164542 4 111181221 107958274 171582 12956 15192.27 12973.27 1141.93 3411.10
1484068875 111188292 107971260 164542 4 111181252 107958307 171582 12956 15192.38 12973.64 1142.23 3410.34
1484068876 111188323 107971293 164542 4 111181283 107958340 171582 12956 15192.12 12973.55 1142.13 3410.06
1484068878 111188354 107971326 164542 4 111181313 107958373 171582 12956 15191.94 12973.42 1141.88 3410.59
1484068879 111188383 107971360 164542 4 111181343 107958407 171582 12956 15191.86 12973.41 1142.38 3410.58
1484068880 111188414 107971393 164542 4 111181373 107958440 171582 12956 15191.54 12973.16 1142.28 3410.50
1484068881 111188447 107971423 164542 4 111181406 107958470 171582 12956 15192.14 12973.38 1142.11 3410.19
1484068882 111188478 107971455 164542 4 111181437 107958503 171582 12956 15192.62 12973.28 1141.99 3409.96
1484068883 111188509 107971487 164542 4 111181469 107958534 171582 12956 15192.28 12973.78 1141.97 3410.21
1484068884 111188539 107971521 164542 4 111181498 107958568 171582 12956 15192.38 12973.63 1142.22 3409.96
1484068885 111188571 107971552 164542 4 111181530 107958599 171582 12956 15192.52 12973.67 1141.77 3410.73
1484068886 111188602 107971585 164542 4 111181561 107958632 171582 12956 15192.13 12974.80 1142.52 3409.20
1484068888 111188632 107971617 164542 4 111181591 107958664 171582 12956 15192.30 12973.66 1141.88 3410.36
1484068889 111188663 107971649 164542 4 111181623 107958696 171582 12956 15191.82 12973.29 1142.01 3410.31
1484068890 111188695 107971681 164542 4 111181655 107958729 171582 12956 15192.35 12973.91 1141.90 3410.46
1484068891 111188726 107971714 164542 4 111181686 107958761 171582 12956 15191.57 12973.29 1142.25 3410.30
1484068892 111188783 107971757 164542 4 111181742 107958804 171582 12956 15180.59 12971.82 1153.26 3412.56
1484068893 111188831 107971815 164542 4 111181790 107958862 171582 12956 15165.41 12964.45 1168.33 3418.91
1484068894 111188863 107971849 164542 4 111181822 107958897 171582 12956 15165.48 12965.45 1169.14 3418.94
1484068895 111188897 107971889 164542 4 111181856 107958937 171582 12956 15164.99 12958.90 1169.20 3425.12
1484068896 111188929 107972285 164542 4 111181888 107959332 171582 12956 15164.96 12778.04 1169.68 3605.96
1484068898 111188968 107972658 164542 4 111181927 107959705 171582 12956 15164.26 12433.80 1170.75 3954.16
1484068899 111189000 107973018 164542 4 111181959 107960066 171582 12956 15164.04 12110.80 1170.97 4274.97
1484068900 111189043 107973417 164542 4 111182002 107960464 171582 12956 15162.07 11729.57 1172.57 4657.34
1484068901 111189079 107973814 164542 4 111182038 107960861 171582 12956 15163.22 11366.89 1172.12 5026.53
1484068902 111189111 107974206 164542 4 111182070 107961253 171582 12956 15162.81 11008.64 1171.75 5374.72
1484068903 111189143 107974603 164542 4 111182102 107961650 171582 12956 15162.75 10638.85 1172.27 5744.74
1484068904 111189179 107974994 164542 4 111182138 107962041 171582 12956 15162.70 10285.04 1171.52 6101.88
1484068905 111189209 107975383 164542 4 111182169 107962430 171582 12956 15163.40 9928.71 1171.59 6455.67
1484068907 111189244 107975780 164542 4 111182203 107962827 171582 12956 15162.77 9566.58 1171.48 6817.06
1484068908 111189278 107976179 164542 4 111182237 107963226 171582 12956 15162.50 9201.40 1172.10 7192.07
1484068909 111189309 107976574 164542 4 111182269 107963621 171582 12956 15162.97 8836.80 1172.02 7546.79
1484068910 111189343 107977001 164542 4 111182302 107964048 171582 12956 15162.32 8442.43 1171.90 7941.55
1484068911 111189376 107977398 164542 4 111182336 107964446 171582 12956 15162.74 8080.23 1173.02 8305.98
1484068912 111189409 107977847 164542 4 111182368 107964894 171582 12956 15162.83 7663.48 1172.13 8720.50
1484068913 111189443 107978167 164542 4 111182402 107965215 171582 12956 15162.84 7379.83 1171.75 9003.80
1484068914 111189473 107978371 164542 4 111182432 107965418 171582 12956 15163.17 7212.80 1171.44 9172.32
1484068916 111189510 107978841 164542 4 111182469 107965889 171582 12956 15162.64 6772.95 1171.96 9611.43
1484068917 111189544 107979265 164542 4 111182503 107966312 171582 12956 15162.89 6383.79 1171.72 9999.88
1484068918 111189577 107979687 164542 4 111182536 107966734 171582 12956 15162.49 5994.18 1171.79 10391.57
1484068919 111189615 107980079 164542 4 111182575 107967126 171582 12956 15162.58 5627.82 1172.77 10760.17
1484068920 111189651 107980518 164542 4 111182610 107967565 171582 12956 15162.41 5217.23 1172.20 11167.12
1484068921 111189689 107980957 164542 4 111182648 107968004 171582 12956 15161.96 4807.92 1172.29 11576.81
1484068922 111189731 107981234 164542 4 111182690 107968281 171582 12956 15161.34 4559.27 1173.62 11827.27
1484068923 111189781 107981456 164542 4 111182741 107968503 171582 12956 15161.09 4356.20 1172.81 12027.43
1484068924 111189836 107981468 164542 4 111182795 107968515 171582 12956 15161.49 4355.72 1173.14 12027.92
1484068926 111189892 107981479 164542 4 111182851 107968526 171582 12956 15161.08 4356.49 1173.18 12027.14
1484068927 111189947 107981491 164542 4 111182906 107968538 171582 12956 15162.23 4356.64 1172.75 12027.36
1484068928 111190002 107981503 164542 4 111182961 107968550 171582 12956 15161.43 4356.34 1173.57 12028.02
1484068929 111190057 107981513 164542 4 111183016 107968561 171582 12956 15161.95 4356.61 1172.31 12027.75
1484068930 111190112 107981526 164542 4 111183071 107968573 171582 12956 15161.66 4355.42 1172.59 12028.58
