#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1483741136        0.676739          0.676735          0.009529          0.009529          0.000000          27.496600         0.009529         
1483741137        0.680645          0.676735          0.015430          0.011906          0.000000          27.490300         0.011906         
1483741138        0.680645          0.676735          0.015430          0.011345          0.000000          27.489900         0.011906         
1483741139        0.680645          0.676735          0.015430          0.009563          0.000000          27.489300         0.011906         
1483741140        0.680645          0.568237          0.015430          0.013184          0.000000          27.482900         0.013184         
1483741141        0.680645          0.569309          0.015480          0.015270          0.000000          27.478700         0.015270         
1483741142        0.680645          0.643501          0.022118          0.021355          0.000000          27.468400         0.021355         
1483741143        0.739765          0.738781          0.022713          0.021942          0.000000          27.432000         0.021942         
1483741145        0.739765          0.519180          0.022713          0.008739          0.000000          27.414100         0.021942         
1483741146        1.383260          1.304780          0.061901          0.048523          0.000000          27.393800         0.048523         
1483741147        1.399990          1.321670          0.068073          0.054710          0.000000          27.387100         0.054710         
1483741148        1.508220          1.429900          0.156406          0.143044          0.000000          27.166700         0.143044         
1483741149        1.508220          1.429900          0.156406          0.143044          0.000000          26.778100         0.143044         
1483741150        1.508220          1.429900          0.156406          0.143044          0.000000          26.403300         0.143044         
1483741151        1.508220          1.429900          0.156406          0.139957          0.000000          26.015000         0.143044         
1483741153        1.508220          1.429900          0.156406          0.140003          0.000000          25.692000         0.143044         
1483741154        1.508220          1.429900          0.156406          0.140003          0.000000          25.296800         0.143044         
1483741155        1.508220          1.429900          0.156406          0.140003          0.000000          24.983200         0.143044         
1483741156        1.508220          1.429900          0.156406          0.140003          0.000000          24.636400         0.143044         
1483741157        1.508220          1.429900          0.156406          0.140011          0.000000          24.251700         0.143044         
1483741158        1.508220          1.429900          0.156406          0.140011          0.000000          23.884300         0.143044         
1483741159        1.508220          1.429900          0.156406          0.140015          0.000000          23.493800         0.143044         
1483741160        1.508220          1.429900          0.156406          0.140015          0.000000          23.090300         0.143044         
1483741162        1.508230          1.429910          0.156410          0.140007          0.000000          22.712900         0.143044         
1483741163        1.508230          1.429910          0.156410          0.140007          0.000000          22.271200         0.143044         
1483741164        1.508230          1.429910          0.156410          0.140007          0.000000          22.185100         0.143044         
1483741165        1.508230          1.429910          0.156410          0.140007          0.000000          21.949700         0.143044         
1483741166        1.508230          1.429910          0.156410          0.140007          0.000000          21.591500         0.143044         
1483741167        1.508230          1.429910          0.156410          0.140007          0.000000          21.379400         0.143044         
1483741168        1.508230          1.429910          0.156414          0.140018          0.000000          21.148800         0.143044         
1483741170        1.508230          1.429910          0.156414          0.140018          0.000000          21.023000         0.143044         
1483741171        1.508230          1.429910          0.156414          0.140018          0.000000          20.776900         0.143044         
1483741172        1.508230          1.429910          0.156414          0.140011          0.000000          20.492200         0.143044         
1483741173        1.508230          1.429910          0.156414          0.140011          0.000000          20.385800         0.143044         
1483741174        1.508230          1.429910          0.156414          0.140011          0.000000          20.120800         0.143044         
1483741175        1.508240          1.429920          0.156418          0.140015          0.000000          19.873200         0.143044         
1483741176        1.508240          1.429920          0.156418          0.140015          0.000000          19.739000         0.143044         
1483741178        1.508240          1.429920          0.156418          0.140015          0.000000          19.572100         0.143044         
1483741179        1.508240          1.429920          0.156418          0.140015          0.000000          19.399000         0.143044         
1483741180        1.508240          1.429920          0.156418          0.140015          0.000000          19.195300         0.143044         
1483741181        1.508240          1.429920          0.156418          0.140026          0.000000          18.983900         0.143044         
1483741182        1.508240          1.429920          0.156418          0.140022          0.000000          18.694900         0.143044         
1483741183        1.508240          1.429920          0.156422          0.140026          0.000000          18.495000         0.143044         
1483741184        1.508240          1.429920          0.156422          0.140026          0.000000          18.312500         0.143044         
1483741185        1.508240          1.429920          0.156422          0.140026          0.000000          17.972800         0.143044         
1483741187        1.508240          1.429920          0.156422          0.140026          0.000000          17.612400         0.143044         
1483741188        1.508240          1.429920          0.156422          0.140026          0.000000          17.271100         0.143044         
1483741189        1.508240          1.429920          0.156422          0.140026          0.000000          16.879200         0.143044         
1483741190        1.508240          1.429920          0.156425          0.140030          0.000000          16.502900         0.143044         
1483741191        1.508240          1.429920          0.156425          0.140030          0.000000          16.115600         0.143044         
1483741192        1.508240          1.429920          0.156425          0.140034          0.000000          15.751100         0.143044         
1483741193        1.508240          1.429920          0.156425          0.140041          0.000000          15.325000         0.143044         
1483741195        1.508240          1.429920          0.156425          0.140041          0.000000          14.932600         0.143044         
1483741196        1.508240          1.429920          0.156425          0.140041          0.000000          14.902400         0.143044         
1483741197        1.508250          1.429930          0.156429          0.140045          0.000000          14.904100         0.143044         
1483741198        1.508250          1.429930          0.156429          0.140045          0.000000          14.904400         0.143044         
1483741199        1.508250          1.429930          0.156429          0.140045          0.000000          14.904300         0.143044         
1483741200        1.508250          1.429930          0.156429          0.140045          0.000000          14.904600         0.143044         
1483741202        1.508250          1.429930          0.156429          0.140026          0.000000          14.902600         0.143044         
1483741203        1.508250          1.429930          0.156429          0.140038          0.000000          14.903700         0.143044         
1483741204        1.508250          1.429930          0.156433          0.140049          0.000000          14.902400         0.143044         
1483741205        1.508250          1.429930          0.156433          0.140049          0.000000          14.903100         0.143044         
1483741206        1.508250          1.429930          0.156433          0.140049          0.000000          14.903200         0.143044         
1483741207        1.508250          1.429930          0.156433          0.140049          0.000000          14.902900         0.143044         
1483741208        1.508250          1.429930          0.156433          0.140049          0.000000          14.902700         0.143044         
1483741210        1.508250          1.429930          0.156433          0.140049          0.000000          14.903000         0.143044         
1483741211        1.508260          1.429940          0.156437          0.140053          0.000000          14.903000         0.143044         
1483741212        1.508260          1.429940          0.156437          0.140034          0.000000          14.903000         0.143044         
1483741213        1.508260          1.429940          0.156437          0.140034          0.000000          14.903800         0.143044         
1483741214        1.508260          1.429940          0.156437          0.140034          0.000000          14.903600         0.143044         
1483741215        1.508260          1.429940          0.156437          0.140053          0.000000          14.903700         0.143044         
1483741216        1.508260          1.429940          0.156437          0.140053          0.000000          14.901700         0.143044         
1483741218        1.508260          1.429940          0.156441          0.140057          0.000000          14.901900         0.143044         
1483741219        1.508260          1.429940          0.156441          0.140057          0.000000          14.902800         0.143044         
1483741220        1.508260          1.429940          0.156441          0.140057          0.000000          14.902500         0.143044         
1483741221        1.508260          1.429940          0.156441          0.140057          0.000000          14.903400         0.143044         
1483741222        1.508260          1.429940          0.156441          0.140038          0.000000          14.903000         0.143044         
1483741223        1.508260          1.429940          0.156441          0.140038          0.000000          14.902900         0.143044         
1483741224        1.508260          1.429940          0.156445          0.140041          0.000000          14.901100         0.143044         
1483741226        1.508260          1.429940          0.156445          0.140041          0.000000          14.902600         0.143044         
1483741227        1.508260          1.429940          0.156445          0.140060          0.000000          14.902300         0.143044         
1483741228        1.508260          1.429940          0.156445          0.140060          0.000000          14.902800         0.143044         
1483741229        1.508260          1.429940          0.156445          0.140060          0.000000          14.900900         0.143044         
1483741230        1.508260          1.429940          0.156445          0.140060          0.000000          14.902300         0.143044         
1483741231        1.508270          1.429950          0.156448          0.140045          0.000000          14.902400         0.143044         
1483741232        1.508270          1.429950          0.156448          0.140045          0.000000          14.902400         0.143044         
1483741234        1.508270          1.429950          0.156448          0.140045          0.000000          14.901900         0.143044         
1483741235        1.508270          1.429950          0.156448          0.140045          0.000000          14.902800         0.143044         
1483741236        1.508270          1.429950          0.156448          0.140045          0.000000          14.901200         0.143044         
1483741237        1.508270          1.429950          0.156448          0.140045          0.000000          14.902100         0.143044         
1483741238        1.508270          1.429950          0.156452          0.140049          0.000000          14.901700         0.143044         
1483741239        1.508270          1.429950          0.156452          0.140068          0.000000          14.901600         0.143044         
1483741241        1.508270          1.429950          0.156452          0.140068          0.000000          14.903100         0.143044         
1483741242        1.508270          1.429950          0.156452          0.140049          0.000000          14.900800         0.143044         
1483741243        1.508270          1.429950          0.156452          0.140049          0.000000          14.902200         0.143044         
1483741244        1.508270          1.429950          0.156452          0.140049          0.000000          14.901500         0.143044         
1483741245        1.508270          1.429950          0.156456          0.140053          0.000000          14.901600         0.143044         
1483741246        1.508270          1.429950          0.156456          0.140060          0.000000          14.900300         0.143044         
1483741247        1.508270          1.429950          0.156456          0.140072          0.000000          14.901200         0.143044         
1483741249        1.508270          1.429950          0.156456          0.140072          0.000000          14.901500         0.143044         
1483741250        1.508270          1.429950          0.156456          0.140072          0.000000          14.901800         0.143044         
1483741251        1.508270          1.429950          0.156456          0.140072          0.000000          14.902200         0.143044         
1483741252        1.508270          1.429950          0.156456          0.140053          0.000000          14.901900         0.143044         
1483741253        1.508280          1.429960          0.156460          0.140194          0.000000          14.901700         0.143044         
1483741254        1.508280          1.429960          0.156460          0.140194          0.000000          14.901900         0.143044         
1483741255        1.508280          1.429960          0.156460          0.140194          0.000000          14.902800         0.143044         
1483741257        1.508280          1.429960          0.156460          0.140194          0.000000          14.901600         0.143044         
1483741258        1.508280          1.429960          0.156460          0.140194          0.000000          14.902700         0.143044         
1483741259        1.508280          0.578140          0.156460          0.016087          0.000000          15.003200         0.143044         
1483741260        1.508280          0.739178          0.156460          0.022018          0.000000          14.951000         0.143044         
1483741261        1.508280          0.511635          0.156460          0.007767          0.000000          14.962500         0.143044         
