#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1483661879 1445645 1678739 1 0 1436402 1666325 9243 12414 15330.48 12872.34 1004.13 3511.70
1483661881 1445691 1678773 1 0 1436449 1666359 9243 12414 15330.62 12871.69 1003.62 3511.52
1483661882 1445722 1678807 1 0 1436479 1666393 9243 12414 15330.38 12871.09 1003.08 3512.53
1483661883 1445770 1678841 1 0 1436527 1666427 9243 12414 15331.23 12871.37 1003.02 3512.66
1483661884 1445817 1678875 1 0 1436575 1666461 9243 12414 15336.84 12871.59 996.99 3512.41
1483661885 1445849 1678909 1 0 1436606 1666495 9243 12414 15336.96 12870.83 996.85 3513.19
1483661886 1445903 1678941 1 0 1436660 1666527 9243 12414 15331.16 12871.82 1003.44 3512.21
1483661887 1445952 1678975 1 0 1436709 1666561 9243 12414 15331.45 12870.72 1002.80 3513.98
1483661888 1445983 1679010 1 0 1436741 1666596 9243 12414 15331.00 12870.40 1002.82 3512.81
1483661889 1446031 1679042 1 0 1436789 1666628 9243 12414 15330.70 12871.11 1003.50 3512.51
1483661891 1446080 1679077 1 0 1436838 1666663 9243 12414 15331.05 12870.56 1003.20 3513.45
1483661892 1446112 1679111 1 0 1436870 1666697 9243 12414 15327.09 12869.93 1007.92 3513.67
1483661893 1446159 1679146 1 0 1436917 1666732 9243 12414 15330.61 12869.89 1003.62 3514.11
1483661894 1446210 1679178 1 0 1436968 1666764 9243 12414 15330.70 12870.46 1004.27 3513.57
1483661895 1446263 1679212 1 0 1437021 1666798 9243 12414 15329.32 12869.55 1005.65 3514.08
1483661896 1446298 1679247 1 0 1437056 1666833 9243 12414 15329.06 12869.14 1005.90 3514.87
1483661897 1446349 1679280 1 0 1437106 1666866 9243 12414 15329.19 12869.12 1005.40 3514.89
1483661898 1446401 1679313 1 0 1437158 1666899 9243 12414 15328.93 12868.98 1006.03 3514.63
1483661900 1446453 1679347 1 0 1437211 1666933 9243 12414 15328.86 12870.21 1005.77 3513.43
1483661901 1446493 1679375 1 0 1437251 1666961 9243 12414 15328.92 12869.52 1006.09 3514.48
1483661902 1446545 1679408 1 0 1437303 1666994 9243 12414 15329.52 12868.98 1005.45 3515.02
1483661903 1446586 1679450 1 0 1437343 1667036 9243 12414 15327.29 12861.55 1006.89 3522.47
1483661904 1446661 1679484 1 0 1437419 1667070 9243 12414 15313.02 12864.02 1021.60 3519.62
1483661905 1446710 1679565 1 0 1437467 1667151 9243 12414 15312.38 12832.27 1022.61 3552.51
1483661906 1447018 1679712 1 0 1437775 1667298 9243 12414 15314.09 12786.52 1020.53 3598.25
1483661907 1447074 1679765 1 0 1437831 1667351 9243 12414 15306.78 12779.79 1028.18 3604.23
1483661909 1447123 1679818 1 0 1437881 1667404 9243 12414 15304.84 12772.06 1030.13 3611.58
1483661910 1447165 1679856 1 0 1437922 1667442 9243 12414 15304.64 12772.25 1029.59 3611.79
1483661911 1447209 1679945 1 0 1437967 1667531 9243 12414 15304.42 12754.96 1029.78 3628.65
1483661912 1447252 1680233 1 0 1438010 1667819 9243 12414 15305.02 12647.52 1029.57 3736.48
1483661913 1447288 1680288 1 0 1438045 1667874 9243 12414 15304.18 12632.33 1030.41 3752.40
1483661914 1447329 1680331 1 0 1438087 1667917 9243 12414 15304.86 12618.47 1029.76 3765.91
1483661915 1447369 1680381 1 0 1438127 1667967 9243 12414 15304.90 12606.07 1029.35 3777.93
1483661916 1447408 1680426 1 0 1438165 1668012 9243 12414 15304.37 12596.14 1029.87 3787.50
1483661918 1447447 1680468 1 0 1438205 1668054 9243 12414 15304.98 12590.09 1030.04 3793.91
1483661919 1447486 1680530 1 0 1438244 1668116 9243 12414 15305.29 12564.18 1029.29 3820.93
1483661920 1447525 1680569 1 0 1438283 1668155 9243 12414 15304.70 12560.32 1029.54 3823.68
1483661921 1447565 1680623 1 0 1438323 1668208 9243 12414 15305.07 12541.92 1029.93 3842.09
1483661922 1447603 1680658 1 0 1438361 1668244 9243 12414 15305.45 12541.58 1029.52 3842.42
1483661923 1447647 1680713 1 0 1438405 1668299 9243 12414 15305.23 12515.49 1029.38 3868.54
1483661924 1447688 1680760 1 0 1438446 1668346 9243 12414 15305.20 12504.05 1029.40 3880.34
1483661926 1447727 1680853 1 0 1438484 1668439 9243 12414 15304.08 12446.50 1030.15 3937.13
1483661927 1447765 1680939 1 0 1438522 1668525 9243 12414 15304.81 12396.02 1029.41 3988.39
1483661928 1447804 1681009 1 0 1438562 1668595 9243 12414 15305.68 12359.60 1029.70 4027.31
1483661929 1447845 1681075 1 0 1438603 1668661 9243 12414 15305.32 12327.02 1029.64 4056.62
1483661930 1447884 1681139 1 0 1438642 1668725 9243 12414 15305.80 12298.03 1029.20 4088.16
1483661931 1447924 1681202 1 0 1438681 1668788 9243 12414 15304.88 12269.40 1029.36 4114.60
1483661932 1447963 1681268 1 0 1438720 1668854 9243 12414 15305.20 12239.64 1029.44 4144.77
1483661934 1448005 1681319 1 0 1438762 1668905 9243 12414 15304.99 12220.15 1029.27 4164.24
1483661935 1448044 1681369 1 0 1438802 1668955 9243 12414 15305.43 12203.11 1028.79 4180.50
1483661936 1448085 1681438 1 0 1438842 1669024 9243 12414 15305.99 12167.27 1028.97 4216.72
1483661937 1448120 1681510 1 0 1438877 1669096 9243 12414 15305.54 12133.33 1029.47 4250.23
1483661938 1448158 1681550 1 0 1438916 1669136 9243 12414 15305.78 12127.95 1029.21 4256.07
1483661939 1448194 1681616 1 0 1438952 1669202 9243 12414 15305.20 12096.91 1029.05 4287.12
1483661940 1448232 1681684 1 0 1438989 1669270 9243 12414 15305.79 12064.63 1028.45 4319.78
1483661942 1448270 1681727 1 0 1439028 1669313 9243 12414 15305.56 12054.80 1029.40 4328.86
1483661943 1448309 1681766 1 0 1439066 1669352 9243 12414 15305.30 12050.50 1028.62 4333.14
1483661944 1448345 1681824 1 0 1439102 1669410 9243 12414 15305.75 12027.70 1028.42 4355.92
1483661945 1448381 1681896 1 0 1439139 1669482 9243 12414 15305.96 11992.68 1028.97 4390.93
1483661946 1448420 1681959 1 0 1439177 1669545 9243 12414 15305.13 11961.92 1029.05 4422.09
1483661947 1448453 1682016 1 0 1439210 1669602 9243 12414 15305.78 11943.73 1028.84 4439.92
1483661948 1448489 1682075 1 0 1439246 1669661 9243 12414 15305.13 11921.44 1029.46 4462.16
1483661950 1448526 1682134 1 0 1439284 1669720 9243 12414 15305.80 11898.74 1028.84 4484.54
1483661951 1448561 1682199 1 0 1439318 1669785 9243 12414 15306.12 11871.95 1028.48 4511.65
1483661952 1448595 1682268 1 0 1439352 1669854 9243 12414 15306.11 11841.18 1028.91 4542.78
1483661953 1448630 1682334 1 0 1439388 1669920 9243 12414 15305.39 11809.74 1028.53 4573.49
1483661954 1448665 1682411 1 0 1439422 1669997 9243 12414 15305.79 11770.89 1028.52 4612.75
1483661955 1448700 1682482 1 0 1439457 1670068 9243 12414 15306.10 11737.86 1028.86 4646.49
1483661956 1448733 1682554 1 0 1439490 1670140 9243 12414 15306.10 11704.24 1028.52 4679.07
1483661958 1448767 1682617 1 0 1439524 1670203 9243 12414 15305.19 11680.75 1029.03 4702.89
1483661959 1448802 1682664 1 0 1439560 1670250 9243 12414 15306.12 11670.42 1028.12 4713.56
