time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1483662524        0                 5967              0                 146091004         167829059         0                 144062            22576021841791    350399345300      0                 31332888         
1483662525        0                 5967              0                 146091068         167829120         0                 144062            22576021867743    350399370308      0                 31332888         
1483662526        0                 5967              0                 146091135         167829185         0                 144062            22576021895276    350399395180      0                 31332888         
1483662527        0                 5967              0                 146091207         167829255         0                 144062            22576021925566    350399421532      0                 31332888         
1483662529        0                 5967              0                 146091265         167829311         0                 144062            22576021949902    350399444436      0                 31332888         
1483662530        0                 5967              0                 146091370         167829414         0                 144062            22576021996046    350399508124      0                 31332888         
1483662531        0                 5967              0                 146091560         167829602         0                 144062            22576022058614    350401664460      0                 31332888         
1483662532        0                 5967              0                 146091633         167829673         0                 144062            22576022089630    350401693564      0                 31332888         
1483662533        0                 5967              0                 146091736         167829774         0                 144062            22576022141051    350401730564      0                 31332888         
1483662534        0                 5967              0                 146092319         167830351         0                 144062            22576022316659    350425429818      0                 31332888         
1483662535        0                 5967              0                 146092461         167830488         0                 144062            22576022365243    350457986170      0                 31332888         
1483662536        0                 5967              0                 146092612         167830632         0                 144062            22576022416563    350496827026      0                 31332888         
1483662538        0                 5967              0                 146092807         167830822         0                 144062            22576022491047    350552454938      0                 31332888         
1483662539        0                 5967              0                 146092987         167831003         0                 144062            22576022566969    350600741114      0                 31332888         
1483662540        0                 5967              0                 146093189         167831203         0                 144062            22576022629305    350666856658      0                 31332888         
1483662541        0                 5967              0                 146093337         167831349         0                 144062            22576022678569    350705698234      0                 31332888         
1483662542        0                 5967              0                 146093519         167831533         0                 144062            22576022761294    350752936466      0                 31332888         
1483662543        0                 5967              0                 146093676         167831691         0                 144062            22576022812686    350794927130      0                 31332888         
1483662544        0                 5967              0                 146093822         167831841         0                 144062            22576022873122    350830623842      0                 31332888         
1483662545        0                 5967              0                 146093958         167831976         0                 144062            22576022919266    350864220178      0                 31332888         
1483662546        0                 5967              0                 146094113         167832125         0                 144062            22576022971162    350904111026      0                 31332888         
1483662548        0                 5967              0                 146094264         167832276         0                 144062            22576023020722    350946099170      0                 31332888         
1483662549        0                 5967              0                 146094432         167832447         0                 144062            22576023092900    350990188834      0                 31332888         
1483662550        0                 5967              0                 146094575         167832584         0                 144062            22576023149226    351019591930      0                 31332888         
1483662551        0                 5967              0                 146094713         167832725         0                 144062            22576023194778    351055286874      0                 31332888         
1483662552        0                 5967              0                 146095857         167833867         0                 144062            22576023466826    351085930882      0                 31332888         
1483662553        0                 5967              0                 146096023         167834027         0                 144062            22576023522258    351128970594      0                 31332888         
1483662554        0                 5967              0                 146096189         167834198         0                 144062            22576023604557    351160477018      0                 31332888         
1483662555        0                 5967              0                 146096339         167834349         0                 144062            22576023653525    351201416842      0                 31332888         
