CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,cpptraj_tr1,5.42527794838,5.43417787552,5.43798995018,45.9955198765,47.3429789543
unit.000001,cpptraj_tr2,5.45720696449,5.46127891541,5.5095038414,45.6933028698,47.0458350182
unit.000002,cpptraj_tr3,5.46538186073,5.46931099892,5.53004598618,46.1989409924,47.5907838345
unit.000003,cpptraj_tr4,5.44104886055,5.44534683228,5.46914100647,45.6898169518,46.9959189892
unit.000004,cpptraj_tr5,5.46127104759,5.46534895897,5.51996898651,46.1005120277,47.5415229797
unit.000005,cpptraj_tr6,5.48550701141,5.4893758297,5.58106803894,46.0009748936,47.4424548149
unit.000006,cpptraj_tr7,5.43170595169,5.43663787842,5.44938898087,45.8934438229,47.1942439079
unit.000007,cpptraj_tr8,5.44934296608,5.45335793495,5.489787817,45.7917258739,47.095031023
unit.000008,cpptraj_tr9,5.48937892914,5.49325203896,5.59096598625,45.7950298786,47.144464016
unit.000009,cpptraj_tr10,5.46928787231,5.47341585159,5.54100894928,45.8995380402,47.2930419445
unit.000010,cpptraj_tr11,5.43666791916,5.44104385376,5.45932197571,46.0976519585,47.4916889668
unit.000011,cpptraj_tr12,5.47341394424,5.47731685638,5.55064702034,45.5948059559,46.8973069191
unit.000012,cpptraj_tr13,5.44534492493,5.44940781593,5.47983288765,45.8967859745,47.2438268661
unit.000013,cpptraj_tr14,5.48130702972,5.48552083969,5.57136583328,45.5975468159,46.9466400146
unit.000014,cpptraj_tr15,5.4533560276,5.45718383789,5.49988698959,45.5919158459,46.8369259834
unit.000015,cpptraj_tr16,5.47733092308,5.48129582405,5.56206989288,45.9983129501,47.3929069042
