CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,-49.3277668953,9.46662712097,9.67095017433,9.87394618988,143.578551054,144.799453974
unit.000001,Euclidean_dist_1_5399,-49.3175349236,58.6083950996,58.8204421997,59.0228981972,315.430114985,316.401285172
unit.000002,Euclidean_dist_1_10797,-49.2977998257,40.933027029,41.1368300915,41.3392829895,304.395847082,304.941660166
unit.000003,Euclidean_dist_1_16195,-49.2824728489,41.6364991665,41.84131217,42.0434939861,303.791880131,305.152907133
unit.000004,Euclidean_dist_1_21593,-49.2769658566,41.8854269981,42.0896091461,42.2917311192,306.246330976,307.709191084
unit.000005,Euclidean_dist_1_26991,-49.2621028423,42.8307461739,43.0342831612,43.2366981506,313.172330141,314.88646698
unit.000006,Euclidean_dist_1_32389,-49.2524650097,43.5302901268,43.7356181145,43.9378330708,321.366660118,323.31003499
unit.000007,Euclidean_dist_1_37787,-49.2466568947,43.7780041695,43.9819121361,44.1843781471,302.487508059,303.559327126
unit.000008,Euclidean_dist_1_43185,-49.2437589169,44.3377540112,44.5286860466,44.7308380604,307.525713205,309.040811062
unit.000009,Euclidean_dist_1_48583,-49.2411389351,45.2719600201,45.4759781361,45.6781451702,311.634092093,313.058087111
unit.000010,Euclidean_dist_1_53981,-49.2365589142,46.2189869881,46.4226810932,46.6249041557,308.485773087,309.090092182
unit.000011,Euclidean_dist_1_59379,-49.2338700294,47.1674051285,47.371243,47.5734272003,364.312561035,365.330584049
unit.000012,Euclidean_dist_1_64777,-49.2309348583,47.4243340492,47.6204731464,47.822977066,365.527847052,366.393362045
unit.000013,Euclidean_dist_1_70175,-49.2251598835,111.780240059,111.983747005,273.477720976,542.29820919,543.771203995
unit.000014,Euclidean_dist_1_75573,-49.222714901,111.529827118,111.733468056,273.185358047,539.197444201,540.585441113
unit.000015,Euclidean_dist_1_80971,-49.2197699547,48.1158921719,48.3199641705,48.5221881866,314.461748123,316.258275032
unit.000016,Euclidean_dist_1_86369,-49.2171878815,49.3175821304,49.5224940777,49.7244570255,312.250114202,313.13601613
unit.000017,Euclidean_dist_1_91767,-49.214756012,50.1197960377,50.3234121799,50.5261631012,317.281399012,318.711660147
unit.000018,Euclidean_dist_1_97165,-49.2119657993,50.666960001,50.8706760406,51.0728750229,308.794989109,310.728540182
