CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,166.744713068,N/A,167.114456177,186.243523121,186.298465014
unit.000001,Euclidean_dist_1_1810,N/A,165.894637108,N/A,166.41950202,195.103155136,195.118648052
unit.000002,Euclidean_dist_1_3619,N/A,165.368890047,N/A,165.771153212,196.178077221,196.215032101
unit.000003,Euclidean_dist_1_5428,N/A,166.169475079,N/A,166.689896107,195.133608103,195.149414062
unit.000004,Euclidean_dist_1_7237,N/A,184.290480137,N/A,184.688549042,215.00340414,215.01910305
unit.000005,Euclidean_dist_1_9046,N/A,168.03278017,N/A,168.451228142,198.403817177,198.421833038
unit.000006,Euclidean_dist_1_10855,N/A,167.557517052,N/A,168.004934072,197.242114067,197.279569149
unit.000007,Euclidean_dist_1_12664,N/A,169.977616072,N/A,170.4958601,200.543302059,200.564163208
unit.000008,Euclidean_dist_1_14473,N/A,164.931537151,N/A,165.397962093,193.827254057,193.88488102
unit.000009,Euclidean_dist_1_16282,N/A,164.38898015,N/A,164.815639019,193.956634045,193.990050077
unit.000010,Euclidean_dist_1_18091,N/A,25.8718340397,N/A,26.2782800198,59.4150700569,59.426128149
unit.000011,Euclidean_dist_1_19900,N/A,26.2706561089,N/A,26.6777541637,57.2677941322,57.2900891304
unit.000012,Euclidean_dist_1_21709,N/A,21.8901371956,N/A,22.2959342003,52.0572190285,52.0689949989
unit.000013,Euclidean_dist_1_23518,N/A,26.7200341225,N/A,27.1261441708,60.456580162,60.5591402054
unit.000014,Euclidean_dist_1_25327,N/A,26.9679951668,N/A,27.3752911091,59.4231901169,59.4355602264
unit.000015,Euclidean_dist_1_27136,N/A,15.2238922119,N/A,15.6296510696,45.7316122055,45.7490930557
unit.000016,Euclidean_dist_1_28945,N/A,16.0204250813,N/A,16.4268641472,52.0238292217,52.0350100994
unit.000017,Euclidean_dist_1_30754,N/A,27.9487302303,N/A,28.3554010391,57.2889201641,57.3049511909
unit.000018,Euclidean_dist_1_32563,N/A,28.6469831467,N/A,29.0532791615,58.3650491238,58.378070116
unit.000019,Euclidean_dist_1_34372,N/A,28.8961730003,N/A,29.3020381927,60.4610822201,60.5594170094
unit.000020,Euclidean_dist_1_36181,N/A,55.9395661354,N/A,56.3340392113,85.5547001362,85.5829000473
unit.000021,Euclidean_dist_1_37990,N/A,56.479060173,N/A,56.8860850334,86.6175091267,86.7144911289
unit.000022,Euclidean_dist_1_39799,N/A,58.375079155,N/A,58.7831962109,88.7655730247,88.7776310444
unit.000023,Euclidean_dist_1_41608,N/A,61.7308540344,N/A,62.1382811069,90.9705410004,90.9825761318
unit.000024,Euclidean_dist_1_43417,N/A,55.6781961918,N/A,56.0849881172,85.5494771004,85.5638511181
unit.000025,Euclidean_dist_1_45226,N/A,55.2804551125,N/A,55.6945130825,85.5256371498,85.541465044
unit.000026,Euclidean_dist_1_47035,N/A,56.7290210724,N/A,57.1360960007,86.7226791382,86.7360241413
unit.000027,Euclidean_dist_1_48844,N/A,57.5761220455,N/A,57.9850111008,86.772521019,86.7857151031
unit.000028,Euclidean_dist_1810_1810,N/A,54.4290111065,N/A,54.8424241543,70.9022262096,70.9153881073
unit.000029,Euclidean_dist_1810_3619,N/A,53.8951001167,N/A,54.2867610455,84.4879770279,84.5085921288
unit.000030,Euclidean_dist_1810_5428,N/A,125.926332235,N/A,126.328828096,157.233461142,157.256483078
unit.000031,Euclidean_dist_1810_7237,N/A,125.212354183,N/A,125.615840197,157.19977212,157.223198175
unit.000032,Euclidean_dist_1810_9046,N/A,123.336032152,N/A,123.76130414,153.023302078,153.049973011
unit.000033,Euclidean_dist_1810_10855,N/A,126.197084188,N/A,126.592814207,155.123692036,155.140726089
unit.000034,Euclidean_dist_1810_12664,N/A,128.193742037,N/A,128.598541021,158.280272007,158.319094181
unit.000035,Euclidean_dist_1810_14473,N/A,128.818111181,N/A,129.192898035,158.32713604,158.364293098
unit.000036,Euclidean_dist_1810_16282,N/A,127.020918131,N/A,127.431941032,156.175107002,156.215741158
unit.000037,Euclidean_dist_1810_18091,N/A,128.999000072,N/A,129.404819012,159.367274046,159.391440153
unit.000038,Euclidean_dist_1810_19900,N/A,130.706707001,N/A,131.102189064,161.560545206,161.581665039
unit.000039,Euclidean_dist_1810_21709,N/A,132.070479155,N/A,132.482301235,161.560965061,161.592741013
unit.000040,Euclidean_dist_1810_23518,N/A,193.97720623,N/A,194.334001064,225.803707123,225.836231232
unit.000041,Euclidean_dist_1810_25327,N/A,191.598363161,N/A,192.024094105,221.486320019,221.566516161
unit.000042,Euclidean_dist_1810_27136,N/A,192.14639616,N/A,192.580084085,222.653847218,222.695030212
unit.000043,Euclidean_dist_1810_28945,N/A,191.183153152,N/A,191.634661198,220.433742046,220.461335182
unit.000044,Euclidean_dist_1810_30754,N/A,192.547852039,N/A,193.016409159,221.563719034,221.583560228
unit.000045,Euclidean_dist_1810_32563,N/A,190.632309198,N/A,191.045958042,220.448962212,220.475649118
unit.000046,Euclidean_dist_1810_34372,N/A,6.3960750103,N/A,6.81231117249,37.1919791698,37.210804224
unit.000047,Euclidean_dist_1810_36181,N/A,6.60158419609,N/A,7.00836205482,38.2610011101,38.2734792233
unit.000048,Euclidean_dist_1810_37990,N/A,198.610311031,N/A,199.049048185,227.90537405,227.937875032
unit.000049,Euclidean_dist_1810_39799,N/A,199.208001137,N/A,199.670957088,227.917191029,227.943914175
unit.000050,Euclidean_dist_1810_41608,N/A,171.696351051,N/A,172.254403114,202.700254202,202.80967617
unit.000051,Euclidean_dist_1810_43417,N/A,174.572511196,N/A,174.934762001,203.07171607,203.0965662
unit.000052,Euclidean_dist_1810_45226,N/A,7.01449108124,N/A,7.41555500031,38.2714781761,38.2853410244
unit.000053,Euclidean_dist_1810_47035,N/A,7.21823215485,N/A,7.62057518959,38.2832980156,38.3215150833
unit.000054,Euclidean_dist_1810_48844,N/A,7.41858506203,N/A,7.82456207275,37.2086741924,37.2219080925
unit.000055,Euclidean_dist_3619_3619,N/A,7.62360715866,N/A,8.02878904343,23.77008605,23.7814810276
unit.000056,Euclidean_dist_3619_5428,N/A,7.83072113991,N/A,8.23219418526,38.31914711,38.3327250481
unit.000057,Euclidean_dist_3619_7237,N/A,8.0349650383,N/A,8.43628907204,38.3331530094,38.3453412056
unit.000058,Euclidean_dist_3619_9046,N/A,15.4724230766,N/A,15.8788621426,46.8161520958,46.8392260075
unit.000059,Euclidean_dist_3619_10855,N/A,16.4199390411,N/A,16.8261840343,53.0766022205,53.090526104
unit.000060,Euclidean_dist_3619_12664,N/A,95.3945381641,N/A,95.8022911549,124.073469162,124.107651234
unit.000061,Euclidean_dist_3619_14473,N/A,95.955851078,N/A,96.3544180393,125.247521162,125.2707901
unit.000062,Euclidean_dist_3619_16282,N/A,96.1946620941,N/A,96.6038691998,125.247683048,125.276271105
unit.000063,Euclidean_dist_3619_18091,N/A,96.7466881275,N/A,97.1566371918,126.405916214,126.429800034
unit.000064,Euclidean_dist_3619_19900,N/A,173.775728226,N/A,174.147088051,203.032843113,203.054321051
unit.000065,Euclidean_dist_3619_21709,N/A,96.9952590466,N/A,97.4052631855,126.418141127,126.437214136
unit.000066,Euclidean_dist_3619_23518,N/A,97.599271059,N/A,98.0120661259,128.585557222,128.59990406
unit.000067,Euclidean_dist_3619_25327,N/A,97.9961321354,N/A,98.4135301113,129.638577223,129.653161049
unit.000068,Euclidean_dist_3619_27136,N/A,95.1553561687,N/A,95.5568401814,126.443483114,126.46123004
unit.000069,Euclidean_dist_3619_28945,N/A,94.2495422363,N/A,94.6288661957,125.294682026,125.36749506
unit.000070,Euclidean_dist_3619_30754,N/A,172.157480001,N/A,172.664972067,202.812872171,202.921452045
unit.000071,Euclidean_dist_3619_32563,N/A,172.636071205,N/A,172.98815012,202.862199068,203.034186125
unit.000072,Euclidean_dist_3619_34372,N/A,171.151921034,N/A,171.56440711,201.597966194,201.626941204
unit.000073,Euclidean_dist_3619_36181,N/A,172.836098194,N/A,173.224454165,203.053249121,203.073084116
unit.000074,Euclidean_dist_3619_37990,N/A,170.76457715,N/A,171.213966131,201.644669056,201.672792196
unit.000075,Euclidean_dist_3619_39799,N/A,174.318152189,N/A,174.709972143,205.152619123,205.185200214
unit.000076,Euclidean_dist_3619_41608,N/A,168.977601051,N/A,169.476299047,198.307273149,198.33604908
unit.000077,Euclidean_dist_3619_43417,N/A,175.262598038,N/A,175.659588099,205.186127186,205.209559202
unit.000078,Euclidean_dist_3619_45226,N/A,168.422326088,N/A,168.875263214,198.352619171,198.388913155
unit.000079,Euclidean_dist_3619_47035,N/A,169.238122225,N/A,169.651701212,199.462501049,199.486715078
unit.000080,Euclidean_dist_3619_48844,N/A,8.85316300392,N/A,9.2574570179,39.3786211014,39.3932201862
unit.000081,Euclidean_dist_5428_5428,N/A,27.5281920433,N/A,27.9342851639,45.7454190254,45.7631061077
unit.000082,Euclidean_dist_5428_7237,N/A,11.4989421368,N/A,11.8958451748,46.7924392223,46.8048222065
unit.000083,Euclidean_dist_5428_9046,N/A,10.464094162,N/A,10.8517680168,43.4966480732,43.5098011494
unit.000084,Euclidean_dist_5428_10855,N/A,9.26365208626,N/A,9.66885018349,40.4242360592,40.4397940636
unit.000085,Euclidean_dist_5428_12664,N/A,9.46887302399,N/A,9.87325906754,40.4504010677,40.4664371014
unit.000086,Euclidean_dist_5428_14473,N/A,9.67503714561,N/A,10.0766220093,44.5859041214,44.6075470448
unit.000087,Euclidean_dist_5428_16282,N/A,9.89525413513,N/A,10.3017640114,45.687661171,45.7053310871
unit.000088,Euclidean_dist_5428_18091,N/A,10.693251133,N/A,11.0997390747,45.6987252235,45.7148320675
unit.000089,Euclidean_dist_5428_19900,N/A,11.2421011925,N/A,11.6479260921,43.5204601288,43.5330710411
unit.000090,Euclidean_dist_5428_21709,N/A,57.328359127,N/A,57.749404192,86.6033480167,86.7121241093
unit.000091,Euclidean_dist_5428_23518,N/A,58.1253051758,N/A,58.53612113,87.8091602325,87.8287172318
unit.000092,Euclidean_dist_5428_25327,N/A,58.9313211441,N/A,59.3391141891,87.8455882072,87.8579101562
unit.000093,Euclidean_dist_5428_27136,N/A,59.1799330711,N/A,59.5904710293,88.7874820232,88.8014171124
unit.000094,Euclidean_dist_5428_28945,N/A,59.7307670116,N/A,60.1466681957,89.8475680351,89.8676350117
unit.000095,Euclidean_dist_5428_30754,N/A,60.1295080185,N/A,60.5372891426,88.8119180202,88.8254771233
unit.000096,Euclidean_dist_5428_32563,N/A,60.5289101601,N/A,60.9387001991,89.8872630596,89.9173541069
unit.000097,Euclidean_dist_5428_34372,N/A,60.9278991222,N/A,61.3532400131,89.9002540112,89.9307951927
unit.000098,Euclidean_dist_5428_36181,N/A,66.6771540642,N/A,67.0847411156,95.3656420708,95.3859810829
unit.000099,Euclidean_dist_5428_37990,N/A,67.1287741661,N/A,67.5364191532,96.4144592285,96.4417231083
unit.000100,Euclidean_dist_5428_39799,N/A,80.0865340233,N/A,80.5016820431,108.94662714,108.980197191
unit.000101,Euclidean_dist_5428_41608,N/A,80.6476480961,N/A,81.0520720482,110.072183132,110.086248159
unit.000102,Euclidean_dist_5428_43417,N/A,79.2785060406,N/A,79.7183661461,110.048905134,110.061837196
unit.000103,Euclidean_dist_5428_45226,N/A,78.8809530735,N/A,79.3011720181,112.232387066,112.258048058
unit.000104,Euclidean_dist_5428_47035,N/A,81.8338441849,N/A,82.2484400272,116.448816061,116.473940134
unit.000105,Euclidean_dist_5428_48844,N/A,82.3834631443,N/A,82.8110342026,112.258952141,112.281153202
unit.000106,Euclidean_dist_7237_7237,N/A,80.8939940929,N/A,81.3083841801,98.4913220406,98.503950119
unit.000107,Euclidean_dist_7237_9046,N/A,81.4335541725,N/A,81.8458471298,111.21570015,111.232197046
unit.000108,Euclidean_dist_7237_10855,N/A,99.9985790253,N/A,100.41378808,129.668235064,129.691668034
unit.000109,Euclidean_dist_7237_12664,N/A,98.3977100849,N/A,98.8057892323,127.546710014,127.568601131
unit.000110,Euclidean_dist_7237_14473,N/A,173.481195211,N/A,173.88840723,204.11275816,204.133140087
unit.000111,Euclidean_dist_7237_16282,N/A,176.412004232,N/A,176.876666069,206.208845139,206.277700186
unit.000112,Euclidean_dist_7237_18091,N/A,8.64848423004,N/A,9.0511071682,39.3749511242,39.39281106
unit.000113,Euclidean_dist_7237_19900,N/A,9.0576210022,N/A,9.46208310127,39.4034860134,39.4237780571
unit.000114,Euclidean_dist_7237_21709,N/A,12.834690094,N/A,13.2405941486,43.5413122177,43.5656440258
unit.000115,Euclidean_dist_7237_23518,N/A,13.6303360462,N/A,14.0359342098,44.6272850037,44.6517241001
unit.000116,Euclidean_dist_7237_25327,N/A,13.0830850601,N/A,13.488874197,46.7928512096,46.8040602207
unit.000117,Euclidean_dist_7237_27136,N/A,22.6866190434,N/A,23.093091011,58.3163192272,58.3278160095
unit.000118,Euclidean_dist_7237_28945,N/A,12.2863631248,N/A,12.6920921803,44.6009302139,44.6281781197
unit.000119,Euclidean_dist_7237_30754,N/A,12.0382142067,N/A,12.4440071583,47.8671910763,47.8818330765
unit.000120,Euclidean_dist_7237_32563,N/A,192.983859062,N/A,193.367678165,222.612627029,222.652519226
unit.000121,Euclidean_dist_7237_34372,N/A,193.50685811,N/A,194.010038137,222.600621223,222.63769722
