CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,648.087977171,N/A,648.493163109,663.576372147,663.597225189
unit.000001,Euclidean_dist_1_1810,N/A,645.263709068,N/A,645.677498102,673.99558115,674.034631014
unit.000002,Euclidean_dist_1_3619,N/A,643.371450186,N/A,643.765858173,672.936205149,672.977733135
unit.000003,Euclidean_dist_1_5428,N/A,641.383980989,N/A,641.797509193,669.867283106,669.900355101
unit.000004,Euclidean_dist_1_7237,N/A,656.084014177,N/A,656.49824214,686.450582027,686.483486176
unit.000005,Euclidean_dist_1_9046,N/A,653.261851072,N/A,653.675326109,682.312731028,682.342131138
unit.000006,Euclidean_dist_1_10855,N/A,651.293420076,N/A,651.70798707,680.230266094,680.266252041
unit.000007,Euclidean_dist_1_12664,N/A,650.741598129,N/A,651.174995184,679.17327714,679.200968027
unit.000008,Euclidean_dist_1_14473,N/A,639.616904974,N/A,640.032384157,667.691720009,667.773296118
unit.000009,Euclidean_dist_1_16282,N/A,636.617349148,N/A,637.030523062,664.616024017,664.664535999
unit.000010,Euclidean_dist_1_18091,N/A,9.9360730648,N/A,10.34308815,41.6131551266,41.7086770535
unit.000011,Euclidean_dist_1_19900,N/A,11.0350301266,N/A,11.4409291744,41.7380759716,41.7595160007
unit.000012,Euclidean_dist_1_21709,N/A,7.41813516617,N/A,7.81966614723,38.0741841793,38.0968370438
unit.000013,Euclidean_dist_1_23518,N/A,8.02678012848,N/A,8.43052315712,38.2147750854,38.2387681007
unit.000014,Euclidean_dist_1_25327,N/A,8.23351502419,N/A,8.63460016251,39.3521471024,39.3804721832
unit.000015,Euclidean_dist_1_27136,N/A,8.43985319138,N/A,8.8461420536,39.3896780014,39.5397150517
unit.000016,Euclidean_dist_1_28945,N/A,7.62196516991,N/A,8.02364397049,39.3393239975,39.3662130833
unit.000017,Euclidean_dist_1_30754,N/A,7.82601499557,N/A,8.22715115547,38.1094851494,38.1780481339
unit.000018,Euclidean_dist_1_32563,N/A,8.98832297325,N/A,9.43714213371,38.2616250515,38.302355051
unit.000019,Euclidean_dist_1_34372,N/A,9.43374013901,N/A,9.79226708412,39.3924481869,39.5473911762
unit.000020,Euclidean_dist_1_36181,N/A,209.600279093,N/A,210.008709192,238.978528976,239.088140011
unit.000021,Euclidean_dist_1_37990,N/A,207.636908054,N/A,208.044588089,236.735244989,236.914736986
unit.000022,Euclidean_dist_1_39799,N/A,212.062332153,N/A,212.470659018,241.313141108,241.389705181
unit.000023,Euclidean_dist_1_41608,N/A,210.151129961,N/A,210.55965519,239.068716049,239.175091982
unit.000024,Euclidean_dist_1_43417,N/A,204.17051506,N/A,204.578670025,234.562384129,234.590914011
unit.000025,Euclidean_dist_1_45226,N/A,202.71631217,N/A,203.12432313,232.444354057,232.468954086
unit.000026,Euclidean_dist_1_47035,N/A,206.182440042,N/A,206.590878963,235.654029131,235.678111076
unit.000027,Euclidean_dist_1_48844,N/A,205.77978301,N/A,206.194984198,235.627562046,235.643336058
unit.000028,Euclidean_dist_1810_1810,N/A,201.713622093,N/A,202.121906042,218.822662115,218.853586197
unit.000029,Euclidean_dist_1810_3619,N/A,195.693019152,N/A,196.118960142,224.255944014,224.277158022
unit.000030,Euclidean_dist_1810_5428,N/A,481.853626013,N/A,482.240250111,511.056677103,511.086783171
unit.000031,Euclidean_dist_1810_7237,N/A,490.264369011,N/A,490.665384054,519.638732195,520.186969995
unit.000032,Euclidean_dist_1810_9046,N/A,480.859596968,N/A,481.272237062,510.914705992,510.966360092
unit.000033,Euclidean_dist_1810_10855,N/A,481.466210127,N/A,481.827593088,510.988631964,511.038360119
unit.000034,Euclidean_dist_1810_12664,N/A,500.584657192,N/A,501.093439102,530.319960117,530.359527111
unit.000035,Euclidean_dist_1810_14473,N/A,501.139108181,N/A,501.622487068,530.263022184,530.302087069
unit.000036,Euclidean_dist_1810_16282,N/A,494.627686024,N/A,495.045526028,523.693044186,524.001327991
unit.000037,Euclidean_dist_1810_18091,N/A,498.36203599,N/A,498.781644106,527.310286045,527.352483988
unit.000038,Euclidean_dist_1810_19900,N/A,506.73549509,N/A,507.147471189,535.678812981,535.724370003
unit.000039,Euclidean_dist_1810_21709,N/A,510.664011002,N/A,511.075867176,539.846045017,539.884803057
unit.000040,Euclidean_dist_1810_23518,N/A,752.800374985,N/A,753.215208054,783.505340099,783.544933081
unit.000041,Euclidean_dist_1810_25327,N/A,750.428583145,N/A,750.80688715,781.422131062,781.457830191
unit.000042,Euclidean_dist_1810_27136,N/A,749.689522028,N/A,750.106158972,779.378275156,779.430916071
unit.000043,Euclidean_dist_1810_28945,N/A,745.703663111,N/A,746.143079042,775.097051144,775.156262159
unit.000044,Euclidean_dist_1810_30754,N/A,745.42543602,N/A,745.840377092,775.03176403,775.072076082
