CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,N/A,16.2234759331,16.2328691483,21.7052230835,137.806309938,135.33112812
unit.000001,Euclidean_dist_1_5399,N/A,11.802726984,11.8180010319,12.2845349312,285.072375059,285.060269117
unit.000002,Euclidean_dist_1_10797,N/A,11.8149440289,11.8271870613,12.3243589401,282.501321077,280.187517166
unit.000003,Euclidean_dist_1_16195,N/A,11.8301129341,11.8454010487,12.3646030426,259.528021097,259.051543951
unit.000004,Euclidean_dist_1_21593,N/A,11.8575940132,11.8667550087,12.452903986,276.141602039,278.627222061
unit.000005,Euclidean_dist_1_26991,N/A,11.8696830273,11.8817999363,12.4998140335,282.514042139,280.208102942
unit.000006,Euclidean_dist_1_32389,N/A,11.8787879944,11.8941631317,12.5485680103,249.054898024,248.15852499
unit.000007,Euclidean_dist_1_37787,N/A,11.9092690945,11.9184811115,13.5855820179,258.213053942,255.505965948
unit.000008,Euclidean_dist_1_43185,N/A,11.9214169979,11.9337849617,13.6251840591,258.270336151,255.526015997
unit.000009,Euclidean_dist_1_48583,N/A,11.9459221363,11.9582550526,13.766862154,260.113327026,259.072468042
unit.000010,Euclidean_dist_1_53981,N/A,11.9886980057,11.9979190826,13.917509079,272.334350109,270.024815083
unit.000011,Euclidean_dist_1_59379,N/A,12.0284731388,12.0406200886,14.0919010639,257.860811949,255.545421124
unit.000012,Euclidean_dist_1_64777,N/A,12.0376091003,12.0504641533,14.1616129875,268.724583149,265.396484137
unit.000013,Euclidean_dist_1_70175,N/A,12.0657441616,12.0780329704,14.2479951382,267.016366959,265.117954969
unit.000014,Euclidean_dist_1_75573,N/A,15.4635441303,15.4786980152,21.2535009384,249.585870028,248.418389082
unit.000015,Euclidean_dist_1_80971,N/A,18.6563229561,18.6714861393,21.8850710392,290.273743153,289.292047024
unit.000016,Euclidean_dist_1_86369,N/A,15.5797300339,15.5950360298,21.2817320824,257.911456108,255.728739023
unit.000017,Euclidean_dist_1_91767,N/A,18.9968869686,19.0060520172,21.966645956,282.424880028,280.736801147
unit.000018,Euclidean_dist_1_97165,N/A,15.9147861004,15.9242031574,21.5753951073,262.857795,263.47115612
unit.000019,Euclidean_dist_1_102563,N/A,15.9577400684,15.9669749737,21.5890700817,249.334735155,248.487229109
unit.000020,Euclidean_dist_1_107961,N/A,12.2498600483,12.2623960972,15.4071199894,282.405770063,280.253466129
unit.000021,Euclidean_dist_1_113359,N/A,16.0160861015,16.022135973,21.6126339436,258.25139308,255.751407146
unit.000022,Euclidean_dist_1_118757,N/A,20.5248601437,20.5403649807,22.1451230049,259.880427122,259.248695135
unit.000023,Euclidean_dist_1_124155,N/A,16.0768060684,16.0920910835,21.6393129826,267.057523012,265.232183933
unit.000024,Euclidean_dist_1_129553,N/A,20.9018011093,20.9140269756,22.2109799385,262.851449966,264.063643932
unit.000025,Euclidean_dist_1_134951,N/A,11.6310219765,11.6464941502,11.7077031136,288.817319155,286.652049065
unit.000026,Euclidean_dist_1_140349,N/A,11.6862151623,11.6954360008,11.8849360943,282.370524168,280.143577099
unit.000027,Euclidean_dist_5399_5399,N/A,11.7474751472,11.7658720016,12.0995149612,138.011628151,135.191143036
unit.000028,Euclidean_dist_5399_10797,N/A,16.2358319759,16.2451140881,21.7083511353,249.889435053,248.529616117
unit.000029,Euclidean_dist_5399_16195,N/A,11.9612090588,11.9736051559,13.8289380074,244.34862709,248.159743071
unit.000030,Euclidean_dist_5399_21593,N/A,12.0931949615,12.1056029797,14.3486940861,294.183087111,294.538979053
unit.000031,Euclidean_dist_5399_26991,N/A,12.1577489376,12.1729781628,14.5736241341,267.076527119,265.11896801
unit.000032,Euclidean_dist_5399_32389,N/A,12.2406930923,12.2530970573,15.3603301048,283.91725111,280.756627083
unit.000033,Euclidean_dist_5399_37787,N/A,12.3149549961,12.3334360123,15.9057970047,298.227353096,295.688097
unit.000034,Euclidean_dist_5399_43185,N/A,12.3705630302,12.385789156,16.0434589386,274.559144974,272.833327055
unit.000035,Euclidean_dist_5399_48583,N/A,12.4223251343,12.4375989437,16.2266719341,272.587193966,270.044588089
unit.000036,Euclidean_dist_5399_53981,N/A,12.474820137,12.4873161316,16.4075191021,288.823665142,286.681180954
unit.000037,Euclidean_dist_5399_59379,N/A,12.2221460342,12.2377319336,15.3037409782,258.47536397,255.552953005
unit.000038,Euclidean_dist_5399_64777,N/A,12.5670089722,12.579321146,18.4062020779,272.407317162,270.072221994
unit.000039,Euclidean_dist_5399_70175,N/A,14.0054559708,14.023373127,20.6608569622,282.431237936,280.44827795
unit.000040,Euclidean_dist_5399_75573,N/A,15.4480149746,15.4665629864,21.2503650188,272.362908125,270.419248104
unit.000041,Euclidean_dist_5399_80971,N/A,15.9272301197,15.939084053,21.5785341263,258.286159039,255.751042128
unit.000042,Euclidean_dist_5399_86369,N/A,18.5038981438,18.5099551678,21.8473229408,264.624628067,263.832380056
unit.000043,Euclidean_dist_5399_91767,N/A,19.9837269783,19.992923975,22.0574040413,298.214719057,295.765691996
unit.000044,Euclidean_dist_5399_97165,N/A,20.9534771442,20.9796409607,22.2235181332,250.658303976,248.606250048
unit.000045,Euclidean_dist_5399_102563,N/A,12.000854969,12.0100619793,13.9678361416,246.982644081,248.183840036
unit.000046,Euclidean_dist_5399_107961,N/A,18.5556731224,18.5648241043,21.8599030972,258.959907055,259.189939022
unit.000047,Euclidean_dist_5399_113359,N/A,18.7596271038,18.7718479633,21.9101290703,306.580579042,304.918302059
unit.000048,Euclidean_dist_5399_118757,N/A,12.0130181313,12.0255250931,14.0151269436,260.222439051,259.087435961
unit.000049,Euclidean_dist_5399_124155,N/A,19.0729141235,19.0882530212,21.9854550362,275.127743959,278.728713989
unit.000050,Euclidean_dist_5399_129553,N/A,13.5762150288,13.5886080265,18.7141890526,249.703438997,248.210603952
unit.000051,Euclidean_dist_5399_134951,N/A,15.475646019,15.4908089638,21.2566330433,269.950404167,268.732116938
unit.000052,Euclidean_dist_5399_140349,N/A,20.1621220112,20.1773569584,22.0980751514,253.063462019,254.41864109
unit.000053,Euclidean_dist_10797_10797,N/A,12.1421570778,12.1607830524,14.5307421684,137.828547001,135.230505943
unit.000054,Euclidean_dist_10797_16195,N/A,18.9572610855,18.9664480686,21.9572019577,288.8109231,286.80531311
unit.000055,Euclidean_dist_10797_21593,N/A,20.4617440701,20.5031099319,22.1357240677,253.744745016,254.449351072
unit.000056,Euclidean_dist_10797_26991,N/A,11.7381401062,11.7505030632,12.0597479343,269.147797108,268.676820993
unit.000057,Euclidean_dist_10797_32389,N/A,12.1976411343,12.2129509449,15.2096910477,292.994536161,290.560513973
unit.000058,Euclidean_dist_10797_37787,N/A,12.5027699471,12.5179481506,16.4928939342,282.376857996,280.363144159
unit.000059,Euclidean_dist_10797_43185,N/A,13.9356181622,13.9484491348,20.251363039,272.413686037,270.335664034
