CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,7.5726640225,7.5758519173,45.8037929535,57.2665889263,59.0851449966
unit.000001,Euclidean_dist_1_4097,23.4205839634,23.6274819374,151.485146046,158.813762903,161.07002306
unit.000002,Euclidean_dist_1_8193,23.4278399944,23.6608469486,151.541673899,158.88010788,161.129806042
unit.000003,Euclidean_dist_1_12289,23.4362580776,23.6935088634,158.240616083,160.242215872,162.268805027
unit.000004,Euclidean_dist_1_16385,23.4478869438,23.7427110672,158.440433979,161.51315093,163.50077486
unit.000005,Euclidean_dist_1_20481,23.464056015,23.8014509678,158.920682907,162.438097954,163.612423897
unit.000006,Euclidean_dist_1_24577,23.4693760872,23.8193249702,158.947412014,162.440672874,163.668417931
unit.000007,Euclidean_dist_1_28673,23.4817259312,23.8622770309,160.192556858,162.568636894,163.781912088
unit.000008,Euclidean_dist_1_32769,23.7819869518,23.9293429852,162.471613884,166.887139082,169.114024878
unit.000009,Euclidean_dist_1_36865,23.7935218811,23.9553999901,162.513747931,166.850441933,169.224257946
unit.000010,Euclidean_dist_1_40961,23.8406300545,23.9753949642,162.572735071,166.852808952,169.283355951
unit.000011,Euclidean_dist_1_45057,23.8543260098,24.0214440823,162.629914045,166.857832909,169.391422033
unit.000012,Euclidean_dist_1_49153,23.8590910435,24.0389618874,162.659311056,166.860380888,169.44709897
unit.000013,Euclidean_dist_1_53249,23.8707408905,24.0814549923,162.710541964,166.86571908,169.56030798
unit.000014,Euclidean_dist_1_57345,23.8812999725,24.1315798759,166.791629076,174.40854001,175.859016895
unit.000015,Euclidean_dist_1_61441,23.8912658691,24.1714010239,166.874897003,174.794632912,175.966120958
unit.000016,Euclidean_dist_1_65537,23.9026298523,24.2174139023,167.019510984,175.31030488,176.159936905
unit.000017,Euclidean_dist_1_69633,23.9095098972,24.2384409904,167.046143055,174.721621037,175.886684895
unit.000018,Euclidean_dist_1_73729,23.9158449173,24.255161047,167.073699951,175.236279011,175.946083069
unit.000019,Euclidean_dist_1_77825,23.9265210629,24.264343977,167.127920866,175.238700867,176.06280303
unit.000020,Euclidean_dist_1_81921,23.9385080338,24.2681040764,167.167559862,174.815876007,176.120085955
unit.000021,Euclidean_dist_1_86017,23.943862915,24.270690918,167.192456961,174.819697857,176.176102877
