CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000000,Euclidean_dist_1_1,-62.946721077,-40.0398528576,-40.0398528576,11.7928190231,11.7944760323,11.7952389717,11.7955141068,12.6934220791,65.5140039921,65.5820190907,65.5838840008,67.4989190102,67.5256481171
unit.000001,Euclidean_dist_1_16385,-62.9465460777,-59.3639960289,-59.3639960289,11.6656339169,11.6675851345,11.6685841084,11.6688790321,11.7562711239,65.5003359318,65.5134289265,65.5152580738,66.240983963,66.2681910992
unit.000002,Euclidean_dist_1_32769,-62.9463858604,-39.2383000851,-39.2383000851,11.7977290154,11.7995729446,11.8003480434,11.8006169796,12.733577013,65.5145599842,65.5845749378,65.5871529579,67.550812006,67.5774450302
unit.000003,Euclidean_dist_1_49153,-62.946228981,-44.4674799442,-44.4674799442,11.7640769482,11.7657790184,11.7665829659,11.7669019699,12.4656410217,65.5275220871,65.6551070213,65.6574859619,67.1880960464,67.2150890827
unit.000004,Euclidean_dist_1_65537,-62.9460589886,-62.4895660877,-62.4895660877,11.6460399628,11.6487989426,11.6527040005,11.6532249451,11.6694550514,65.4984531403,65.5036730766,65.5066919327,66.0358729362,66.0629370213
unit.000005,Euclidean_dist_1_81921,-62.9459040165,-50.9157500267,-50.9157500267,11.722851038,11.724364996,11.7252781391,11.7255589962,12.0884311199,65.5264270306,65.6495110989,65.6515431404,66.7675840855,66.7943661213
unit.000006,Euclidean_dist_1_98305,-62.9457418919,-58.5615198612,-58.5615198612,11.6713349819,11.6731760502,11.6743569374,11.6746730804,11.7823829651,65.5010130405,65.5159289837,65.5178730488,66.2938029766,66.3208880424
unit.000007,Euclidean_dist_1_114689,-62.9455840588,-56.5309848785,-56.5309848785,11.6850991249,11.6868851185,11.6877830029,11.6880669594,11.846339941,65.5182271004,65.6043419838,65.6062550545,66.4017300606,66.4288470745
unit.000008,Euclidean_dist_16385_1,-62.9454300404,-55.3351860046,-55.3351860046,11.6936979294,11.6955680847,11.6965301037,11.6968119144,11.8856680393,65.5033359528,65.5276429653,65.5299019814,66.5034151077,66.5302100182
unit.000009,Euclidean_dist_16385_16385,-62.945278883,-53.7310528755,-53.7310528755,11.7046749592,11.706496954,11.707474947,11.7077510357,11.9489049911,65.5044150352,65.5334279537,65.5352799892,66.6078491211,66.6349289417
unit.000010,Euclidean_dist_16385_32769,-62.9451229572,-52.5165770054,-52.5165770054,11.7125740051,11.7141680717,11.7150931358,11.7153840065,11.9988560677,65.5295419693,65.6664450169,65.6687469482,66.6633291245,66.6902220249
unit.000011,Euclidean_dist_16385_49153,-62.9449689388,-50.5266990662,-50.5266990662,11.7252230644,11.7269830704,11.7279140949,11.7282130718,12.1111929417,65.5067451,65.5450720787,65.5473430157,66.8168570995,66.8437309265
unit.000012,Euclidean_dist_16385_65537,-62.9448080063,-48.4908709526,-48.4908709526,11.7385540009,11.7400979996,11.7410330772,11.7413229942,12.2520599365,65.5207490921,65.618129015,65.6201820374,66.9244041443,66.9513819218
unit.000013,Euclidean_dist_16385_81921,-62.9446520805,-46.8735439777,-46.8735439777,11.7485649586,11.7504110336,11.7512581348,11.7515439987,12.3356149197,65.5212540627,65.6210341454,65.6235990524,67.0314860344,67.0583491325
unit.000014,Euclidean_dist_16385_98305,-62.9444990158,-45.6571340561,-45.6571340561,11.7560930252,11.7579350471,11.7587771416,11.7590610981,12.4009380341,65.5100939274,65.5626499653,65.5644030571,67.1311399937,67.1579880714
unit.000015,Euclidean_dist_16385_114689,-62.9443449974,-44.0522429943,-44.0522429943,11.766628027,11.7681660652,11.7689530849,11.76927495,12.4806530476,65.5112540722,65.5681419373,65.5699539185,67.2358739376,67.2630290985
unit.000016,Euclidean_dist_32769_1,-62.9441940784,-42.4466068745,-42.4466068745,11.7775399685,11.7792339325,11.780009985,11.7803339958,12.5576119423,65.5123960972,65.5735559464,65.5758860111,67.3415009975,67.3687911034
unit.000017,Euclidean_dist_32769_16385,-62.944038868,-40.8411729336,-40.8411729336,11.7881500721,11.7897279263,11.7904820442,11.7907559872,12.6478600502,65.5134310722,65.5793681145,65.581332922,67.4470350742,67.4735150337
unit.000018,Euclidean_dist_32769_32769,-62.9438869953,-37.6336889267,-37.6336889267,11.8075520992,11.8093791008,11.8102109432,11.8104889393,12.8327250481,65.5156049728,65.5905940533,65.5927560329,67.6554429531,67.6825909615
unit.000019,Euclidean_dist_32769_49153,-62.9437279701,-62.4886958599,-62.4886958599,11.6500079632,11.6518421173,11.65437603,11.6547439098,11.6874620914,65.5166969299,65.5959179401,65.5978291035,66.0883359909,66.1153049469
unit.000020,Euclidean_dist_32769_65537,-62.9435739517,-60.5430688858,-60.5430688858,11.6558721066,11.6576550007,11.6587510109,11.6591250896,11.7157969475,65.524846077,65.641575098,65.6432440281,66.1406390667,66.1675450802
unit.000021,Euclidean_dist_32769_81921,-62.9434199333,-41.2613458633,-41.2613458633,11.7854659557,11.7873260975,11.7880959511,11.7883739471,12.6220390797,65.5280179977,65.6581590176,65.6602299213,67.3972780704,67.4239521027
unit.000022,Euclidean_dist_32769_98305,-62.9432618618,-57.3365700245,-57.3365700245,11.6797969341,11.6814761162,11.6824729443,11.6827790737,11.8200969696,65.5253219604,65.6439881325,65.6462020874,66.3496301174,66.3763790131
unit.000023,Euclidean_dist_32769_114689,-62.9431099892,-43.2492699623,-43.2492699623,11.7718000412,11.7736330032,11.7745330334,11.774846077,12.5170280933,65.5118470192,65.5707371235,65.5727851391,67.288533926,67.3156969547
unit.000024,Euclidean_dist_49153_1,-62.942950964,-47.2709469795,-47.2709469795,11.7458739281,11.7476451397,11.7485589981,11.7488501072,12.3155050278,65.5090050697,65.5568809509,65.5587699413,67.0264921188,67.0534119606
unit.000025,Euclidean_dist_49153_16385,-62.9427769184,-48.8900618553,-48.8900618553,11.7359609604,11.7377130985,11.7386391163,11.7389271259,12.2180199623,65.5078411102,65.5509049892,65.5532679558,66.9217610359,66.948704958
unit.000026,Euclidean_dist_49153_32769,-62.9426159859,-41.6447679996,-41.6447679996,11.7826089859,11.7844979763,11.7853770256,11.7856500149,12.5977101326,65.5129270554,65.576595068,65.5786409378,67.3944201469,67.4215769768
unit.000027,Euclidean_dist_49153_49153,-62.9424610138,-49.291864872,-49.291864872,11.7333600521,11.7351150513,11.7360219955,11.7363340855,12.1838450432,65.5321121216,65.680585146,65.6826651096,66.872066021,66.8989851475
unit.000028,Euclidean_dist_49153_65537,-62.9422769547,-60.167953968,-60.167953968,11.6591739655,11.6612329483,11.662457943,11.6627819538,11.7293300629,65.4997050762,65.5105221272,65.5127210617,66.1881730556,66.2154591084
unit.000029,Euclidean_dist_49153_81921,-62.9421100616,-37.2291910648,-37.2291910648,11.8102900982,11.8119380474,11.8127040863,11.8129980564,12.8646769524,65.5243680477,65.6386489868,65.6405770779,67.6572959423,67.6846489906
unit.000030,Euclidean_dist_49153_98305,-62.9419569969,-40.4582719803,-40.4582719803,11.7905430794,11.7920029163,11.7927689552,11.7930450439,12.6689579487,65.523360014,65.6329619884,65.6349830627,67.4493079185,67.4756939411
unit.000031,Euclidean_dist_49153_114689,-62.9417219162,-50.1057469845,-50.1057469845,11.7279851437,11.7295510769,11.7304639816,11.7308671474,12.1307880878,65.5202159882,65.6155099869,65.6172981262,66.8197610378,66.8467080593
